Date,GRADE,GPS,INTU,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1993-03-12,,,2.3507118225097656,,,,,,
1993-03-15,,,2.3229479789733887,,,,,,
1993-03-16,,,2.2674193382263184,,,,,,
1993-03-17,,,2.1841251850128174,,,,,,
1993-03-18,,,2.258164882659912,2.2766738414764403,,,,,
1993-03-19,,,2.239654302597046,2.2544623374938966,,,,,
1993-03-22,,,2.110088348388672,2.2118904113769533,,,,,
1993-03-23,,,2.258164882659912,2.210039520263672,,,,,
1993-03-24,,,2.2026355266571045,2.213741588592529,,,,,
1993-03-25,,,2.110088348388672,2.184126281738281,2.230400061607361,,,,
1993-03-26,,,2.110088348388672,2.1582130908966066,2.2063377141952514,,,,
1993-03-29,,,2.1008331775665283,2.1563620567321777,2.1841262340545655,,,,
1993-03-30,,,2.110088348388672,2.1267467498779298,2.168393135070801,,,,
1993-03-31,,,2.05456018447876,2.097131681442261,2.155436635017395,,,,
1993-04-01,,,2.05456018447876,2.0860260486602784,2.13507616519928,,,,
1993-04-02,,,1.9620115756988523,2.0564106941223144,2.1073118925094603,,,,
1993-04-05,,,1.9990314245224,2.0360503435134887,2.0962062001228334,,,,
1993-04-06,,,1.9990314245224,2.0138389587402346,2.070292854309082,,,,
1993-04-07,,,1.9249930381774905,1.9879255294799805,2.0425286054611207,,,,
1993-04-08,,,1.8879731893539429,1.9546081304550171,2.020317089557648,2.125358575582504,,,
1993-04-09,,,1.8879731893539429,1.9398004531860351,1.9981055736541748,2.1022216439247132,,,
1993-04-12,,,1.8694645166397093,1.9138870716094971,1.974968707561493,2.0795474708080293,,,
1993-04-13,,,1.8139357566833496,1.876867938041687,1.9453534483909607,2.0568732917308807,,,
1993-04-14,,,1.8879731893539429,1.8694639682769776,1.928694748878479,2.042065691947937,,,
1993-04-15,,,1.8324450254440308,1.858358335494995,1.906483232975006,2.020779699087143,,,
1993-04-16,,,1.8324450254440308,1.8472527027130128,1.8935265779495238,2.0004192352294923,,,
1993-04-19,,,1.8139357566833496,1.8361469507217407,1.8750170111656188,1.9856116056442261,,,
1993-04-20,,,1.8139357566833496,1.8361469507217407,1.8565074443817138,1.9634001493453979,,,
1993-04-21,,,1.7954254150390625,1.8176373958587646,1.843550682067871,1.943039643764496,,,
1993-04-22,,,1.8879731893539429,1.8287430286407471,1.843550682067871,1.9319338858127595,,,
1993-04-23,,,1.906483173370361,1.8435506582260133,1.845401680469513,1.9217536270618438,,,
1993-04-26,,,1.8324450254440308,1.8472525119781493,1.841699731349945,1.908334219455719,,,
1993-04-27,,,2.03605055809021,1.8916754722595215,1.863911211490631,1.904632329940796,,,
1993-04-28,,,2.017540216445923,1.9360984325408936,1.876867914199829,1.902781331539154,,,
1993-04-29,,,1.9805214405059812,1.9546080827713013,1.891675555706024,1.899079394340515,,,
1993-04-30,,,2.03605055809021,1.980521559715271,1.9120361089706421,1.902781343460083,,,
1993-05-03,,,2.1471076011657715,2.043454074859619,1.9453532934188842,1.9101851522922515,,,
1993-05-04,,,2.1471076011657715,2.0656654834747314,1.9786704778671265,1.9175889611244201,,,
1993-05-05,,,2.258164882659912,2.113790416717529,2.0249444246292114,1.9342475533485413,,,
1993-05-06,,,2.2026355266571045,2.158213233947754,2.0564106583595274,1.9499806702136993,,,
1993-05-07,,,2.239654302597046,2.198933982849121,2.0897277712821962,1.9675647258758544,,,
1993-05-10,,,2.2951831817626958,2.228549098968506,2.1360015869140625,1.9888506591320039,,,
1993-05-11,,,2.2766737937927246,2.2544623374938966,2.160063910484314,2.0119875609874724,,,
1993-05-12,,,2.2766737937927246,2.258164119720459,2.185977268218994,2.0314225912094117,,,
1993-05-13,,,2.2951831817626958,2.2766736507415772,2.2174434423446656,2.054559499025345,,,
1993-05-14,,,2.2766737937927246,2.284077548980713,2.241505765914917,2.0767709374427796,,,
1993-05-17,,,2.2951831817626958,2.284077548980713,2.2563133239746094,2.100833308696747,,,
1993-05-18,,,2.2951831817626958,2.287779426574707,2.271120882034302,2.124895679950714,,,
1993-05-19,,,2.3692221641540527,2.3062891006469726,2.2822266101837156,2.1535855174064635,,,
1993-05-20,,,2.406240940093994,2.3285006523132323,2.302587151527405,2.179498904943466,2.0906531286239622,,
1993-05-21,,,2.3507118225097656,2.3433082580566404,2.313692903518677,2.2017103374004363,2.0906531286239622,,
1993-05-24,,,2.3507118225097656,2.3544139862060547,2.319245767593384,2.2276236772537232,2.09120840549469,,
1993-05-25,,,2.332202911376953,2.3618179321289063,2.3247986793518067,2.2424312949180605,2.092504076957703,,
1993-05-26,,,2.248909711837769,2.33775544166565,2.322022271156311,2.2539997696876526,2.0937997674942017,,
1993-05-27,,,2.2026355266571045,2.2970343589782716,2.3127675056457524,2.2651054739952086,2.0926891803741454,,
1993-05-28,,,2.1471076011657715,2.256313514709473,2.299810886383057,2.270658326148987,2.09083824634552,,
1993-05-31,,,2.1471076011657715,2.2155926704406737,2.2850033283233646,2.270658326148987,2.091578631401062,,
1993-06-01,,,2.110088348388672,2.1711697578430176,2.2664938449859617,2.268807363510132,2.0886171007156373,,
1993-06-02,,,2.1471076011657715,2.150809335708618,2.2442823886871337,2.263254499435425,2.0875065422058103,,
1993-06-03,,,2.1471076011657715,2.1397037506103516,2.2183690547943113,2.260478103160858,2.0882469272613524,,
1993-06-04,,,2.110088348388672,2.1322999000549316,2.1943067073822022,2.2539998054504395,2.0882469272613524,,
1993-06-07,,,2.0823233127593994,2.1193430423736572,2.1674678564071654,2.2433568120002745,2.08787672996521,,
