Date,GRADE,GPS,DECK,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1993-10-15,,,1.2222219705581665,,,,,,
1993-10-18,,,1.263888955116272,,,,,,
1993-10-19,,,1.194443941116333,,,,,,
1993-10-20,,,1.180556058883667,,,,,,
1993-10-21,,,1.2916669845581057,1.2305555820465088,,,,,
1993-10-22,,,1.305556058883667,1.247222399711609,,,,,
1993-10-25,,,1.3541669845581057,1.2652780055999755,,,,,
1993-10-26,,,1.3333330154418943,1.293055820465088,,,,,
1993-10-27,,,1.305556058883667,1.3180558204650878,,,,,
1993-10-28,,,1.319443941116333,1.3236112117767334,1.277083396911621,,,,
1993-10-29,,,1.2916669845581057,1.320833396911621,1.284027898311615,,,,
1993-11-01,,,1.2916669845581057,1.3083333969116213,1.2868057012557983,,,,
1993-11-02,,,1.298611044883728,1.301389002799988,1.297222411632538,,,,
1993-11-03,,,1.3333330154418943,1.3069443941116332,1.3125001072883606,,,,
1993-11-04,,,1.263888955116272,1.2958333969116211,1.3097223043441772,,,,
1993-11-05,,,1.263888955116272,1.2902777910232544,1.3055555939674377,,,,
1993-11-08,,,1.25,1.2819443941116333,1.2951388955116272,,,,
1993-11-09,,,1.263888955116272,1.274999976158142,1.288194489479065,,,,
1993-11-10,,,1.25,1.2583333730697632,1.2826388835906983,,,,
1993-11-11,,,1.2777780294418335,1.2611111879348755,1.2784722924232483,1.2777778446674346,,,
1993-11-12,,,1.25,1.258333396911621,1.2743055939674377,1.2791667461395264,,,
1993-11-15,,,1.263888955116272,1.2611111879348755,1.2715277910232543,1.2791667461395264,,,
1993-11-16,,,1.2291669845581057,1.2541667938232421,1.2645833849906922,1.280902898311615,,,
1993-11-17,,,1.2222219705581665,1.2486111879348756,1.2534722805023193,1.28298619389534,,,
1993-11-18,,,1.111111044883728,1.2152777910232544,1.2381944894790649,1.273958396911621,,,
1993-11-19,,,1.138888955116272,1.1930555820465087,1.225694489479065,1.2656250417232513,,,
1993-11-22,,,1.0972219705581665,1.1597221851348878,1.2104166865348815,1.2527777910232545,,,
1993-11-23,,,1.111111044883728,1.1361109972000123,1.195138895511627,1.2416666924953461,,,
1993-11-24,,,1.069443941116333,1.1055553913116456,1.1770832896232606,1.2298610866069795,,,
1993-11-25,,,1.069443941116333,1.0972219705581665,1.1562498807907104,1.2173610866069793,,,
1993-11-26,,,1.069443941116333,1.0833329677581787,1.1381942749023437,1.2062499344348907,,,
