Date,GRADE,GPS,LRCX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1984-05-04,,,0.1033717915415763,,,,,,
1984-05-07,,,0.1020795702934265,,,,,,
1984-05-08,,,0.1020795702934265,,,,,,
1984-05-09,,,0.1020795702934265,,,,,,
1984-05-10,,,0.0994955003261566,0.10182120054960249,,,,,
1984-05-11,,,0.0982032641768455,0.10078749507665632,,,,,
1984-05-14,,,0.0982032641768455,0.10001223385334013,,,,,
1984-05-15,,,0.100787729024887,0.09975386559963222,,,,,
1984-05-16,,,0.100787729024887,0.0994954973459243,,,,,
1984-05-17,,,0.100787729024887,0.0997539430856704,0.10078757181763645,,,,
1984-05-18,,,0.0878661796450614,0.09768652617931357,0.09923701062798496,,,,
1984-05-21,,,0.0878661796450614,0.09561910927295676,0.09781567156314844,,,,
1984-05-22,,,0.0878661796450614,0.09303479939699164,0.09639433249831193,,,,
1984-05-23,,,0.0891584083437919,0.09070893526077263,0.09510221630334846,,,,
1984-05-24,,,0.0891584083437919,0.0883830711245536,0.094068507105112,,,,
1984-05-25,,,0.0891584083437919,0.0886415168642997,0.09316402152180664,,,,
1984-05-28,,,0.0891584083437919,0.08889996260404581,0.09225953593850128,,,,
1984-05-29,,,0.0891584083437919,0.0891584083437919,0.09109660387039177,,,,
1984-05-30,,,0.0891584083437919,0.0891584083437919,0.08993367180228226,,,,
1984-05-31,,,0.0891584083437919,0.0891584083437919,0.08877073973417274,0.0947791557759046,,,
1984-06-01,,,0.0917424485087394,0.0896752163767814,0.08915836662054055,0.09419768862426274,,,
1984-06-04,,,0.0930347144603729,0.0904504776000976,0.0896752201020717,0.09374544583261006,,,
1984-06-05,,,0.0943269729614257,0.09148419052362436,0.09032129943370813,0.09335781596601003,,,
1984-06-06,,,0.0943269729614257,0.09251790344715112,0.09083815589547152,0.09297018609940999,,,
1984-06-07,,,0.0969110205769538,0.0940684258937835,0.0916134171187877,0.09284096211194985,,,
1984-06-08,,,0.0969110205769538,0.09510214030742639,0.09238867834210389,0.09277634993195527,,,
1984-06-11,,,0.0969110205769538,0.09587740153074256,0.09316393956542009,0.09271173775196068,,,
1984-06-12,,,0.0982032641768455,0.09665265977382653,0.09406842514872545,0.09258251450955861,,,
1984-06-13,,,0.0982032641768455,0.09742791801691049,0.0949729107320308,0.09245329126715654,,,
1984-06-14,,,0.0982032641768455,0.09768636673688882,0.09587739631533616,0.09232406802475446,,,
1984-06-15,,,0.0982032641768455,0.09794481545686715,0.09652347788214677,0.09284092225134366,,,
1984-06-18,,,0.0982032641768455,0.0982032641768455,0.09704033285379401,0.09335777647793286,,,
1984-06-19,,,0.0994955003261566,0.0984617114067077,0.09755718559026712,0.09393924251198763,,,
1984-06-20,,,0.0994955003261566,0.09872015863656994,0.0980740383267402,0.09445609711110586,,,
1984-06-21,,,0.0994955003261566,0.09897860586643217,0.0983324863016605,0.0949729517102241,,,
1984-06-22,,,0.0994955003261566,0.09923705309629438,0.09859093427658076,0.09548980630934233,,,
1984-06-25,,,0.0982032641768455,0.09923705309629438,0.09872015863656994,0.09594204910099502,,,
1984-06-26,,,0.0956192091107368,0.09846179485321042,0.09846175312995907,0.09626508913934226,,,
1984-06-27,,,0.0956192091107368,0.09768653661012647,0.09820334762334819,0.0965881291776895,,,
1984-06-28,,,0.0930347144603729,0.09639437943696971,0.09768649265170094,0.09678194448351854,,,
1984-06-29,,,0.0930347144603729,0.09510222226381297,0.09716963768005368,0.09684655778110023,,,
1984-07-02,,,0.0930347144603729,0.09406851232051847,0.09665278270840642,0.09684655778110023,,,
1984-07-03,,,0.0878661796450614,0.09251790642738338,0.0954898506402969,0.09652351811528201,,,
1984-07-04,,,0.0878661796450614,0.0909673005342483,0.09432691857218738,0.0962004784494638,,,
1984-07-05,,,0.0878661796450614,0.089933593571186,0.09316398650407785,0.09574823640286918,,,
1984-07-06,,,0.0878661796450614,0.08889988660812369,0.09200105443596833,0.09529599435627455,,,
1984-07-09,,,0.0852816626429557,0.08734927624464026,0.09070889428257936,0.09471452645957465,,,
1984-07-10,,,0.0852816626429557,0.08683237284421912,0.08967513963580125,0.09406844638288016,,,
1984-07-11,,,0.0865739285945892,0.08657392263412468,0.08877061158418649,0.09348697960376734,,,
1984-07-12,,,0.0865739285945892,0.08631547242403023,0.08812453299760811,0.09290551282465452,0.09424934670329088,,
1984-07-13,,,0.0865739285945892,0.08605702221393581,0.08747845441102975,0.09232404604554172,0.09391338944435114,,
1984-07-16,,,0.0865739285945892,0.0863154754042625,0.08683237582445139,0.0917425792664289,0.0936032766103744,,
1984-07-17,,,0.0865739285945892,0.0865739285945892,0.08670315071940415,0.09109650067985053,0.09329316377639765,,
1984-07-18,,,0.0878661796450614,0.08683237880468364,0.08670315071940417,0.09051503464579577,0.09300889596343036,,
1984-07-19,,,0.0891584083437919,0.08734927475452417,0.08683237358927721,0.08999818004667753,0.09280215412378306,,
1984-07-20,,,0.0891584083437919,0.08786617070436473,0.08696159645915028,0.0894813254475593,0.09262125700712197,,
1984-07-23,,,0.0891584083437919,0.08838306665420527,0.08734927102923387,0.08902908265590662,0.0924403598904609,,
1984-07-24,,,0.0891584083437919,0.0888999626040458,0.08773694559931751,0.08870604261755938,0.09220777347683899,,
1984-07-25,,,0.0891584083437919,0.0891584083437919,0.08799539357423777,0.08838300257921214,0.0919751870632171,,
1984-07-26,,,0.0891584083437919,0.0891584083437919,0.08825384154915805,0.08818918727338308,0.0917426006495952,,
