Date,GRADE,GPS,BR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2007-03-22,,,14.109139442443848,,,,,,
2007-03-23,,,14.270585060119627,,,,,,
2007-03-26,,,14.509252548217772,,,,,,
2007-03-27,,,14.284626960754396,,,,,,
2007-03-28,,,13.968754768371582,14.228471755981445,,,,,
2007-03-29,,,13.828362464904783,14.172316360473634,,,,,
2007-03-30,,,13.828362464904783,14.083871841430664,,,,,
2007-04-02,,,13.694990158081056,13.921019363403321,,,,,
2007-04-03,,,13.38613224029541,13.741320419311524,,,,,
2007-04-04,,,13.273818969726562,13.602333259582519,13.915402507781982,,,,
2007-04-05,,,13.60373592376709,13.55740795135498,13.864862155914306,,,,
2007-04-06,,,13.60373592376709,13.512482643127441,13.798177242279053,,,,
2007-04-09,,,13.37911605834961,13.449307823181153,13.685163593292236,,,,
2007-04-10,,,13.491425514221191,13.470366477966309,13.605843448638916,,,,
2007-04-11,,,13.414216995239258,13.498446083068847,13.550389671325684,,,,
2007-04-12,,,13.477387428283691,13.473176383972168,13.515292167663574,,,,
2007-04-13,,,13.744129180908203,13.50125503540039,13.506868839263916,,,,
2007-04-16,,,13.940675735473633,13.613566970825195,13.531437397003174,,,,
2007-04-17,,,14.333763122558594,13.782034492492675,13.626200485229493,,,,
2007-04-18,,,14.516270637512209,14.002445220947266,13.750445652008057,13.832924079895019,,,
2007-04-19,,,14.839170455932615,14.27480182647705,13.87398910522461,13.869425630569458,,,
2007-04-20,,,14.797052383422852,14.48538646697998,13.993320751190186,13.89574899673462,,,
2007-04-23,,,14.530305862426758,14.603312492370605,14.108439731597901,13.896801662445068,,,
2007-04-24,,,14.467130661010742,14.629986000061034,14.206010246276856,13.905926847457886,,,
2007-04-25,,,14.221457481384276,14.57102336883545,14.286734294891357,13.918561983108521,,,
2007-04-26,,,14.081066131591797,14.419402503967286,14.347102165222168,13.931197166442871,,,
2007-04-27,,,14.193371772766112,14.298666381835938,14.392026424407959,13.949447631835938,,,
2007-04-30,,,14.067026138305664,14.206010437011718,14.404661464691163,13.968049430847168,,,
2007-05-01,,,14.067026138305664,14.125989532470703,14.37798776626587,14.00209412574768,,,
2007-05-02,,,14.052988052368164,14.09229564666748,14.331659507751464,14.04105257987976,,,
2007-05-03,,,14.24953269958496,14.125988960266113,14.272695732116699,14.073342418670654,,,
2007-05-04,,,14.586465835571287,14.20460777282715,14.251637077331543,14.122478914260864,,,
2007-05-07,,,14.74791145324707,14.34078483581543,14.273397636413574,14.190918684005737,,,
2007-05-08,,,14.930426597595217,14.51346492767334,14.319727230072022,14.262868738174438,,,
2007-05-09,,,15.0216703414917,14.707201385498047,14.399748516082763,14.34324140548706,,,
2007-05-10,,,14.825127601623535,14.822320365905762,14.474154663085937,14.410628414154052,,,
2007-05-11,,,15.042730331420898,14.913573265075684,14.559090518951416,14.475558471679687,,,
2007-05-14,,,14.958494186401367,14.955689811706543,14.648237323760986,14.526449394226074,,,
2007-05-15,,,14.628583908081056,14.895321273803711,14.704393100738525,14.541190433502198,,,
2007-05-16,,,14.389917373657228,14.768970680236816,14.738086032867432,14.534872770309448,,,
