Date,GRADE,GPS,SJM,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1994-10-31,,,11.656508445739746,,,,,,
1994-11-01,,,11.47246551513672,,,,,,
1994-11-02,,,11.656508445739746,,,,,,
1994-11-03,,,11.595162391662598,,,,,,
1994-11-04,,,11.349760055541992,11.54608097076416,,,,,
1994-11-07,,,11.411115646362305,11.497002410888673,,,,,
1994-11-08,,,11.288410186767578,11.460191345214843,,,,,
1994-11-09,,,11.349760055541992,11.398841667175294,,,,,
1994-11-10,,,11.349760055541992,11.349761199951171,,,,,
1994-11-11,,,11.349760055541992,11.349761199951171,11.447921085357667,,,,
1994-11-14,,,11.349760055541992,11.33749008178711,11.417246246337891,,,,
1994-11-15,,,11.288410186767578,11.33749008178711,11.398840713500977,,,,
1994-11-16,,,11.349760055541992,11.33749008178711,11.368165874481202,,,,
1994-11-17,,,11.717860221862791,11.411110115051269,11.38043565750122,,,,
1994-11-18,,,11.595162391662598,11.460190582275391,11.404975891113281,,,,
1994-11-21,,,11.656508445739746,11.521540260314941,11.429515171051026,,,,
1994-11-22,,,11.533814430236816,11.570621109008789,11.45405559539795,,,,
1994-11-23,,,11.595162391662598,11.61970157623291,11.47859582901001,,,,
1994-11-24,,,11.595162391662598,11.59516201019287,11.50313606262207,,,,
1994-11-25,,,11.533814430236816,11.582892417907715,11.521541500091553,11.484731292724609,,,
1994-11-28,,,11.533814430236816,11.558353614807128,11.539946937561036,11.478596591949463,,,
1994-11-29,,,11.47246551513672,11.54608383178711,11.55835247039795,11.478596591949463,,,
1994-11-30,,,11.47246551513672,11.521544456481934,11.570623016357422,11.469394445419312,,,
1994-12-01,,,11.165712356567385,11.435654449462891,11.51540822982788,11.44792194366455,,,
1994-12-02,,,11.165712356567385,11.362034034729005,11.472463226318359,11.438719558715821,,,
1994-12-05,,,11.10435962677002,11.276143074035646,11.417248344421386,11.423381757736205,,,
1994-12-06,,,10.85895824432373,11.153441619873048,11.349762725830079,11.401909160614014,,,
1994-12-07,,,10.85895824432373,11.03074016571045,11.27614231109619,11.377369070053101,,,
1994-12-08,,,10.920312881469728,10.981660270690918,11.208657360076906,11.355896711349487,,,
1994-12-09,,,10.797611236572266,10.908040046691895,11.13503704071045,11.328289270401001,,,
1994-12-12,,,10.85895824432373,10.858959770202636,11.067551422119141,11.303749179840088,,,
1994-12-13,,,11.10435962677002,10.908040046691895,11.030740833282472,11.29454665184021,,,
1994-12-14,,,11.717860221862791,11.079820442199708,11.055280303955078,11.31295166015625,,,
1994-12-15,,,12.147318840026855,11.325221633911132,11.153440952301025,11.334424591064453,,,
1994-12-16,,,11.963263511657717,11.558352088928222,11.23319606781006,11.352829647064208,,,
1994-12-19,,,11.779213905334473,11.74240322113037,11.300681495666504,11.358964920043945,,,
1994-12-20,,,11.963263511657717,11.91418399810791,11.411112022399902,11.38043737411499,,,
1994-12-21,,,12.208666801452637,12.012345314025879,11.546082878112793,11.411112594604493,,,
1994-12-22,,,12.208666801452637,12.024614906311035,11.674918270111084,11.441787815093994,,,
1994-12-23,,,12.270013809204102,12.085964965820313,11.822158527374267,11.478597784042359,,,
1994-12-26,,,12.270013809204102,12.184124946594238,11.963264083862304,11.515407752990722,,,
1994-12-27,,,12.147318840026855,12.220936012268066,12.067560005187989,11.549150419235229,,,
1994-12-28,,,12.147318840026855,12.20866641998291,12.110505867004395,11.582893085479736,,,
1994-12-29,,,11.656508445739746,12.098234748840332,12.061424827575683,11.607432889938355,,,
1994-12-30,,,11.779213905334473,12.000074768066407,12.043019866943359,11.638107967376708,,,
1995-01-02,,,11.779213905334473,11.90191478729248,12.043019866943359,11.671850681304932,,,
1995-01-03,,,11.656508445739746,11.80375270843506,12.012344360351562,11.711728191375732,,,
1995-01-04,,,11.901917457580566,11.754672431945801,11.981669425964355,11.763876152038574,,,
1995-01-05,,,11.840561866760254,11.791483116149902,11.944858932495118,11.8098886013031,,,
1995-01-06,,,11.901917457580566,11.816023826599121,11.908049297332763,11.865103912353515,11.56694149017334,,
1995-01-09,,,11.840561866760254,11.828293418884277,11.86510410308838,11.914184093475342,11.57062255859375,,
1995-01-10,,,11.533814430236816,11.803754615783692,11.803753662109376,11.935656833648682,11.571849536895751,,
1995-01-11,,,11.533814430236816,11.730134010314941,11.74240322113037,11.926454544067383,11.569395656585693,,
1995-01-12,,,11.47246551513672,11.656514739990236,11.723998928070069,11.892711877822876,11.566941719055176,,
1995-01-13,,,11.533814430236816,11.582894134521485,11.699458980560303,11.871239423751831,11.570622806549073,,
1995-01-16,,,11.533814430236816,11.521544647216796,11.674919033050537,11.858969449996948,11.573076782226563,,
1995-01-17,,,11.656508445739746,11.546083450317383,11.674919033050537,11.843631696701049,11.580438747406006,,
1995-01-18,,,11.656508445739746,11.57062225341797,11.650378131866455,11.816023778915405,11.58657371520996,,
1995-01-19,,,11.533814430236816,11.582892036437988,11.619703388214111,11.782281160354614,11.590254802703857,,
1995-01-20,,,11.165712356567385,11.509271621704102,11.546082878112793,11.727066087722779,11.586573848724365,,
1995-01-23,,,11.411115646362305,11.484731864929199,11.503138256072997,11.68412117958069,11.587800960540772,,
1995-01-24,,,11.411115646362305,11.43565330505371,11.490868377685548,11.647311019897462,11.590255069732667,,
1995-01-25,,,11.595162391662598,11.423384094238282,11.497003173828125,11.619703197479248,11.595163116455078,,
1995-01-26,,,11.47246551513672,11.411114311218261,11.497003173828125,11.610501050949098,11.590255222320557,,
1995-01-27,,,11.227062225341797,11.423384284973144,11.466327953338624,11.582893466949464,11.58289321899414,,
