Date,GRADE,GPS,STLD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1996-11-22,,,3.014389038085937,,,,,,
1996-11-25,,,2.8930041790008545,,,,,,
1996-11-26,,,2.8525424003601074,,,,,,
1996-11-27,,,2.8323123455047607,,,,,,
1996-11-28,,,2.8323123455047607,2.884912061691284,,,,,
1996-11-29,,,2.9536969661712646,2.8727736473083496,,,,,
1996-12-02,,,2.8525424003601074,2.8646812915802,,,,,
1996-12-03,,,2.913235664367676,2.876819944381714,,,,,
1996-12-04,,,2.913235664367676,2.893004608154297,,,,,
1996-12-05,,,2.8727729320526123,2.901096725463867,2.8930043935775758,,,,
1996-12-06,,,2.8930041790008545,2.8889581680297853,2.8808659076690675,,,,
1996-12-09,,,2.8323123455047607,2.8849121570587157,2.874796724319458,,,,
1996-12-10,,,2.8525424003601074,2.8727735042572022,2.874796724319458,,,,
1996-12-11,,,2.913235664367676,2.8727735042572022,2.8828890562057494,,,,
1996-12-12,,,2.8930041790008545,2.8768197536468505,2.888958239555359,,,,
1996-12-13,,,2.8930041790008545,2.8768197536468505,2.8828889608383177,,,,
1996-12-16,,,2.8323123455047607,2.8768197536468505,2.880865955352783,,,,
1996-12-17,,,2.8727729320526123,2.8808658599853514,2.876819682121277,,,,
1996-12-18,,,3.014389038085937,2.901096534729004,2.886935019493103,,,,
1996-12-19,,,3.156004905700684,2.95369668006897,2.91525821685791,2.904131305217743,,,
1996-12-20,,,3.196465492248535,3.0143889427185058,2.945604348182678,2.913235127925873,,,
1996-12-23,,,3.176236391067505,3.0831737518310547,2.979996752738953,2.9273967385292052,,,
1996-12-24,,,3.1155447959899902,3.1317281246185305,3.006296992301941,2.9405468583106993,,,
1996-12-25,,,3.1155447959899902,3.151959276199341,3.0265279054641723,2.954708480834961,,,
1996-12-26,,,3.075081586837769,3.135774612426758,3.044735646247864,2.9668469429016113,,,
1996-12-27,,,3.095312118530273,3.1155439376831056,3.0649664402008057,2.9739277005195617,,,
1996-12-30,,,3.1357734203338623,3.107451343536377,3.095312547683716,2.9880892515182493,,,
1996-12-31,,,3.095312118530273,3.1034048080444334,3.117566466331482,2.9971930742263795,,,
1997-01-01,,,3.095312118530273,3.09935827255249,3.1256587743759154,3.006296896934509,,,
1997-01-02,,,3.075081586837769,3.0993582725524904,3.117566442489624,3.0164123296737673,,,
