Date,GRADE,GPS,RCL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1993-04-28,,,5.851508140563965,,,,,,
1993-04-29,,,5.971744060516357,,,,,,
1993-04-30,,,5.891587734222412,,,,,,
1993-05-03,,,5.891587734222412,,,,,,
1993-05-04,,,5.811426639556885,5.883570861816406,,,,,
1993-05-05,,,5.691189289093018,5.851507091522217,,,,,
1993-05-06,,,5.651113033294678,5.787380886077881,,,,,
1993-05-07,,,5.691189289093018,5.747301197052002,,,,,
1993-05-10,,,5.691189289093018,5.707221508026123,,,,,
1993-05-11,,,5.731270790100098,5.691190338134765,5.787380599975586,,,,
1993-05-12,,,5.651113033294678,5.683175086975098,5.767341089248657,,,,
1993-05-13,,,5.611034393310547,5.675159358978272,5.731270122528076,,,,
1993-05-14,,,5.611034393310547,5.6591283798217775,5.70321478843689,,,,
1993-05-17,,,5.53087329864502,5.627065181732178,5.66714334487915,,,,
1993-05-18,,,5.290403366088867,5.538891696929932,5.615041017532349,,,,
1993-05-19,,,5.41063928604126,5.490796947479248,5.586986017227173,,,,
1993-05-20,,,5.21024751663208,5.4106395721435545,5.542899465560913,,,,
1993-05-21,,,5.25032377243042,5.338497447967529,5.498812913894653,,,,
1993-05-24,,,5.21024751663208,5.274372291564942,5.450718736648559,,,,
1993-05-25,,,5.090009689331055,5.2342935562133786,5.386592626571655,5.586986613273621,,,
1993-05-26,,,5.290403366088867,5.2102463722229,5.350521659851074,5.558931374549866,,,
1993-05-27,,,5.450721263885498,5.258341121673584,5.334490346908569,5.532880234718323,,,
1993-05-28,,,5.570957660675049,5.322467899322509,5.33048267364502,5.516848731040954,,,
1993-05-31,,,5.570957660675049,5.3946099281311035,5.334491109848022,5.500817227363586,,,
1993-06-01,,,5.450721263885498,5.466752243041992,5.350522899627686,5.482781958580017,,,
1993-06-02,,,5.570957660675049,5.522863101959229,5.3665547370910645,5.476770377159118,,,
1993-06-03,,,5.450721263885498,5.522863101959229,5.390602111816406,5.4667507886886595,,,
1993-06-04,,,5.490799427032471,5.506831455230713,5.4146496772766115,5.456731295585632,,,
1993-06-07,,,5.53087329864502,5.498814582824707,5.446712255477905,5.448715496063232,,,
1993-06-08,,,5.490799427032471,5.506830215454102,5.4867912292480465,5.436691927909851,,,
1993-06-09,,,5.41063928604126,5.474766540527344,5.498814821243286,5.42466824054718,,,
1993-06-10,,,5.490799427032471,5.482782173156738,5.502822637557983,5.418656492233277,,,
1993-06-11,,,5.651113033294678,5.51484489440918,5.510838174819947,5.420660424232483,,,
1993-06-14,,,5.731270790100098,5.554924392700196,5.526869487762451,5.430680298805237,,,
1993-06-15,,,5.691189289093018,5.595002365112305,5.550916290283203,5.450719594955444,,,
1993-06-16,,,5.731270790100098,5.659128665924072,5.566947603225708,5.466751170158386,,,
1993-06-17,,,5.731270790100098,5.707222938537598,5.595002555847168,5.492802333831787,,,
1993-06-18,,,5.691189289093018,5.715238189697265,5.6150415420532225,5.514845609664917,,,
1993-06-21,,,5.691189289093018,5.70722188949585,5.631073141098023,5.538892698287964,,,
1993-06-22,,,5.691189289093018,5.70722188949585,5.651112127304077,5.568951678276062,,,
1993-06-23,,,5.611034393310547,5.6831746101379395,5.671151638031006,5.584983229637146,,,
1993-06-24,,,5.651113033294678,5.667143058776856,5.687182998657226,5.595002818107605,,,
1993-06-25,,,5.891587734222412,5.707222747802734,5.71123046875,5.611034321784973,,,
1993-06-28,,,6.132059574127197,5.79539680480957,5.75130934715271,5.639089417457581,,,
1993-06-29,,,6.091980457305908,5.875555038452148,5.791388463973999,5.671152377128601,,,
1993-06-30,,,6.091980457305908,5.971744251251221,5.82745943069458,5.697203516960144,,,
1993-07-01,,,6.172139644622803,6.075949573516846,5.87154631614685,5.733274435997009,,,
1993-07-02,,,6.091980457305908,6.116028118133545,5.9116254329681395,5.763333487510681,,,
1993-07-05,,,6.091980457305908,6.108012294769287,5.9517045497894285,5.791388845443725,,,
1993-07-06,,,5.971744060516357,6.083965015411377,5.979760026931762,5.81543607711792,5.658327322006226,,
1993-07-07,,,5.931665420532227,6.051902008056641,6.011823129653931,5.841487383842468,5.659930467605591,,
1993-07-08,,,6.091980457305908,6.035870170593261,6.055909872055054,5.87154643535614,5.662335195541382,,
1993-07-09,,,6.091980457305908,6.035870170593261,6.0759491443634035,5.893589806556702,5.666343050003052,,
1993-07-12,,,6.091980457305908,6.035870170593261,6.071941232681274,5.9116252899169925,5.670350904464722,,
1993-07-13,,,6.091980457305908,6.059917449951172,6.071941232681274,5.931664848327637,5.675961980819702,,
1993-07-14,,,6.252292156219482,6.124042797088623,6.087972402572632,5.957715916633606,5.687184038162232,,
1993-07-15,,,6.252292156219482,6.1561051368713375,6.0959876537322994,5.983766984939575,5.699207620620728,,
1993-07-16,,,6.252292156219482,6.188167476654053,6.112018823623657,6.011822128295899,5.710429677963257,,
1993-07-19,,,6.252292156219482,6.220229816436768,6.128049993515015,6.039877271652221,5.7216517353057865,,
1993-07-20,,,6.252292156219482,6.252292156219482,6.156104803085327,6.067932415008545,5.732072162628174,,
1993-07-21,,,6.372534275054932,6.276340579986572,6.200191688537598,6.106007409095764,5.7465005874633786,,
1993-07-22,,,6.452691078186035,6.316420364379883,6.2362627506256105,6.146086311340332,5.763333721160889,,
1993-07-23,,,6.332452297210693,6.332452392578125,6.260309934616089,6.168129539489746,5.777762079238892,,
1993-07-26,,,6.452691078186035,6.372532176971435,6.296380996704102,6.184161114692688,5.796198434829712,,
