Date,GRADE,GPS,LNT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.0841060876846311,,,,,,
1983-11-22,,,1.0841060876846311,,,,,,
1983-11-23,,,1.0841060876846311,,,,,,
1983-11-24,,,1.0841060876846311,,,,,,
1983-11-25,,,1.0841060876846311,1.0841060876846311,,,,,
1983-11-28,,,1.0700267553329468,1.0812902212142943,,,,,
1983-11-29,,,1.074719786643982,1.0794129610061645,,,,,
1983-11-30,,,1.055946707725525,1.0737810850143432,,,,,
1983-12-01,,,1.0512545108795166,1.0672107696533204,,,,,
1983-12-02,,,1.0512545108795166,1.0606404542922974,1.0723732709884641,,,,
1983-12-05,,,1.0512545108795166,1.0568860054016114,1.0690881133079526,,,,
1983-12-06,,,1.074719786643982,1.0568860054016114,1.0681494832038878,,,,
1983-12-07,,,1.074719786643982,1.0606406211853028,1.0672108530998228,,,,
1983-12-08,,,1.0700267553329468,1.0643950700759888,1.0658029198646546,,,,
1983-12-09,,,1.0512545108795166,1.0643950700759888,1.062517762184143,,,,
1983-12-12,,,1.0371748208999634,1.061579132080078,1.0592325687408448,,,,
1983-12-13,,,1.032481670379639,1.0531315088272095,1.0550087571144104,,,,
1983-12-14,,,1.0418680906295776,1.0465611696243287,1.0536008954048157,,,,
1983-12-15,,,1.0230954885482788,1.037174916267395,1.050784993171692,,,,
1983-12-16,,,1.0371748208999634,1.0343589782714844,1.0493770241737366,1.0608751475811005,,,
1983-12-19,,,1.0277888774871826,1.0324817895889282,1.0470304608345031,1.058059287071228,,,
1983-12-20,,,1.0465614795684814,1.0352977514266968,1.044214630126953,1.0561820566654205,,,
1983-12-21,,,1.055946707725525,1.0381134748458862,1.0423373222351073,1.0547740876674652,,,
1983-12-22,,,1.055946707725525,1.0446837186813354,1.0409293174743652,1.0533661186695098,,,
1983-12-23,,,1.0606406927108765,1.049376893043518,1.0418679356575011,1.052192848920822,,,
1983-12-26,,,1.0606406927108765,1.0559472560882568,1.0442145228385926,1.0517235457897187,,,
1983-12-27,,,1.0653327703475952,1.0597015142440795,1.0474996328353883,1.0512541949748992,,,
1983-12-28,,,1.0653327703475952,1.0615787267684937,1.04984610080719,1.0517234981060029,,,
1983-12-29,,,1.0653327703475952,1.0634559392929077,1.0540698289871215,1.0524274110794067,,,
1983-12-30,,,1.0700267553329468,1.0653331518173217,1.05735502243042,1.0533660233020783,,,
1984-01-02,,,1.0700267553329468,1.0672103643417359,1.0615788102149963,1.0543046355247498,,,
1984-01-03,,,1.074719786643982,1.069087767601013,1.0643946409225464,1.0543046355247498,,,
1984-01-04,,,1.0841060876846311,1.0728424310684204,1.067210578918457,1.0547739505767821,,,
1984-01-05,,,1.0934922695159912,1.0784743309020997,1.0709651350975036,1.0559472262859344,,,
1984-01-06,,,1.088798999786377,1.0822287797927856,1.0737809658050537,1.0578244507312775,,,
1984-01-09,,,1.0934922695159912,1.0869218826293945,1.0770661234855652,1.060640323162079,,,
1984-01-10,,,1.0981851816177368,1.0916149616241455,1.0803513646125793,1.0639254987239837,,,
1984-01-11,,,1.0981851816177368,1.0944307804107667,1.0836366057395934,1.0667413532733918,,,
1984-01-12,,,1.0981851816177368,1.0953693628311156,1.0869218468666078,1.0704958379268645,,,
1984-01-13,,,1.0841060876846311,1.0944307804107667,1.0883297801017762,1.072842401266098,,,
1984-01-16,,,1.0841060876846311,1.0925535440444945,1.0897377133369446,1.0756582617759705,,,
1984-01-17,,,1.0934922695159912,1.0916149616241453,1.0916149616241455,1.0780048012733459,,,
1984-01-18,,,1.1075712442398071,1.0934921741485595,1.093961477279663,1.08058602809906,,,
1984-01-19,,,1.1028785705566406,1.0944308519363402,1.0949001073837281,1.0829326212406158,,,
1984-01-20,,,1.088798999786377,1.0953694343566895,1.0949001073837281,1.0843405365943908,,,
1984-01-23,,,1.0794124603271484,1.0944307088851928,1.0934921264648438,1.0852791249752045,,,
1984-01-24,,,1.0841060876846311,1.092553472518921,1.0920842170715332,1.0862177908420563,,,
1984-01-25,,,1.074719786643982,1.0859831809997558,1.0897376775741576,1.0866871416568755,,,
1984-01-26,,,1.074719786643982,1.080351424217224,1.0873911380767822,1.087156492471695,,,
1984-01-27,,,1.074719786643982,1.077535581588745,1.0864525079727172,1.0873911440372468,1.070777521133423,,
1984-01-30,,,1.0700267553329468,1.0756584405899048,1.0850445747375488,1.0873911440372468,1.0704959344863891,,
1984-01-31,,,1.0700267553329468,1.072842574119568,1.0826980233192445,1.087156492471695,1.0702143478393555,,
1984-02-01,,,1.074719786643982,1.072842574119568,1.0794128775596619,1.0866871774196625,1.0700266218185426,,
1984-02-02,,,1.0700267553329468,1.0719039678573608,1.0761276960372925,1.0855139017105102,1.0697450351715088,,
1984-02-03,,,1.0465614795684814,1.0662723064422608,1.071903944015503,1.0834020256996155,1.0689941430091858,,
1984-02-06,,,1.0512545108795166,1.0625178575515748,1.0690881490707398,1.0812901377677917,1.0686186981201171,,
1984-02-07,,,1.0512545108795166,1.0587634086608886,1.0658029913902283,1.0789436042308806,1.0681493926048278,,
1984-02-08,,,1.0371748208999634,1.0512544155120849,1.0620484948158264,1.075893086194992,1.0677739548683167,,
1984-02-09,,,1.0230954885482788,1.0418681621551513,1.0568860650062561,1.072138601541519,1.0672107744216919,,
1984-02-10,,,1.0137090682983398,1.035297679901123,1.050784993171692,1.0686187505722047,1.0664598655700683,,
1984-02-13,,,0.9949367642402648,1.0240341305732727,1.0432759940624237,1.064160284399986,1.0653335106372834,,
