Date,GRADE,GPS,BDX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.2219104766845703,,,,,,
1983-11-22,,,1.1980299949645996,,,,,,
1983-11-23,,,1.186089277267456,,,,,,
1983-11-24,,,1.186089277267456,,,,,,
1983-11-25,,,1.2020094394683838,1.1988256931304933,,,,,
1983-11-28,,,1.1940497159957886,1.1932535409927367,,,,,
1983-11-29,,,1.2099698781967163,1.1956415176391602,,,,,
1983-11-30,,,1.2020094394683838,1.1988255500793457,,,,,
1983-12-01,,,1.182109236717224,1.1980295419692992,,,,,
1983-12-02,,,1.1940497159957886,1.1964375972747803,1.1976316452026368,,,,
1983-12-05,,,1.1791948080062866,1.1934666156768798,1.1933600783348084,,,,
1983-12-06,,,1.1791948080062866,1.187311601638794,1.1914765596389771,,,,
1983-12-07,,,1.1631505489349363,1.1795398235321044,1.1891826868057251,,,,
1983-12-08,,,1.1390849351882937,1.1709349632263184,1.184482252597809,,,,
1983-12-09,,,1.1350735425949097,1.1591397285461427,1.1777886629104615,,,,
1983-12-12,,,1.1310628652572632,1.149513339996338,1.1714899778366088,,,,
1983-12-13,,,1.1150197982788086,1.1366783380508423,1.1619949698448182,,,,
1983-12-14,,,1.1390849351882937,1.1318652153015136,1.1557025194168091,,,,
1983-12-15,,,1.1310628652572632,1.1302608013153077,1.150597882270813,,,,
1983-12-16,,,1.1390849351882937,1.1310630798339845,1.1451014041900636,1.17136652469635,,,
1983-12-19,,,1.147106647491455,1.1342718362808228,1.1418925881385804,1.1676263332366943,,,
1983-12-20,,,1.1390849351882937,1.1390848636627198,1.137881600856781,1.164679080247879,,,
1983-12-21,,,1.147106647491455,1.140689206123352,1.1362772107124328,1.162729948759079,,,
1983-12-22,,,1.1631505489349363,1.1471067428588868,1.1386837720870973,1.161583012342453,,,
1983-12-23,,,1.1631505489349363,1.1519198656082152,1.1414914727210999,1.1596400678157806,,,
1983-12-26,,,1.1631505489349363,1.1551286458969117,1.1447002410888671,1.158095109462738,,,
1983-12-27,,,1.171172022819519,1.1615460634231567,1.1503154635429382,1.1561552166938782,,,
1983-12-28,,,1.1671611070632937,1.1655569553375245,1.1531230807304382,1.1544128000736236,,,
1983-12-29,,,1.1551289558410645,1.16395263671875,1.1555296897888183,1.1530637860298156,,,
1983-12-30,,,1.1791948080062866,1.16716148853302,1.1595406770706176,1.1523210406303406,,,
1984-01-02,,,1.1791948080062866,1.17037034034729,1.1627494931221007,1.1523210406303406,,,
1984-01-03,,,1.211280107498169,1.17839195728302,1.1699690103530884,1.1539253056049348,,,
1984-01-04,,,1.231334567070007,1.1912266492843628,1.1783918023109436,1.1573345065116882,,,
1984-01-05,,,1.255400538444519,1.2112809658050536,1.187616801261902,1.1631502866744996,,,
1984-01-06,,,1.255400538444519,1.2265221118927,1.19684180021286,1.16916663646698,,,
1984-01-09,,,1.243366837501526,1.239356517791748,1.204863429069519,1.1747818350791932,,,
1984-01-10,,,1.2473784685134888,1.246576189994812,1.212484073638916,1.1813997685909272,,,
1984-01-11,,,1.2513889074325562,1.2505870580673217,1.2209068536758423,1.1870149672031403,,,
1984-01-12,,,1.243366837501526,1.2481803178787232,1.2297306418418885,1.1926301658153533,,,
1984-01-13,,,1.235345482826233,1.2441693067550659,1.235345709323883,1.1974431931972505,,,
1984-01-16,,,1.239356517791748,1.2433672428131104,1.241361880302429,1.202055686712265,,,
1984-01-17,,,1.243366837501526,1.2425649166107178,1.244570553302765,1.2072697818279265,,,
1984-01-18,,,1.255400538444519,1.2433672428131104,1.246977150440216,1.2126844763755797,,,
1984-01-19,,,1.255400538444519,1.245773983001709,1.246977150440216,1.217296975851059,,,
1984-01-20,,,1.2473784685134888,1.2481805801391601,1.246174943447113,1.2215083718299866,,,
1984-01-23,,,1.239356517791748,1.2481805801391601,1.2457739114761353,1.2253186702728271,,,
1984-01-24,,,1.2273234128952026,1.2449718952178954,1.2437684059143066,1.2281262397766113,,,
1984-01-25,,,1.1952370405197144,1.2329391956329345,1.2381532192230225,1.2295300364494324,,,
1984-01-26,,,1.1992478370666504,1.2217086553573608,1.233741319179535,1.2317359805107118,,,
1984-01-27,,,1.171172022819519,1.206467366218567,1.2273239731788634,1.2313348412513734,1.192988681793213,,
1984-01-30,,,1.1430954933166504,1.1872151613235473,1.2176978707313537,1.2295298755168915,1.1914123821258544,,
1984-01-31,,,1.1631505489349363,1.1743805885314942,1.209676241874695,1.22712339758873,1.1907147932052613,,
1984-02-01,,,1.171172022819519,1.169567584991455,1.201253390312195,1.2241152703762055,1.1904164481163024,,
1984-02-02,,,1.171172022819519,1.1639524221420288,1.192830538749695,1.2199038445949555,1.1901181030273438,,
1984-02-03,,,1.151116967201233,1.1599414110183717,1.1832043886184693,1.214689666032791,1.1891002535820008,,
1984-02-06,,,1.1952370405197144,1.1703697204589845,1.1787924408912658,1.2122831761837005,1.1891240000724792,,
1984-02-07,,,1.1791948080062866,1.1735785722732544,1.1739795804023743,1.2088739931583405,1.1885084986686707,,
1984-02-08,,,1.1310628652572632,1.1655567407608032,1.1675621628761292,1.2028576910495759,1.1870895671844481,,
1984-02-09,,,1.1430954933166504,1.1599414348602295,1.1619469285011292,1.1978441238403321,1.1863092923164367,,
1984-02-10,,,1.147106647491455,1.159139370918274,1.1595403909683228,1.1934321820735931,1.1853704309463502,,
1984-02-13,,,1.1190305948257446,1.14389808177948,1.157133901119232,1.187415885925293,1.1841671466827393,,
