Date,GRADE,GPS,AMT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1998-02-27,,,13.266898155212402,,,,,,
1998-03-02,,,13.171453475952148,,,,,,
1998-03-03,,,13.076006889343262,,,,,,
1998-03-04,,,12.026107788085938,,,,,,
1998-03-05,,,12.312439918518066,12.770581245422363,,,,,
1998-03-06,,,12.312439918518066,12.579689598083496,,,,,
1998-03-09,,,12.121551513671877,12.36970920562744,,,,,
1998-03-10,,,12.407888412475586,12.236085510253906,,,,,
1998-03-11,,,12.407888412475586,12.312441635131837,,,,,
1998-03-12,,,12.503331184387209,12.350619888305664,12.560600566864014,,,,
1998-03-13,,,12.598773956298828,12.407886695861816,12.493788146972657,,,,
1998-03-16,,,12.312439918518066,12.446064376831055,12.407886791229249,,,,
1998-03-17,,,12.121551513671877,12.388796997070314,12.31244125366211,,,,
1998-03-18,,,12.312439918518066,12.36970729827881,12.341074466705322,,,,
1998-03-19,,,13.076006889343262,12.48424243927002,12.417431163787843,,,,
1998-03-20,,,13.55323314666748,12.67513427734375,12.541510486602784,,,,
1998-03-23,,,14.41224193572998,13.095094680786133,12.770579528808593,,,,
1998-03-24,,,15.08035659790039,13.686855697631836,13.037826347351075,,,,
1998-03-25,,,15.175804138183594,14.259528541564942,13.314617919921876,,,,
1998-03-26,,,14.984902381896973,14.641307640075684,13.562775039672852,13.061687803268432,,,
1998-03-27,,,14.698572158813477,14.870375442504884,13.772754859924316,13.133271503448487,,,
1998-03-30,,,15.175804138183594,15.023087882995606,14.059091281890868,13.233489036560059,,,
1998-03-31,,,15.366686820983888,15.080353927612304,14.383604812622071,13.34802303314209,,,
1998-04-01,,,15.65302848815918,15.175798797607422,14.717663669586182,13.529369068145751,,,
1998-04-02,,,17.752819061279297,15.729382133483886,15.185344886779784,13.801388025283813,,,
1998-04-03,,,18.898162841796875,16.569300270080568,15.719837856292724,14.130674171447755,,,
1998-04-06,,,18.325496673583984,17.199238777160645,16.111163330078124,14.440871429443359,,,
1998-04-07,,,16.893817901611328,17.504664993286134,16.292509460449217,14.665167903900146,,,
1998-04-08,,,17.18015480041504,17.810090255737304,16.492944526672364,14.90378122329712,,,
1998-04-09,,,17.56193733215332,17.771913909912108,16.750648021697998,15.156711530685424,,,
1998-04-10,,,17.56193733215332,17.5046688079834,17.036984539031984,15.40486969947815,,,
1998-04-13,,,17.27560043334961,17.294689559936522,17.246964168548583,15.653027725219726,,,
1998-04-14,,,17.371042251586914,17.390134429931642,17.447399711608888,15.915502262115478,,,
1998-04-15,,,16.60748291015625,17.275600051879884,17.542845153808592,16.130254411697386,,,
1998-04-16,,,16.225706100463867,17.008353805541994,17.39013385772705,16.28773937225342,,,
1998-04-17,,,16.512035369873047,16.798373413085937,17.151521110534667,16.435679483413697,,,
1998-04-20,,,16.893817901611328,16.722016906738283,17.008353233337402,16.559758281707765,,,
1998-04-21,,,16.893817901611328,16.626572036743163,17.008353233337402,16.65043134689331,,,
1998-04-22,,,17.56193733215332,16.817462921142578,17.04653148651123,16.769738006591798,,,
1998-04-23,,,17.94371795654297,17.161065292358398,17.084709548950194,16.917678785324096,,,
1998-04-24,,,16.79837417602539,17.218333053588868,17.008353233337402,17.022668886184693,,,
1998-04-27,,,15.939363479614258,17.027442169189452,16.874729537963866,17.060846853256226,,,
1998-04-28,,,16.41659164428711,16.93199691772461,16.779284477233887,17.113342094421387,,,
1998-04-29,,,17.18015480041504,16.855640411376953,16.836551666259766,17.18969841003418,,,
1998-04-30,,,17.56193733215332,16.779284286499024,16.97017478942871,17.18015432357788,,,
1998-05-01,,,16.893817901611328,16.79837303161621,17.00835304260254,17.079937076568605,,,
1998-05-04,,,16.512035369873047,16.91290740966797,16.97017478942871,16.989264011383057,,,
1998-05-05,,,16.225706100463867,16.87473030090332,16.903363609313963,16.955858421325683,,,
1998-05-06,,,16.79837417602539,16.79837417602539,16.827007293701172,16.9367693901062,,,
1998-05-07,,,16.32114601135254,16.550215911865234,16.66475009918213,16.87472982406616,15.324696655273437,,
1998-05-08,,,17.27560043334961,16.62657241821289,16.71247272491455,16.860412979125975,15.404870700836181,,
1998-05-11,,,17.08470916748047,16.741107177734374,16.827007293701172,16.85086841583252,15.483135814666747,,
1998-05-12,,,16.79837417602539,16.85564079284668,16.865185546875,16.822235012054442,15.557583160400391,,
1998-05-13,,,17.08470916748047,16.912907791137695,16.855640983581544,16.846096324920655,15.658755187988282,,
1998-05-14,,,17.18015480041504,17.084709548950194,16.817462730407716,16.89381875991821,15.75610948562622,,
1998-05-15,,,16.79837417602539,16.989264297485352,16.807918357849122,16.90813570022583,15.845828170776366,,
1998-05-18,,,16.41659164428711,16.85564079284668,16.798373985290528,16.884274387359618,15.931728973388672,,
1998-05-19,,,16.79837417602539,16.85564079284668,16.85564079284668,16.87950220108032,16.01953868865967,,
1998-05-20,,,16.034814834594727,16.645661926269533,16.779284858703612,16.803146076202392,16.09207721710205,,
1998-05-21,,,16.1302547454834,16.435681915283205,16.7601957321167,16.712472915649414,16.164615688323973,,
1998-05-22,,,15.748473167419434,16.22570171356201,16.607483005523683,16.659977865219116,16.227609672546386,,
1998-05-25,,,15.748473167419434,16.092078018188477,16.47385940551758,16.650433349609376,16.296330337524413,,
1998-05-26,,,14.889466285705566,15.710296440124512,16.282968616485597,16.574077081680297,16.35168863296509,,
1998-05-27,,,14.698572158813477,15.443047904968262,16.044354915618896,16.44999794960022,16.399411277770994,,
1998-05-28,,,15.65302848815918,15.347602653503419,15.89164228439331,16.354552507400513,16.450951709747315,,
