Date,GRADE,GPS,PPL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2008-12-02,50.24099187418804,C,13.737648963928224,14.212206268310547,14.07299165725708,13.90400767326355,14.179373168945313,16.517708282470704,18.81656063079834
2008-12-03,49.46685321543175,C,14.232338905334473,14.147413635253907,14.11545639038086,13.958949375152589,14.148290424346923,16.447329721450807,18.787008833885192
2008-12-04,47.64208817763134,B,13.291108131408691,13.89437484741211,14.14653844833374,13.963327026367187,14.085512161254883,16.36910146713257,18.753585872650145
2008-12-05,45.57771785557808,B,13.286727905273438,13.58442325592041,14.074740982055664,13.921956300735474,14.022033348083497,16.29056900024414,18.722860088348387
2008-12-08,46.9621415107022,B,13.740472793579102,13.657659339904786,14.031682872772217,13.93873314857483,13.97822395324707,16.21379577636719,18.6931826877594
2008-12-09,46.35823406396116,B,13.111876487731934,13.532504844665528,13.872355556488037,13.915981101989747,13.916326541900634,16.131691675186158,18.658456759452818
2008-12-10,44.93673442315867,B,13.342063903808594,13.354449844360351,13.750931739807129,13.934069919586182,13.851853199005127,16.05644726753235,18.62458203792572
2008-12-11,45.03619347238026,B,13.218122482299805,13.339852714538575,13.617113780975341,13.893646574020385,13.800048236846925,15.984260911941528,18.592448859214784
2008-12-12,45.726477207792016,B,13.311080932617188,13.344723320007324,13.464573287963868,13.84517560005188,13.75194122314453,15.914436712265015,18.561254878044128
2008-12-15,44.8455487483565,B,12.859556198120115,13.168540000915527,13.413099670410157,13.771282720565797,13.714854183197021,15.84270167350769,18.528363938331605
2008-12-16,46.27566263181566,B,13.386337280273438,13.223432159423828,13.377968502044677,13.725480079650879,13.69933494567871,15.77701584815979,18.49482915401459
2008-12-17,46.64726202939601,B,12.948084831237791,13.144636344909667,13.24954309463501,13.682499742507934,13.682843151092529,15.704342918395996,18.459901008605957
2008-12-18,47.6293730692828,B,13.21369171142578,13.143750190734863,13.241801452636718,13.694169950485229,13.673151969909668,15.632633209228516,18.427163457870485
2008-12-19,48.66868372873292,B,13.231400489807127,13.127814102172852,13.236268711090087,13.655504846572876,13.675109882354736,15.573732385635376,18.394341940879823
2008-12-22,49.51544271130586,B,13.164995193481444,13.188901901245117,13.178720951080322,13.605201911926269,13.636864471435548,15.516424856185914,18.361059021949767
2008-12-23,48.571171739973245,B,12.731182098388672,13.057870864868164,13.140651512145997,13.506503534317016,13.595633926391601,15.452131261825562,18.324226937294007
2008-12-24,49.01068385785218,B,12.83299732208252,13.03485336303711,13.08974485397339,13.42033829689026,13.592338008880615,15.388248043060303,18.288960571289063
2008-12-25,48.36246601055252,B,12.83299732208252,12.958714485168457,13.05123233795166,13.3341730594635,13.583350925445556,15.321239442825318,18.253823561668398
2008-12-26,47.61013058811333,B,12.930378913879396,12.89851016998291,13.01316213607788,13.238867712020873,13.573159351348878,15.255204658508301,18.219173460006715
2008-12-29,47.681561977675976,B,13.02334690093994,12.87018051147461,13.029541206359863,13.22132043838501,13.545126857757568,15.190620489120484,18.184837279319762
2008-12-30,49.24654548568887,B,13.408465385437012,13.005637168884277,13.03175401687622,13.204861259460449,13.53722988128662,15.132578773498535,18.151154403686522
2008-12-31,50.54193502872809,C,13.585535049438477,13.156144714355468,13.095499038696289,13.172521066665649,13.553012256622315,15.075265998840331,18.117796230316163
2009-01-01,52.147123393001245,C,13.585535049438477,13.30665225982666,13.132683372497558,13.187242412567139,13.558725681304931,15.020384063720703,18.085494651794434
2009-01-02,54.20006860124321,C,13.855561256408691,13.49168872833252,13.195099449157714,13.215684080123902,13.579033012390136,14.96750786781311,18.055750794410706
2009-01-05,56.012868113783306,C,14.028203010559082,13.692659950256347,13.281420230865479,13.2300705909729,13.608396892547608,14.916618537902831,18.02687014579773
2009-01-06,57.214809674604595,C,14.245112419128418,13.859989356994628,13.432813262939453,13.286732387542724,13.612242031097413,14.86707350730896,17.99629234790802
2009-01-07,58.01970309013684,C,14.258389472961426,13.994560241699219,13.575352478027344,13.332548666000367,13.631675262451171,14.816272258758545,17.96591028213501
2009-01-08,58.902965482086266,C,14.4974365234375,14.176940536499023,13.741796398162842,13.39651436805725,13.63899091720581,14.765821323394775,17.937176265716552
2009-01-09,58.660607666699526,C,14.236254692077637,14.253079223632813,13.872383975982666,13.442773056030273,13.636267356872558,14.711716661453247,17.905928807258604
2009-01-12,58.56096128947059,C,14.422171592712402,14.331872940063477,14.012266445159913,13.520903825759888,13.640501651763916,14.663377990722656,17.874317083358765
2009-01-13,57.852566554320795,C,14.165427207946776,14.31593589782715,14.087962627410889,13.559858322143555,13.661140098571778,14.61173394203186,17.839718089103698
2009-01-14,56.66820922322872,C,13.811296463012695,14.226517295837402,14.110538768768311,13.6030189037323,13.674695930480958,14.554595193862916,17.804297223091126
2009-01-15,55.3114484503653,C,13.88654899597168,14.104339790344238,14.140640163421631,13.636661767959595,13.688355808258057,14.497991952896118,17.771754088401796
2009-01-16,55.078107951458186,C,14.218554496765137,14.100799751281738,14.176939487457275,13.686019468307496,13.690444049835206,14.450178127288819,17.740870981216432
2009-01-19,54.50703799449878,C,14.218554496765137,14.060076332092285,14.195974636077882,13.73869743347168,13.706716423034669,14.40236430168152,17.70953502178192
2009-01-20,54.27611897645284,C,13.957379341125488,14.018466758728028,14.167201328277589,13.80000729560852,13.714525661468507,14.354326210021974,17.67674222946167
2009-01-21,54.96680097760037,C,14.09017562866211,14.07424259185791,14.150379943847657,13.8628662109375,13.73672342300415,14.312694969177246,17.641874809265136
2009-01-22,55.47807002907175,C,14.134445190429688,14.123821830749511,14.114080810546875,13.927938604354859,13.73888053894043,14.276541748046874,17.606409282684325
2009-01-23,55.52242670059741,C,14.14330005645752,14.108770942687988,14.104785346984864,13.988584661483765,13.736136531829834,14.2458163356781,17.571160502433777
2009-01-26,55.75226787956342,C,14.3203706741333,14.129134178161621,14.094605255126954,14.053435850143433,13.735795669555664,14.215307521820069,17.53785376548767
2009-01-27,56.050097759927695,C,14.03706169128418,14.145070648193359,14.081768703460693,14.08486566543579,13.730489101409912,14.18783187866211,17.503863649368284
2009-01-28,55.99169904170696,C,14.03262996673584,14.133561515808106,14.103902053833007,14.10722041130066,13.734987869262696,14.160881071090698,17.46901035785675
2009-01-29,56.103269865430754,C,14.001644134521484,14.107001304626465,14.115411567687989,14.12802586555481,13.755415000915526,14.130862398147583,17.4343687582016
2009-01-30,55.21903695454818,B,13.572256088256836,13.992792510986328,14.050781726837158,14.113860607147217,13.74676607131958,14.094142026901245,17.39850745677948
2009-02-02,54.03260521438673,B,13.532415390014648,13.835201454162597,13.982167816162109,14.089071226119994,13.733993301391601,14.062189073562623,17.361800017356874
2009-02-03,53.0537360384857,B,13.519131660461426,13.731615447998047,13.938343048095703,14.052772188186646,13.710272941589356,14.030278434753418,17.325241832733155
2009-02-04,52.7477812256896,B,13.820146560668944,13.689118766784668,13.911340141296387,14.030860042572021,13.69554983139038,14.015343179702759,17.290792484283447
2009-02-05,53.11890806171115,B,14.395620346069336,13.767914009094238,13.937457656860351,14.025769233703613,13.692336196899413,14.002003717422486,17.258702936172487
2009-02-06,54.949522898608855,B,14.701059341430664,13.993674659729004,13.993233585357666,14.049009466171265,13.689627666473388,13.98445149421692,17.227623062133787
2009-02-09,56.948582249615974,C,14.501859664916992,14.187563514709472,14.011382484436036,14.052993869781494,13.712179012298584,13.968103036880493,17.198027124404906
2009-02-10,58.255550228856684,C,14.00607204437256,14.2849515914917,14.008283519744873,14.045026111602784,13.717547473907471,13.948460321426392,17.165219025611876
2009-02-11,58.524318563852184,C,13.85113525390625,14.29114933013916,13.990134048461915,14.047018051147461,13.709923400878907,13.929106912612916,17.13260663509369
2009-02-12,57.95346467127266,C,13.899831771850586,14.19199161529541,13.979952812194824,14.047682189941407,13.722097873687744,13.903805017471313,17.100043625831603
2009-02-13,56.61458582356573,C,13.784733772277832,14.008726501464844,14.001200580596924,14.02599115371704,13.732057991027832,13.877045669555663,17.065460329055785
2009-02-16,55.325426759505625,B,13.784733772277832,13.865301322937011,14.026432418823243,14.004300117492676,13.732943210601807,13.855583581924439,17.030359530448912
2009-02-17,54.04424199017944,B,13.142860412597656,13.692658996582031,13.988805294036865,13.963574171066284,13.73356288909912,13.824944715499878,16.9916827917099
2009-02-18,52.83602401022072,B,13.107452392578123,13.543922424316406,13.917535877227783,13.914438009262085,13.728870658874511,13.79036192893982,16.952807431221007
2009-02-19,52.159532144312074,B,13.368629455566406,13.437681961059571,13.814836788177491,13.87614722251892,13.731880798339844,13.765964517593384,16.91571238040924
2009-02-20,50.759227098047255,B,12.748891830444336,13.230513572692871,13.619620037078857,13.806426811218262,13.720637016296386,13.736289119720459,16.873642535209655
