Date,GRADE,GPS,SBAC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1999-06-16,,,8.404438972473145,,,,,,
1999-06-17,,,8.226884841918945,,,,,,
1999-06-18,,,8.522812843322754,,,,,,
1999-06-21,,,8.75955867767334,,,,,,
1999-06-22,,,8.581999778747559,8.499139022827148,,,,,
1999-06-23,,,8.8779296875,8.59383716583252,,,,,
1999-06-24,,,8.64118766784668,8.676697731018066,,,,,
1999-06-25,,,8.700370788574219,8.712209320068359,,,,,
1999-06-28,,,8.75955867767334,8.712209320068359,,,,,
1999-06-29,,,8.8779296875,8.771395301818847,8.635267162322998,,,,
1999-06-30,,,9.173860549926758,8.8305814743042,8.712209320068359,,,,
1999-07-01,,,9.410606384277344,8.984465217590332,8.8305814743042,,,,
1999-07-02,,,10.298399925231934,9.304071044921875,9.008140182495117,,,,
1999-07-05,,,10.298399925231934,9.611839294433594,9.162024307250977,,,,
1999-07-06,,,10.120842933654783,9.860421943664551,9.315908622741699,,,,
1999-07-07,,,10.298399925231934,10.085329818725587,9.457955646514893,,,,
1999-07-08,,,11.600496292114258,10.523307800292969,9.753886508941651,,,,
1999-07-09,,,12.784220695495604,11.020471954345703,10.162271499633789,,,,
1999-07-12,,,14.027130126953123,11.76621799468994,10.689028644561768,,,,
1999-07-13,,,12.66584587097168,12.275218582153318,11.067820262908935,9.851543712615968,,,
1999-07-14,,,12.66584587097168,12.748707771301268,11.417018795013428,10.064614057540894,,,
1999-07-15,,,12.429102897644045,12.914429092407227,11.718868446350097,10.274724960327148,,,
1999-07-16,,,13.257710456848145,13.009127044677735,12.014799499511719,10.511469841003418,,,
1999-07-19,,,13.257710456848145,12.855243110656739,12.31073055267334,10.736377429962157,,,
1999-07-20,,,12.251542091369627,12.772382354736328,12.523800468444824,10.919854545593262,,,
1999-07-21,,,11.837241172790527,12.606661415100097,12.677684593200684,11.067820119857789,,,
1999-07-22,,,11.363750457763672,12.393590927124023,12.654010009765624,11.203948259353638,,,
1999-07-23,,,10.89026165008545,11.920101165771484,12.464614105224609,11.313442802429199,,,
1999-07-26,,,9.824909210205078,11.233540916442871,12.044392013549805,11.366710329055786,,,
1999-07-27,,,9.824909210205078,10.74821434020996,11.760298347473144,11.41405930519104,,,
1999-07-28,,,10.65351676940918,10.511469459533691,11.559065437316894,11.488042116165161,,,
1999-07-29,,,10.771888732910156,10.393097114562988,11.393344020843506,11.556106233596802,,,
1999-07-30,,,10.535144805908203,10.32207374572754,11.121087455749512,11.567943477630616,,,
