Date,GRADE,GPS,DFS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2007-06-14,,,21.149471282958984,,,,,,
2007-06-15,,,21.39221572875977,,,,,,
2007-06-18,,,22.01750946044922,,,,,,
2007-06-19,,,21.84831428527832,,,,,,
2007-06-20,,,21.92923355102539,21.667348861694336,,,,,
2007-06-21,,,22.95911979675293,22.029278564453126,,,,,
2007-06-22,,,23.319580078125,22.41475143432617,,,,,
2007-06-25,,,23.02532958984375,22.61631546020508,,,,,
2007-06-26,,,22.370615005493164,22.720775604248047,,,,,
2007-06-27,,,21.76004219055176,22.68693733215332,22.177143096923828,,,,
2007-06-28,,,21.7011833190918,22.435350036621095,22.23231430053711,,,,
2007-06-29,,,20.965553283691406,21.964544677734377,22.189648056030272,,,,
2007-07-02,,,20.22991752624512,21.405462265014652,22.010888862609864,,,,
2007-07-03,,,19.619348526000977,20.855208969116212,21.78799228668213,,,,
2007-07-04,,,19.619348526000977,20.427070236206056,21.557003784179688,,,,
2007-07-05,,,19.074970245361328,19.90182762145996,21.168588829040527,,,,
2007-07-06,,,18.86163902282715,19.48104476928711,20.72279472351074,,,,
2007-07-09,,,18.78808212280273,19.192677688598632,20.299069976806642,,,,
2007-07-10,,,18.31727409362793,18.932262802124022,19.893735885620117,,,,
2007-07-11,,,18.545316696166992,18.717456436157228,19.572263336181642,20.874703216552735,,,
2007-07-12,,,19.3765869140625,18.77777976989746,19.33980369567871,20.78605899810791,,,
2007-07-13,,,19.97981834411621,19.001415634155272,19.24123020172119,20.715439128875733,,,
2007-07-16,,,19.74440193176269,19.192679595947265,19.19267864227295,20.601783752441406,,,
2007-07-17,,,19.49428939819336,19.42808265686035,19.180172729492188,20.48408250808716,,,
2007-07-18,,,19.391298294067383,19.59727897644043,19.157367706298828,20.357185745239256,,,
2007-07-19,,,19.648778915405277,19.651717376708984,19.214748573303222,20.191668701171874,,,
2007-07-20,,,19.347156524658203,19.52518501281738,19.263300323486327,19.993047523498536,,,
2007-07-23,,,19.214746475219727,19.41925392150879,19.305966758728026,19.802518367767334,,,
2007-07-24,,,18.39083671569824,19.198563385009766,19.31332302093506,19.603529453277588,,,
2007-07-25,,,17.728775024414062,18.8660587310791,19.231668853759764,19.401966094970703,,,
2007-07-26,,,18.11130142211914,18.558563232421875,19.10514030456543,19.22247200012207,,,
