Date,GRADE,GPS,LDOS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2006-10-17,,,22.66843032836914,,,,,,
2006-10-18,,,22.28999328613281,,,,,,
2006-10-19,,,21.785404205322266,,,,,,
2006-10-20,,,22.517065048217773,,,,,,
2006-10-23,,,22.44136047363281,22.34045066833496,,,,,
2006-10-24,,,22.58013153076172,22.322790908813477,,,,,
2006-10-25,,,22.79456901550293,22.4237060546875,,,,,
2006-10-26,,,24.358783721923828,22.938381958007813,,,,,
2006-10-27,,,25.31749153137207,23.498467254638673,,,,,
2006-10-30,,,25.64547348022461,24.13928985595703,23.239870262145995,,,,
2006-10-31,,,25.22918510437012,24.66910057067871,23.495945739746094,,,,
2006-11-01,,,24.91382598876953,25.09295196533203,23.758329010009767,,,,
2006-11-02,,,24.61107635498047,25.14341049194336,24.040896224975587,,,,
2006-11-03,,,25.03996467590332,25.08790512084961,24.29318618774414,,,,
2006-11-06,,,25.216575622558597,25.002125549316407,24.570707702636717,,,,
2006-11-07,,,25.178735733032227,24.99203567504883,24.83056812286377,,,,
2006-11-08,,,24.194793701171875,24.848229217529298,24.970590591430664,,,,
2006-11-09,,,25.481475830078125,25.02230911254883,25.082859802246094,,,,
2006-11-10,,,25.216575622558597,25.057631301879884,25.072768211364746,,,,
2006-11-13,,,25.07781219482422,25.029878616333008,25.016002082824706,24.127936172485352,,,
2006-11-14,,,25.15351676940918,25.024834823608398,25.008435249328613,24.252190494537352,,,
2006-11-15,,,25.25441551208496,25.236759185791016,25.042494201660155,24.40041160583496,,,
2006-11-16,,,25.33011054992676,25.20648612976074,25.114397621154787,24.577646923065185,,,
2006-11-17,,,24.939054489135746,25.150981903076175,25.104306602478026,24.698746395111083,,,
2006-11-20,,,24.59845733642578,25.055110931396488,25.042494773864746,24.80660123825073,,,
2006-11-21,,,24.295711517333984,24.883549880981448,24.95419235229492,24.892380237579346,,,
2006-11-22,,,24.384016036987305,24.709469985961917,24.973114585876466,24.971852588653565,,,
2006-11-23,,,24.384016036987305,24.520251083374024,24.863368606567384,24.973114204406738,,,
2006-11-24,,,24.18218231201172,24.368876647949218,24.759929275512697,24.91634874343872,,,
2006-11-27,,,23.841590881347656,24.217503356933594,24.636307144165038,24.82615461349487,,,
2006-11-28,,,23.841590881347656,24.12667922973633,24.505114555358887,24.75677490234375,,,
2006-11-29,,,24.0181884765625,24.053513717651366,24.38149185180664,24.7119930267334,,,
2006-11-30,,,23.929895401000977,23.9626895904541,24.241470336914062,24.677933979034425,,,
2006-12-01,,,23.74067497253418,23.874388122558592,24.121632385253907,24.612969493865968,,,
2006-12-04,,,23.664981842041016,23.839066314697266,24.02828483581543,24.535389804840086,,,
2006-12-05,,,23.942495346069336,23.8592472076416,23.992963218688963,24.473577785491944,,,
2006-12-06,,,24.093883514404297,23.87438621520996,23.963949966430665,24.468532276153564,,,
2006-12-07,,,24.232637405395508,23.934934616088867,23.948812103271486,24.406090354919435,,,
2006-12-08,,,24.40924072265625,24.06864776611328,23.971517944335936,24.365723609924316,,,
2006-12-11,,,23.91727638244629,24.119106674194335,23.979086494445802,24.30769681930542,,,
2006-12-12,,,24.87598991394043,24.305805587768553,24.082526397705077,24.293820476531984,,,
