Date,GRADE,GPS,KMB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.6597241163253784,,,,,,
1983-11-22,,,1.6834653615951538,,,,,,
1983-11-23,,,1.6748318672180176,,,,,,
1983-11-24,,,1.6748318672180176,,,,,,
1983-11-25,,,1.6791486740112305,1.6744003772735596,,,,,
1983-11-28,,,1.672674536705017,1.6769904613494873,,,,,
1983-11-29,,,1.6748318672180176,1.67526376247406,,,,,
1983-11-30,,,1.6791486740112305,1.6761271238327027,,,,,
1983-12-01,,,1.6877814531326294,1.678717041015625,,,,,
1983-12-02,,,1.6057660579681396,1.6640405178070068,1.6692204475402832,,,,
1983-12-05,,,1.644617199897766,1.6584290504455566,1.667709755897522,,,,
1983-12-06,,,1.6316674947738647,1.6497961759567261,1.662529969215393,,,,
1983-12-07,,,1.6057660579681396,1.635119652748108,1.6556233882904052,,,,
1983-12-08,,,1.5928168296813965,1.6161267280578613,1.6474218845367432,,,,
1983-12-09,,,1.5992918014526367,1.6148318767547607,1.6394361972808837,,,,
1983-12-12,,,1.5992918014526367,1.6057667970657348,1.6320979237556457,,,,
1983-12-13,,,1.5928168296813965,1.5979966640472412,1.6238964200019836,,,,
1983-12-14,,,1.5949757099151611,1.5958385944366456,1.6154791235923767,,,,
1983-12-15,,,1.5949757099151611,1.5962703704833985,1.6061985492706299,,,,
1983-12-16,,,1.6057660579681396,1.597565221786499,1.6061985492706299,1.6377094984054565,,,
1983-12-19,,,1.6489328145980835,1.6074934244155883,1.6066301107406615,1.6371699333190919,,,
1983-12-20,,,1.6316674947738647,1.6152635574340821,1.6066301107406615,1.6345800399780273,,,
1983-12-21,,,1.6251916885375977,1.6213067531585694,1.6085726737976074,1.6320980310440063,,,
1983-12-22,,,1.6230332851409912,1.6269182682037353,1.611594319343567,1.629508101940155,,,
1983-12-23,,,1.618716597557068,1.629508376121521,1.61353679895401,1.626486498117447,,,
1983-12-26,,,1.618716597557068,1.6234651327133178,1.6154792785644532,1.6237886011600495,,,
1983-12-27,,,1.6057660579681396,1.6182848453521728,1.6167742013931274,1.6203353106975555,,,
1983-12-28,,,1.6057660579681396,1.6143997192382813,1.6178532361984252,1.616666179895401,,,
1983-12-29,,,1.6014502048492432,1.6100831031799316,1.6185006856918336,1.6123496174812317,,,
1983-12-30,,,1.5885009765625,1.604039978981018,1.6167741775512696,1.6114863634109498,,,
1984-01-02,,,1.5885009765625,1.5979968547821044,1.6107309937477112,1.6086805522441865,,,
1984-01-03,,,1.5928168296813965,1.5954070091247559,1.6068459272384643,1.606738018989563,,,
1984-01-04,,,1.5885009765625,1.591953992843628,1.6031768560409545,1.605874764919281,,,
1984-01-05,,,1.5992918014526367,1.5915223121643067,1.6008027076721192,1.606198513507843,,,
1984-01-06,,,1.5841838121414185,1.5906588792800904,1.597349429130554,1.605443114042282,,,
1984-01-09,,,1.5863423347473145,1.5902271509170531,1.5941120028495788,1.604795640707016,,,
1984-01-10,,,1.590659260749817,1.5897956371307373,1.5926013231277465,1.604687762260437,,,
1984-01-11,,,1.5928168296813965,1.5906588077545165,1.5913064002990722,1.6045798182487487,,,
1984-01-12,,,1.5949757099151611,1.5897955894470215,1.590658950805664,1.6045798182487487,,,
1984-01-13,,,1.5928168296813965,1.5915221929550172,1.5910905361175538,1.6039323568344117,,,
1984-01-16,,,1.5885009765625,1.5919539213180542,1.5910905361175538,1.6009107649326324,,,
1984-01-17,,,1.5755510330200195,1.5889322757720947,1.589363956451416,1.5981049418449402,,,
1984-01-18,,,1.5388602018356323,1.578140950202942,1.5843998789787292,1.5937883675098419,,,
1984-01-19,,,1.558284878730774,1.5708027839660645,1.580299186706543,1.590550947189331,,,
1984-01-20,,,1.5669171810150146,1.5656228542327881,1.5785725235939025,1.5879609763622284,,,
1984-01-23,,,1.5561264753341677,1.5591479539871216,1.5755509376525878,1.5848314702510833,,,
1984-01-24,,,1.5604432821273804,1.5561264038085938,1.5725293397903441,1.5825653314590453,,,
1984-01-25,,,1.5561264753341677,1.559579658508301,1.5688603043556213,1.5800833523273468,,,
1984-01-26,,,1.5237514972686768,1.5526729822158816,1.561737883090973,1.5761984169483185,,,
1984-01-27,,,1.5064860582351685,1.5405867576599124,1.5531048059463501,1.5720976710319519,1.6072777032852172,,
1984-01-30,,,1.474112629890442,1.524183988571167,1.5416659712791443,1.566378253698349,1.6035654735565186,,
