Date,GRADE,GPS,CRM,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2021-06-24,49.85020078073921,A,242.69261169433597,242.1211364746094,242.1201400756836,238.84617462158198,229.43844207763672,225.88790298461913,231.42128860473633
2021-06-25,48.99387997016263,A,240.80101013183597,241.9399444580078,242.27545166015625,239.03384170532226,229.63676177978516,225.9175712585449,231.4167588043213
2021-06-28,48.41297502201882,A,243.4890594482422,241.95786743164064,242.1071990966797,239.3559112548828,229.91691772460936,225.97372192382812,231.41436935424804
2021-06-29,48.46846002679174,A,244.7235870361328,242.4954803466797,242.42877044677735,239.83428802490235,230.27234008789063,226.06441925048827,231.4045629119873
2021-06-30,48.63619473386495,A,243.19039916992188,242.97933349609374,242.6159408569336,240.31465682983398,230.54532836914063,226.13958557128908,231.445779876709
2021-07-01,48.657111392764286,A,243.89724731445312,243.2202606201172,242.6706985473633,241.01853103637694,230.8167233276367,226.17682022094726,231.48276565551757
2021-07-02,49.40067120289993,A,247.1030120849609,244.48066101074218,243.210302734375,241.5521621704101,231.10922485351563,226.2547741699219,231.50994499206544
2021-07-05,49.77239222181183,A,247.1030120849609,245.20345153808594,243.58065948486328,242.0529388427734,231.36289825439454,226.33272811889648,231.51756118774415
2021-07-06,49.94912674347015,A,249.1439666748047,246.0875274658203,244.29150390625,242.74138336181636,231.68228057861327,226.34925491333007,231.53149940490724
2021-07-07,49.89889702378696,A,247.34197998046875,246.9178436279297,244.9485885620117,243.35615539550776,231.9124591064453,226.35702056884764,231.5171630859375
2021-07-08,49.396111765690314,A,244.7136383056641,247.08112182617188,245.15069122314452,243.63541564941403,232.14024780273436,226.3449742126465,231.4790821838379
2021-07-09,48.645890342141854,A,243.97689819335935,246.45589904785157,245.46828002929686,243.87186584472653,232.43374481201172,226.330040435791,231.4651937866211
2021-07-12,47.79497124006621,A,241.8364105224609,245.40257873535157,245.30301513671876,243.70510711669917,232.8150521850586,226.3495539855957,231.42228439331055
2021-07-13,47.111348983016406,A,242.9414978027344,244.1620849609375,245.12480621337892,243.7767883300781,233.34947967529297,226.4329835510254,231.3918196105957
2021-07-14,46.38537451628567,P,241.3585205078125,242.96539306640625,244.94161834716797,243.77877960205078,233.88769012451172,226.45249694824219,231.30445724487305
2021-07-15,45.6208501823449,P,236.5299530029297,241.3286560058594,244.20488891601562,243.43779373168945,234.27656372070314,226.51720962524413,231.19175758361817
2021-07-16,45.11059879687638,P,237.37620544433597,240.00851745605468,243.23220825195312,243.22125549316405,234.71322509765625,226.7355403137207,231.05461654663085
2021-07-19,44.86575809781858,P,236.5000915527344,238.94125366210938,242.17191619873046,242.87628784179688,235.18433380126953,226.9347560119629,230.90766891479493
2021-07-20,44.57022317868351,P,239.0487823486328,238.16271057128907,241.1623977661133,242.72695083618163,235.6731640625,227.19997863769532,230.77465950012208
2021-07-21,45.20680416238431,P,241.03993225097656,238.09899291992187,240.53219299316407,242.7403907775879,236.30177337646484,227.5594825744629,230.67649536132814
2021-07-22,47.370783843818856,P,247.1826629638672,240.2295349121094,240.7790954589844,242.96489334106445,237.02695404052736,227.98708419799806,230.62950401306153
2021-07-23,49.10746512049739,A,247.15280151367188,242.18485412597656,241.09668579101563,243.28248291015626,237.6360498046875,228.3603273010254,230.57823173522948
2021-07-26,50.98667462800146,A,246.50567626953125,244.18597106933595,241.56361236572266,243.4333137512207,238.28397338867188,228.75736465454102,230.5413454437256
2021-07-27,51.835879804521475,A,242.43374633789065,244.8629638671875,241.5128372192383,243.31882171630863,238.8649935913086,229.07575134277343,230.4793207550049
2021-07-28,51.98631684133742,A,242.8817596435547,245.23132934570313,241.6651611328125,243.30338973999022,239.3153939819336,229.39433685302734,230.4281977081299
2021-07-29,51.00951467535549,A,242.9614105224609,244.38707885742187,242.3083068847656,243.25659790039063,239.71880310058594,229.67399536132814,230.40017211914062
2021-07-30,49.8943251404458,A,240.8607177734375,243.128662109375,242.6567581176758,242.94448318481446,240.10409210205077,229.96988174438476,230.35741188049317
2021-08-02,48.633430189602166,P,239.79547119140625,241.78662109375,242.98629608154297,242.57910614013673,240.38026611328124,230.2492416381836,230.35183670043946
2021-08-03,47.99081501106545,P,240.0642852783203,241.31272888183594,243.0878463745117,242.1251220703125,240.64748016357422,230.5145640563965,230.3061893463135
2021-08-04,47.90284314588575,P,243.09083557128903,241.35454406738282,243.29293670654297,241.9125648498535,240.93599914550782,230.8236917114258,230.33476249694823
2021-08-05,48.80869375259518,P,249.4525909423828,242.65278015136718,243.51992950439453,242.14951248168944,241.4284130859375,231.23267608642578,230.40156593322754
2021-08-06,49.90216001873796,A,249.48245239257807,244.37712707519532,243.75289459228514,242.4247901916504,241.67710876464844,231.6148794555664,230.49276100158693
2021-08-09,50.96066788455743,A,248.21807861328125,246.0616485595703,243.92413482666015,242.7438735961914,241.90051696777343,231.95487030029298,230.57673828125
2021-08-10,51.402849290033544,A,242.31427001953125,246.5116455078125,243.9121871948242,242.71251220703124,242.0436813354492,232.23751541137696,230.60789985656737
2021-08-11,51.050241268378834,A,241.2091827392578,246.13531494140625,243.74492950439452,242.7050453186035,242.1962045288086,232.5635678100586,230.56578674316407
2021-08-12,50.5337909633183,A,247.2921905517578,245.70323486328124,244.17800750732422,243.24315719604493,242.54565307617187,232.99116958618163,230.50689826965333
2021-08-13,50.39511088421424,A,250.4481658935547,245.89637756347656,245.13675231933593,243.89675521850586,242.82600860595704,233.4139926147461,230.46413803100586
2021-08-16,50.12277711279947,A,248.09860229492188,245.8724822998047,245.9670654296875,244.47668075561523,243.04623107910157,233.79659408569336,230.41396072387695
2021-08-17,50.60112136167035,A,245.89837646484372,246.58930358886718,246.55047454833985,244.81916046142578,243.25669708251954,234.16485931396485,230.41062553405763
2021-08-18,51.703945749205644,A,250.10968017578125,248.36940307617186,247.25235900878906,245.27264785766602,243.55795989990236,234.55662033081055,230.3958910369873
2021-08-19,51.71485779289958,A,251.95150756835935,249.3012664794922,247.50225067138666,245.51109008789064,243.81442138671872,234.89860214233397,230.41406044006348
2021-08-20,51.75549480820234,A,254.99798583984372,250.21123046875,248.05380401611325,245.90334930419922,244.1294232177734,235.27104873657225,230.4470142364502
2021-08-23,52.58322121358643,A,259.3685607910156,252.46522216796876,249.16885223388667,246.54649353027344,244.41336273193355,235.6715707397461,230.4999292755127
2021-08-24,53.56271517496018,A,258.51239013671875,254.98802490234374,250.78866424560542,247.3504257202148,244.7534530639648,236.0555662536621,230.51730209350586
2021-08-25,54.231390847330154,A,259.6971130371094,256.9055114746094,252.63745727539057,248.19119338989253,245.1210214233398,236.45439575195311,230.5356706237793
2021-08-26,55.76778539703528,A,266.6064147949219,259.83649291992185,254.568879699707,249.37344360351562,245.58615631103513,236.8858801269531,230.55130111694336
2021-08-27,56.74485137304885,A,265.3520202636719,261.9072998046875,256.0592651367187,250.59800872802734,246.05905731201167,237.23682235717774,230.59356353759765
2021-08-30,56.93451793282753,A,263.79888916015625,262.7933654785156,257.62929382324216,251.79817962646484,246.46704620361325,237.59732192993164,230.63005126953124
2021-08-31,56.99036064457766,A,264.0975952148437,263.9104064941406,259.4492156982422,252.999845123291,246.90828765869136,237.9285516357422,230.65210357666015
2021-09-01,57.45791934772299,A,267.13409423828125,265.397802734375,261.1516571044922,254.20200805664064,247.43554687499997,238.3297705078125,230.75912841796875
2021-09-02,56.372209758294105,A,262.9825134277344,264.6730224609375,262.2547576904297,254.8785041809082,247.84134490966792,238.63989349365235,230.8453953552246
2021-09-03,55.93424409904668,A,265.8995666503906,264.78253173828125,263.34491577148435,255.69935989379883,248.343316040039,238.9900389099121,230.94221542358397
2021-09-06,55.7009066422855,A,265.8995666503906,265.2026672363281,263.9980163574219,256.5834342956543,248.791526184082,239.3542219543457,231.0481450653076
2021-09-07,55.41089234078337,A,264.037841796875,265.1907165527344,264.5505615234375,257.6696128845215,249.17781127929683,239.72507568359376,231.16691772460936
2021-09-08,54.511540199570504,A,261.45928955078125,264.0557556152344,264.7267791748047,258.68211822509767,249.54318908691403,240.04425872802733,231.37519309997558
2021-09-09,54.215832571570864,A,259.5876159667969,263.37677612304685,264.0248992919922,259.2968894958496,249.8569964599609,240.33685989379882,231.57316429138183
2021-09-10,52.78920949382091,P,256.063232421875,261.4095092773438,263.0960205078125,259.5776428222656,250.03620086669918,240.57271286010743,231.72917167663573
2021-09-13,51.04555371567167,P,252.9868927001953,258.8269744873047,262.0148208618164,259.8220573425293,250.15387847900388,240.75838836669922,231.86063804626465
2021-09-14,49.426208436861266,P,253.2457427978516,256.6685546875,260.9296356201172,260.1894256591797,250.2359140014648,240.95909729003907,231.99260208129883
2021-09-15,48.19378606838216,P,255.02786254882807,255.38226928710938,259.71901245117186,260.43533477783205,250.389631652832,241.15104537963867,232.169765625
2021-09-16,48.142146412784776,P,259.2092590332031,255.3065979003906,259.34168701171876,260.79822235107423,250.67954406738278,241.4098959350586,232.35613815307616
2021-09-17,48.906307242472934,P,259.3785400390625,255.96965942382812,258.68958435058596,261.01725006103516,250.98757690429684,241.71066085815428,232.54584602355956
2021-09-20,49.86907033349877,P,257.0787353515625,256.78802795410155,257.8075012207031,260.9027587890625,251.29242340087887,242.05373779296875,232.7297794342041
2021-09-21,50.83567026542304,A,256.8298645019531,257.5048522949219,257.0867034912109,260.8186325073242,251.57019073486325,242.45983520507812,232.91804374694823
2021-09-22,51.725235851215906,A,258.0245666503906,258.10419311523435,256.74323120117185,260.7350051879883,251.9035116577148,242.89560089111328,233.09500831604004
2021-09-23,54.068723778792815,A,276.63189697265625,261.588720703125,258.4476593017578,261.236279296875,252.70555053710933,243.49105712890625,233.35356033325195
2021-09-24,57.450122108395135,A,284.3675842285156,266.58652954101564,261.27809448242186,262.1870574951172,253.64537811279294,244.17930160522462,233.64327423095702
2021-09-27,60.478891454241534,A,278.44390869140625,270.85956420898435,263.823796081543,262.9193084716797,254.48425445556637,244.83429412841798,233.9081484222412
2021-09-28,62.29279700176529,A,271.0765991210937,273.7089111328125,265.6068817138672,263.2682586669922,255.1248107910156,245.3989874267578,234.1127899169922
2021-09-29,63.662501830348816,A,269.3044738769531,275.964892578125,267.0345428466797,263.3767776489258,255.69010162353513,245.9959375,234.32718826293944
2021-09-30,62.252444394950096,A,270.0212707519531,274.64276733398435,268.11574401855466,263.72871551513674,256.1468737792968,246.5869139099121,234.55338409423828
2021-10-01,59.85365670914021,A,274.04345703125,272.57794189453125,269.5822357177734,264.1359100341797,256.6846868896484,247.16036834716797,234.79969085693358
2021-10-04,57.70797463168864,A,269.662841796875,270.821728515625,270.8406463623047,264.3240737915039,257.1478302001953,247.7159017944336,235.0297692871094
2021-10-05,57.17498371475778,A,270.56884765625,270.7201782226563,272.21454467773435,264.65062408447267,257.71053222656246,248.28776290893555,235.27522956848145
2021-10-06,57.36877899811629,A,274.0533447265625,271.6699523925781,273.8174224853516,265.2803268432617,258.3339639282226,248.82467895507813,235.53841102600097
2021-10-07,57.59431669579801,A,273.3664245605469,272.3389831542969,273.4908752441406,265.9692672729492,258.94206420898433,249.33043365478517,235.79751075744628
2021-10-08,57.25772785671362,A,271.2757263183594,271.7854370117187,272.181689453125,266.7298919677734,259.55036437988275,249.8272282409668,236.04615699768067
