Date,GRADE,GPS,XOM,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.0177041292190552,,,,,,
1983-11-22,,,1.027984619140625,,,,,,
1983-11-23,,,1.0416905879974363,,,,,,
1983-11-24,,,1.0416905879974363,,,,,,
1983-11-25,,,1.0382635593414309,1.0334666967391968,,,,,
1983-11-28,,,1.0416905879974363,1.038263988494873,,,,,
1983-11-29,,,1.055396556854248,1.0437463760375976,,,,,
1983-11-30,,,1.0348376035690308,1.0423757791519166,,,,,
1983-12-01,,,1.0485438108444214,1.0437464237213134,,,,,
1983-12-02,,,1.0519698858261108,1.0464876890182495,1.0399771928787231,,,,
1983-12-05,,,1.0622506141662598,1.0505996942520142,1.0444318413734437,,,,
1983-12-06,,,1.0519698858261108,1.0499143600463867,1.0468303680419921,,,,
1983-12-07,,,1.0451170206069946,1.0519702434539795,1.047173011302948,,,,
1983-12-08,,,1.0451170206069946,1.0512848854064942,1.0475156545639037,,,,
1983-12-09,,,1.0656769275665283,1.0540262937545777,1.0502569913864135,,,,
1983-12-12,,,1.0622506141662598,1.0540262937545777,1.0523129940032958,,,,
1983-12-13,,,1.0485438108444214,1.0533410787582398,1.0516277194023131,,,,
1983-12-14,,,1.0382635593414309,1.0519703865051269,1.0519703149795532,,,,
1983-12-15,,,1.0211308002471924,1.0471731424331665,1.0492290139198304,,,,
1983-12-16,,,1.0314106941223145,1.0403198957443238,1.0471730947494506,1.043575143814087,,,
1983-12-19,,,1.027984619140625,1.0334666967391968,1.0437464952468871,1.0440891683101654,,,
1983-12-20,,,1.0108506679534912,1.0259280681610108,1.0396345734596253,1.0432324707508087,,,
1983-12-21,,,1.0177041292190552,1.0218161821365357,1.0368932843208314,1.0420331478118896,,,
1983-12-22,,,1.02455735206604,1.022501492500305,1.0348373174667358,1.0411764860153199,,,
1983-12-23,,,1.0177041292190552,1.0197601795196534,1.0300400376319885,1.040148514509201,,,
1983-12-26,,,1.0177041292190552,1.0177040815353393,1.0255853891372682,1.038949191570282,,,
1983-12-27,,,1.0314106941223145,1.021816086769104,1.0238720774650574,1.0377498984336853,,,
1983-12-28,,,1.0451170206069946,1.027298665046692,1.0245574235916137,1.0382638692855835,,,
1983-12-29,,,1.02455735206604,1.027298665046692,1.0249000787734985,1.0370645463466643,,,
1983-12-30,,,1.02455735206604,1.0286693096160888,1.024214744567871,1.035693919658661,,,
1984-01-02,,,1.02455735206604,1.0300399541854859,1.0238720178604126,1.0338092565536499,,,
1984-01-03,,,1.0039974451065063,1.0245573043823242,1.023186695575714,1.0314106345176697,,,
1984-01-04,,,1.0177041292190552,1.0190747261047364,1.023186695575714,1.0300399899482726,,,
1984-01-05,,,1.02455735206604,1.0190747261047364,1.023186695575714,1.029012006521225,,,
1984-01-06,,,1.02455735206604,1.0190747261047364,1.0238720178604126,1.0269560277462007,,,
1984-01-09,,,1.0142778158187866,1.0170188188552856,1.0235293865203858,1.024557387828827,,,
1984-01-10,,,1.0177041292190552,1.0197601556777953,1.0221587300300599,1.0230154037475585,,,
1984-01-11,,,1.027984619140625,1.0218162536621094,1.0204454898834228,1.0225014567375184,,,
1984-01-12,,,1.0382635593414309,1.0245574951171874,1.021816110610962,1.0233580946922303,,,
1984-01-13,,,1.027984619140625,1.0252429485321044,1.0221588373184205,1.0231867909431458,,,
1984-01-16,,,1.027984619140625,1.0279843091964722,1.022501564025879,1.0231867909431458,,,
1984-01-17,,,1.02455735206604,1.029354953765869,1.0245575547218322,1.0238721251487732,,,
1984-01-18,,,1.0314106941223145,1.030040168762207,1.0259282112121582,1.0245574533939361,,,
1984-01-19,,,1.0451170206069946,1.0314108610153199,1.0279841780662538,1.0255854368209838,,,
1984-01-20,,,1.0451170206069946,1.0348373413085938,1.0300401449203491,1.0269560813903809,,,
1984-01-23,,,1.0519698858261108,1.039634394645691,1.0338093519210816,1.0286693692207336,,,
1984-01-24,,,1.0622506141662598,1.0471730470657348,1.038264000415802,1.030211365222931,,,
1984-01-25,,,1.0691026449203491,1.0547114372253419,1.0423758029937744,1.0314106464385986,,,
1984-01-26,,,1.0622506141662598,1.0581381559371947,1.0447745084762574,1.0332953095436097,,,
