Date,GRADE,GPS,LMT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,4.110329627990723,,,,,,
1983-11-22,,,4.1876373291015625,,,,,,
1983-11-23,,,4.252066612243652,,,,,,
1983-11-24,,,4.252066612243652,,,,,,
1983-11-25,,,4.355143070220947,4.231448650360107,,,,,
1983-11-28,,,4.277833938598633,4.26494951248169,,,,,
1983-11-29,,,4.40668249130249,4.308758544921875,,,,,
1983-11-30,,,4.355143070220947,4.329373836517334,,,,,
1983-12-01,,,4.3036065101623535,4.339681816101074,,,,,
1983-12-02,,,4.136098861694336,4.295872974395752,4.26366081237793,,,,
1983-12-05,,,4.097441673278809,4.259794521331787,4.262372016906738,,,,
1983-12-06,,,4.033019542694092,4.185061931610107,4.246910238265992,,,,
1983-12-07,,,4.071673393249512,4.12836799621582,4.228870916366577,,,,
1983-12-08,,,4.071673393249512,4.081981372833252,4.210831594467163,,,,
1983-12-09,,,4.110329627990723,4.076827526092529,4.186350250244141,,,,
1983-12-12,,,4.071673393249512,4.07167387008667,4.165734195709229,,,,
1983-12-13,,,3.9041671752929688,4.0459033966064455,4.115482664108276,,,,
1983-12-14,,,3.89128303527832,4.009825325012207,4.069096660614013,,,,
1983-12-15,,,3.917052745819092,3.978901195526123,4.0304412841796875,,,,
1983-12-16,,,4.007246971130371,3.9582846641540526,4.017556095123291,4.140608453750611,,,
1983-12-19,,,4.084557056427002,3.960861396789551,4.01626763343811,4.139319825172424,,,
1983-12-20,,,4.097441673278809,3.9995162963867186,4.022709846496582,4.134810042381287,,,
1983-12-21,,,4.045902729034424,4.03044023513794,4.020132780075073,4.1245018482208256,,,
1983-12-22,,,4.007246971130371,4.048479080200195,4.0136901378631595,4.112260866165161,,,
1983-12-23,,,3.981475830078125,4.0433248519897464,4.000804758071899,4.09357750415802,,,
1983-12-26,,,3.981475830078125,4.022708606719971,3.991785001754761,4.0787595987319945,,,
1983-12-27,,,4.058786869049072,4.014977645874024,4.007246971130371,4.0613648176193236,,,
1983-12-28,,,4.058786869049072,4.017554473876953,4.023997354507446,4.04654700756073,,,
1983-12-29,,,4.097441673278809,4.035593414306641,4.042036247253418,4.036238765716552,,,
1983-12-30,,,4.1232123374938965,4.063940715789795,4.05363278388977,4.03559443950653,,,
1984-01-02,,,4.1232123374938965,4.092288017272949,4.05749831199646,4.036882972717285,,,
1984-01-03,,,4.22629451751709,4.125789546966553,4.070383596420288,4.046546721458435,,,
