Date,GRADE,GPS,DTE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.1954258680343628,,,,,,
1983-11-22,,,1.234302282333374,,,,,,
1983-11-23,,,1.214863657951355,,,,,,
1983-11-24,,,1.214863657951355,,,,,,
1983-11-25,,,1.185707449913025,1.2090325832366944,,,,,
1983-11-28,,,1.0885177850723269,1.1876509666442872,,,,,
1983-11-29,,,1.1273938417434692,1.1662692785263062,,,,,
1983-11-30,,,1.1273938417434692,1.148775315284729,,,,,
1983-12-01,,,1.1410053968429563,1.1340036630630492,,,,,
1983-12-02,,,1.1410053968429563,1.1250632524490356,1.167047917842865,,,,
1983-12-05,,,1.1410053968429563,1.1355607748031615,1.1616058707237245,,,,
1983-12-06,,,1.1309969425201416,1.136281394958496,1.1512753367424011,,,,
1983-12-07,,,1.1209880113601685,1.135000228881836,1.1418877720832825,,,,
1983-12-08,,,1.1309969425201416,1.132998538017273,1.1335011005401612,,,,
1983-12-09,,,1.114079833030701,1.1276134252548218,1.1263383388519288,,,,
1983-12-12,,,1.114079833030701,1.1222283124923706,1.1288945436477662,,,,
1983-12-13,,,1.124394774436951,1.1209078788757325,1.1285946369171143,,,,
1983-12-14,,,1.1037641763687134,1.1174631118774414,1.1262316703796387,,,,
1983-12-15,,,1.0934489965438845,1.10995352268219,1.1214760303497315,,,,
1983-12-16,,,1.0934489965438845,1.1058273553848268,1.1167203903198242,1.1418841540813447,,,
1983-12-19,,,1.114079833030701,1.1058273553848268,1.1140278339385987,1.1378168523311616,,,
1983-12-20,,,1.124394774436951,1.1058273553848268,1.1133676171302798,1.1323214769363403,,,
1983-12-21,,,1.134710669517517,1.1120166540145875,1.1147398829460147,1.1283138275146485,,,
1983-12-22,,,1.1553415060043335,1.1243951559066772,1.1171743392944338,1.1253377199172974,,,
1983-12-23,,,1.145026445388794,1.1347106456756593,1.1202690005302431,1.1233036696910859,,,
1983-12-26,,,1.145026445388794,1.1408999681472778,1.1233636617660525,1.1261291027069091,,,
1983-12-27,,,1.145026445388794,1.1450263023376466,1.1254268288612368,1.1270107328891754,,,
1983-12-28,,,1.145026445388794,1.147089457511902,1.1295530557632447,1.1278923630714417,,,
1983-12-29,,,1.145026445388794,1.145026445388794,1.1347108006477358,1.1280934154987334,,,
1983-12-30,,,1.134710669517517,1.1429632902145386,1.1388369679450991,1.1277786791324615,,,
1984-01-02,,,1.134710669517517,1.1409001350402832,1.1409000515937806,1.1274639427661897,,,
1984-01-03,,,1.1553415060043335,1.1429631471633912,1.1439947247505189,1.1286811709403992,,,
1984-01-04,,,1.1656572818756104,1.1470893144607544,1.147089385986328,1.1309146344661714,,,
1984-01-05,,,1.1759722232818604,1.1532784700393677,1.1491524577140808,1.1331633985042573,,,
1984-01-06,,,1.1759722232818604,1.1615307807922364,1.1522470355033874,1.1362580180168151,,,
1984-01-09,,,1.1862878799438477,1.1718462228775024,1.156373178958893,1.1398684203624725,,,
1984-01-10,,,1.1966041326522827,1.1800987482070924,1.1615309476852418,1.1434788882732392,,,
1984-01-11,,,1.1759722232818604,1.1821617364883423,1.1646255254745483,1.1470892906188965,,,
1984-01-12,,,1.1862878799438477,1.1842248678207397,1.1687516689300537,1.1517312347888946,,,
1984-01-13,,,1.206919550895691,1.1904143333435058,1.1759725570678712,1.157404762506485,,,
1984-01-16,,,1.1759722232818604,1.1883512020111084,1.1800987124443054,1.160499382019043,,,
1984-01-17,,,1.1759722232818604,1.184224820137024,1.1821617841720582,1.1630782544612885,,,
1984-01-18,,,1.1862878799438477,1.1862879514694213,1.1842248439788818,1.165657114982605,,,
1984-01-19,,,1.1862878799438477,1.1862879514694213,1.1852564096450806,1.1672044336795806,,,
1984-01-20,,,1.1656572818756104,1.1780354976654053,1.1842249155044555,1.1682359755039216,,,
1984-01-23,,,1.1656572818756104,1.1759725093841553,1.1821618556976319,1.1692675173282623,,,
