Date,GRADE,GPS,CLX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.0202897787094116,,,,,,
1983-11-22,,,1.0104787349700928,,,,,,
1983-11-23,,,1.0006688833236694,,,,,,
1983-11-24,,,1.0006688833236694,,,,,,
1983-11-25,,,1.0104787349700928,1.0085170030593873,,,,,
1983-11-28,,,1.005573868751526,1.00557382106781,,,,,
1983-11-29,,,1.030099868774414,1.0094980478286744,,,,,
1983-11-30,,,1.025194525718689,1.0144031763076782,,,,,
1983-12-01,,,1.0399107933044434,1.022251558303833,,,,,
1983-12-02,,,1.025194525718689,1.0251947164535522,1.0168558597564696,,,,
1983-12-05,,,1.035006046295166,1.0310811519622802,1.0183274865150451,,,,
1983-12-06,,,1.035006046295166,1.0320623874664308,1.0207802176475524,,,,
1983-12-07,,,1.0153849124908447,1.0301004648208618,1.02225182056427,,,,
1983-12-08,,,1.0153849124908447,1.0251952886581421,1.0237234234809875,,,,
1983-12-09,,,1.0104787349700928,1.022252130508423,1.0237234234809875,,,,
1983-12-12,,,1.0153849124908447,1.0183279037475585,1.0247045278549194,,,,
1983-12-13,,,1.0153849124908447,1.0144036769866944,1.0232330322265626,,,,
1983-12-14,,,0.9908581972122192,1.0094983339309693,1.0197993993759156,,,,
1983-12-15,,,1.0104787349700928,1.0085170984268188,1.0168561935424805,,,,
1983-12-16,,,1.030099868774414,1.0124413251876831,1.017346727848053,1.0171012938022614,,,
1983-12-19,,,1.0448163747787476,1.0183276176452636,1.0183277606964112,1.0183276236057281,,,
1983-12-20,,,1.0595324039459229,1.0271571159362793,1.0207803964614868,1.0207803070545196,,,
1983-12-21,,,1.0693415403366089,1.0428537845611572,1.0261760592460631,1.0242139399051666,,,
1983-12-22,,,1.0644375085830688,1.0536455392837525,1.0310813188552856,1.0274023711681366,,,
1983-12-23,,,1.0546265840530396,1.0585508823394776,1.0354961037635804,1.0296097636222838,,,
1983-12-26,,,1.0546265840530396,1.0605129241943358,1.0394202709197997,1.0320623993873597,,,
