Date,GRADE,GPS,DXCM,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2005-04-14,,,2.934999942779541,,,,,,
2005-04-15,,,2.5625,,,,,,
2005-04-18,,,2.625,,,,,,
2005-04-19,,,2.6449999809265137,,,,,,
2005-04-20,,,2.650000095367432,2.6835000038146974,,,,,
2005-04-21,,,2.625,2.621500015258789,,,,,
2005-04-22,,,2.630000114440918,2.6350000381469725,,,,,
2005-04-25,,,2.637500047683716,2.637500047683716,,,,,
2005-04-26,,,2.625,2.6335000514984133,,,,,
2005-04-27,,,2.447499990463257,2.593000030517578,2.6382500171661376,,,,
2005-04-28,,,2.4749999046325684,2.5630000114440916,2.5922500133514403,,,,
2005-04-29,,,2.5,2.536999988555908,2.5860000133514403,,,,
2005-05-02,,,2.477499961853028,2.5049999713897706,2.571250009536743,,,,
2005-05-03,,,2.5,2.4799999713897707,2.556750011444092,,,,
2005-05-04,,,2.525000095367432,2.495499992370606,2.544250011444092,,,,
2005-05-05,,,2.4749999046325684,2.495499992370606,2.5292500019073487,,,,
2005-05-06,,,2.5,2.495499992370606,2.516249990463257,,,,
2005-05-09,,,2.4749999046325684,2.4949999809265138,2.499999976158142,,,,
2005-05-10,,,2.8475000858306885,2.5644999980926513,2.5222499847412108,,,,
2005-05-11,,,2.867500066757202,2.6329999923706056,2.5642499923706055,2.6012500047683718,,,
2005-05-12,,,2.827500104904175,2.7035000324249268,2.5995000123977663,2.595875012874603,,,
2005-05-13,,,2.907500028610229,2.785000038146973,2.640250015258789,2.6131250143051146,,,
2005-05-16,,,3.1424999237060547,2.91850004196167,2.706750011444092,2.6390000104904177,,,
2005-05-17,,,3.487499952316284,3.046500015258789,2.8055000066757203,2.681125009059906,,,
2005-05-18,,,3.497499942779541,3.172499990463257,2.9027499914169312,2.7235000014305113,,,
2005-05-19,,,3.497499942779541,3.30649995803833,3.0049999952316284,2.7671249985694883,,,
2005-05-20,,,3.470000028610229,3.41899995803833,3.1019999980926514,2.809124994277954,,,
2005-05-23,,,3.5,3.490499973297119,3.2045000076293944,2.8522499918937685,,,
2005-05-24,,,3.5,3.4929999828338625,3.2697499990463257,2.895999991893768,,,
2005-05-25,,,3.512500047683716,3.4960000038146974,3.334249997138977,2.9492499947547914,,,
2005-05-26,,,3.502500057220459,3.4970000267028807,3.4017499923706054,3.0006250023841856,,,
2005-05-27,,,3.549999952316284,3.513000011444092,3.465999984741211,3.053125,,,
2005-05-30,,,3.549999952316284,3.5230000019073486,3.506749987602234,3.1067499995231627,,,
2005-05-31,,,3.5,3.5230000019073486,3.5079999923706056,3.156749999523163,,,
