Date,GRADE,GPS,HES,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,4.9071807861328125,,,,,,
1983-11-22,,,4.93011474609375,,,,,,
1983-11-23,,,5.090630531311035,,,,,,
1983-11-24,,,5.090630531311035,,,,,,
1983-11-25,,,5.090630531311035,5.021837425231934,,,,,
1983-11-28,,,5.021834850311279,5.044768238067627,,,,,
1983-11-29,,,4.998904705047607,5.058526229858399,,,,,
1983-11-30,,,4.769600868225098,4.994320297241211,,,,,
1983-12-01,,,4.815461158752441,4.939286422729492,,,,,
1983-12-02,,,4.815461158752441,4.884252548217773,4.953044986724853,,,,
1983-12-05,,,4.815461158752441,4.842977809906006,4.943873023986816,,,,
1983-12-06,,,4.723737716674805,4.787944412231445,4.923235321044922,,,,
1983-12-07,,,4.769600868225098,4.787944412231445,4.891132354736328,,,,
1983-12-08,,,4.792529582977295,4.783358097076416,4.861322259902954,,,,
1983-12-09,,,4.838391780853272,4.787944221496582,4.836098384857178,,,,
1983-12-12,,,5.090630531311035,4.8429780960083,4.8429779529571535,,,,
1983-12-13,,,5.164742946624756,4.931179141998291,4.859561777114868,,,,
1983-12-14,,,5.072098255157471,4.991678619384766,4.8898115158081055,,,,
1983-12-15,,,5.072098255157471,5.047592353820801,4.915475225448608,,,,
1983-12-16,,,5.095261573791504,5.098966312408447,4.9434552669525145,4.948250126838684,,,
1983-12-19,,,5.072098255157471,5.0952598571777346,4.969118976593018,4.956496000289917,,,
1983-12-20,,,4.956298828125,5.053571033477783,4.992375087738037,4.957805204391479,,,
1983-12-21,,,5.072098255157471,5.053571033477783,5.022624826431274,4.956878590583801,,,
1983-12-22,,,5.048938751220703,5.04893913269043,5.048265743255615,4.954794001579285,,,
1983-12-23,,,5.141582489013672,5.058203315734863,5.078584814071656,4.957341599464416,,,
1983-12-26,,,5.141582489013672,5.0721001625061035,5.083680009841919,4.9633289813995365,,,
1983-12-27,,,5.095261573791504,5.099892711639404,5.076731872558594,4.968146824836731,,,
1983-12-28,,,5.3731842041015625,5.160109901428223,5.106840467453003,4.998325991630554,,,
1983-12-29,,,5.465827941894531,5.243487739562989,5.146213436126709,5.030844330787659,,,
1983-12-30,,,5.3731842041015625,5.289808082580566,5.174005699157715,5.058730483055115,,,
1984-01-02,,,5.3731842041015625,5.336128425598145,5.204114294052124,5.086616635322571,,,
1984-01-03,,,5.187902450561523,5.354656600952149,5.227274656295776,5.109824872016906,,,
1984-01-04,,,5.257383346557617,5.3314964294433596,5.245803165435791,5.134213995933533,,,
1984-01-05,,,5.164742946624756,5.271279430389404,5.257383584976196,5.152824664115906,,,
1984-01-06,,,5.187902450561523,5.234223079681397,5.2620155811309814,5.1703001976013185,,,
1984-01-09,,,5.280542373657227,5.215694713592529,5.275911569595337,5.179795789718628,,,
1984-01-10,,,5.3731842041015625,5.252751064300537,5.303703832626343,5.190217852592468,,,
1984-01-11,,,5.3731842041015625,5.2759112358093265,5.303703832626343,5.205272150039673,,,
1984-01-12,,,5.442665576934815,5.331495761871338,5.301387596130371,5.22380051612854,,,
1984-01-13,,,5.326864719390869,5.359288215637207,5.296755647659301,5.235380673408509,,,
1984-01-16,,,5.326864719390869,5.3685526847839355,5.292123699188233,5.248118996620178,,,
1984-01-17,,,5.488986968994141,5.391713237762451,5.3222321510314945,5.274753403663635,,,
1984-01-18,,,5.697429180145264,5.456562232971192,5.366236734390259,5.306019949913025,,,
1984-01-19,,,5.697429180145264,5.507514953613281,5.41950535774231,5.338444471359253,,,
1984-01-20,,,5.929031848907471,5.627948379516601,5.493618297576904,5.377816939353943,,,
1984-01-23,,,5.766909599304199,5.715957355499268,5.542255020141601,5.409083294868469,,,
1984-01-24,,,5.975354194641113,5.813230800628662,5.602472019195557,5.45308792591095,,,
