Date,GRADE,GPS,WYNN,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2002-10-25,,,7.065086364746094,,,,,,
2002-10-28,,,7.065086364746094,,,,,,
2002-10-29,,,6.864155292510986,,,,,,
2002-10-30,,,6.788127899169922,,,,,,
2002-10-31,,,6.847865104675293,6.926064205169678,,,,,
2002-11-01,,,6.847865104675293,6.882619953155517,,,,,
2002-11-04,,,7.01077938079834,6.871758556365966,,,,,
2002-11-05,,,7.070516109466553,6.91303071975708,,,,,
2002-11-06,,,7.059656620025635,6.9673364639282225,,,,,
2002-11-07,,,7.086806774139404,7.015124797821045,6.970594501495361,,,,
2002-11-08,,,7.021640300750732,7.049879837036133,6.966249895095825,,,,
2002-11-11,,,6.90216875076294,7.028157711029053,6.94995813369751,,,,
2002-11-12,,,6.494881629943848,6.913030815124512,6.913030767440796,,,,
2002-11-13,,,6.027858257293701,6.706671142578125,6.8370038032531735,,,,
2002-11-14,,,6.022429943084717,6.493795776367188,6.754460287094116,,,,
2002-11-15,,,6.272232055664063,6.343914127349853,6.696896982192993,,,,
2002-11-18,,,6.614353656768799,6.286351108551026,6.657254409790039,,,,
2002-11-19,,,6.84243631362915,6.355862045288086,6.634446430206299,,,,
2002-11-20,,,6.739255905151367,6.498141574859619,6.602406358718872,,,,
2002-11-21,,,6.978196620941162,6.689294910430908,6.591545343399048,6.781069922447204,,,
2002-11-22,,,6.86958646774292,6.80876579284668,6.576339960098267,6.7712949275970455,,,
2002-11-25,,,7.021640300750732,6.890223121643066,6.588287115097046,6.769122624397278,,,
2002-11-26,,,6.918461799621582,6.905428218841553,6.630645132064819,6.771837949752808,,,
2002-11-27,,,6.788127899169922,6.915202617645264,6.706672096252442,6.771837949752808,,,
2002-11-28,,,6.788127899169922,6.877188873291016,6.783241891860962,6.768851089477539,,,
2002-11-29,,,6.961905956268311,6.895652770996094,6.852209281921387,6.77455313205719,,,
2002-12-02,,,6.739255905151367,6.839175891876221,6.864699506759644,6.760976958274841,,,
2002-12-03,,,6.717533111572266,6.798990154266358,6.852209186553955,6.743327808380127,,,
2002-12-04,,,6.84243631362915,6.809851837158203,6.862527227401733,6.732466793060302,,,
2002-12-05,,,7.211706161499023,6.894567489624023,6.885878181457519,6.7387117624282835,,,
2002-12-06,,,7.157402992248535,6.9336668968200685,6.914659833908081,6.745499897003174,,,
2002-12-09,,,7.059656620025635,6.9977470397949215,6.918461465835572,6.753374290466309,,,
2002-12-10,,,7.059656620025635,7.066171741485595,6.932580947875977,6.781613039970398,,,
2002-12-11,,,7.19542121887207,7.13676872253418,6.973310279846191,6.839991188049316,,,
2002-12-12,,,7.461512088775635,7.186729907989502,7.040648698806763,6.9119452953338625,,,
2002-12-13,,,7.38548469543457,7.232346248626709,7.083006572723389,6.967607927322388,,,
2002-12-16,,,7.428928852081299,7.306200695037842,7.151973867416382,7.008336687088013,,,
2002-12-17,,,7.320319652557373,7.35833330154419,7.212252521514893,7.032230854034424,,,
2002-12-18,,,7.233432292938232,7.365935516357422,7.251352119445801,7.056939673423767,,,
2002-12-19,,,6.923892498016357,7.258411598205567,7.222570753097534,7.0542244672775265,,,
2002-12-20,,,7.103100776672363,7.201934814453125,7.217140531539917,7.065900182723999,,,
2002-12-23,,,7.304028034210205,7.176954650878907,7.241577672958374,7.080019569396972,,,
2002-12-24,,,7.336611747741699,7.180213069915771,7.269273185729981,7.100927066802979,,,
2002-12-25,,,7.336611747741699,7.200848960876465,7.283392238616943,7.128351259231567,,,
2002-12-26,,,7.19542121887207,7.255154705047607,7.256783151626587,7.148715925216675,,,
