Date,GRADE,GPS,WMT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.2687903940677643,,,,,,
1983-11-22,,,0.2718709111213684,,,,,,
1983-11-23,,,0.2695605456829071,,,,,,
1983-11-24,,,0.2695605456829071,,,,,,
1983-11-25,,,0.2633994221687317,0.2686363637447357,,,,,
1983-11-28,,,0.2649395763874054,0.2678662002086639,,,,,
1983-11-29,,,0.2610885202884674,0.26570972204208376,,,,,
1983-11-30,,,0.259548157453537,0.26370724439620974,,,,,
1983-12-01,,,0.255697637796402,0.2609346628189087,,,,,
1983-12-02,,,0.2549274861812591,0.25924027562141416,0.26393831968307496,,,,
1983-12-05,,,0.2472257316112518,0.25569750666618346,0.2617818534374237,,,,
1983-12-06,,,0.2489832937717437,0.2532764613628387,0.25949309170246126,,,,
1983-12-07,,,0.2459000945091247,0.2505468487739563,0.257127046585083,,,,
1983-12-08,,,0.2505249083042145,0.24951230287551876,0.25522348284721375,,,,
1983-12-09,,,0.2451294809579849,0.24755270183086392,0.253396488726139,,,,
1983-12-12,,,0.2451294809579849,0.24713345170021053,0.25141547918319695,,,,
1983-12-13,,,0.2397332191467285,0.24528343677520748,0.2492799490690231,,,,
1983-12-14,,,0.2374207526445388,0.2435875684022903,0.24706720858812328,,,,
1983-12-15,,,0.2351077646017074,0.2405041396617889,0.24500822126865382,,,,
1983-12-16,,,0.238191545009613,0.23911655247211452,0.2433346271514892,0.25363647341728207,,,
1983-12-19,,,0.2335661649703979,0.2368038892745971,0.24196867048740384,0.2518752619624137,,,
1983-12-20,,,0.22817063331604,0.23449137210845944,0.23988740444183346,0.24969024807214732,,,
1983-12-21,,,0.2250867784023285,0.23202457726001735,0.23780607283115388,0.2474665597081184,,,
1983-12-22,,,0.2351077646017074,0.23202457726001735,0.23626435846090316,0.24574392065405842,,,
1983-12-23,,,0.2366499602794647,0.23171626031398768,0.23541640639305114,0.24440644755959506,,,
1983-12-26,,,0.2366499602794647,0.2323330193758011,0.23456845432519913,0.24299196675419804,,,
1983-12-27,,,0.2466709017753601,0.2360330730676651,0.2352622225880623,0.24227108582854268,,,
1983-12-28,,,0.2459000945091247,0.2401957362890243,0.23611015677452082,0.24158868268132205,,,
1983-12-29,,,0.2435871660709381,0.24189161658287045,0.2369580969214439,0.24098315909504886,,,
1983-12-30,,,0.2405038923025131,0.24266240298748015,0.23718933165073391,0.24026197940111155,,,
1984-01-02,,,0.2405038923025131,0.24343318939208985,0.23788310438394542,0.2399258874356746,,,
1984-01-03,,,0.2366499602794647,0.2414290010929107,0.2387310370802879,0.23930922076106068,,,
1984-01-04,,,0.2405038923025131,0.2403497606515884,0.24027274847030636,0.2390394106507301,,,
1984-01-05,,,0.2451294809579849,0.24065822362899775,0.2412749201059341,0.2387696392834186,,,
1984-01-06,,,0.2459000945091247,0.2417374640703201,0.2421999335289001,0.2388081699609756,,,
1984-01-09,,,0.2443579137325287,0.2425082683563232,0.24297072887420654,0.2387695915997028,,,
1984-01-10,,,0.2405038923025131,0.24327905476093287,0.24235402792692184,0.238808125257492,,,
1984-01-11,,,0.2320246994495391,0.2415832161903381,0.2409664884209633,0.23853832259774205,,,
1984-01-12,,,0.22817063331604,0.2381914466619491,0.23942483514547347,0.2381914660334587,,,
1984-01-13,,,0.22817063331604,0.23464555442333218,0.23819150924682617,0.23769042044878005,,,
1984-01-16,,,0.2258577495813369,0.23094552159309384,0.2367268949747085,0.237304999679327,,,
1984-01-17,,,0.2297121584415435,0.22878717482089989,0.2360331147909164,0.23738207593560218,,,
1984-01-18,,,0.2320246994495391,0.22878717482089989,0.235185195505619,0.23772897198796272,,,
1984-01-19,,,0.2297121584415435,0.2290954798460006,0.23364346325397486,0.2374591916799545,,,
1984-01-20,,,0.2235453128814697,0.22817041575908653,0.23140798509120936,0.23680395931005474,,,
1984-01-23,,,0.215836688876152,0.22616620361804954,0.2285558626055717,0.2357632957398891,,,
1984-01-24,,,0.2135244011878967,0.22292865216732022,0.22585791349411005,0.23410597071051592,,,
1984-01-25,,,0.2081288695335388,0.21814948618412014,0.22346833050251003,0.23221740946173663,,,
1984-01-26,,,0.2112119048833847,0.2144494354724884,0.2217724576592445,0.23059864640235897,,,
1984-01-27,,,0.2127533853054046,0.21229104995727535,0.22023073285818096,0.22921112105250355,0.24057690411806104,,
1984-01-30,,,0.209670290350914,0.21105777025222774,0.21861198693513867,0.22766944095492359,0.23939450204372403,,
1984-01-31,,,0.2189206033945083,0.21213701069355007,0.21753283143043514,0.22678297311067577,0.23833549588918682,,
1984-02-01,,,0.2142950445413589,0.2133702456951141,0.2157598659396171,0.22547253072261805,0.23723018586635586,,
1984-02-02,,,0.2081288695335388,0.2127536386251449,0.21360153704881663,0.22362250015139576,0.2360015523433685,,
1984-02-03,,,0.2019617706537246,0.2105953156948089,0.21144318282604213,0.22142558395862574,0.23477279931306835,,
1984-02-06,,,0.1942532956600189,0.2075119167566299,0.20928484350442883,0.21892035305500027,0.23335907369852063,,
1984-02-07,,,0.2004201561212539,0.20381182730197903,0.20797441899776453,0.2169161662459373,0.23214570641517634,,
1984-02-08,,,0.1896285116672516,0.19887852072715756,0.20612438321113583,0.2147963568568229,0.23074731349945066,,
1984-02-09,,,0.1942532956600189,0.19610340595245357,0.20442852228879924,0.21310048997402187,0.22951842665672298,,
1984-02-10,,,0.2050449848175048,0.1967200487852096,0.20365768224000927,0.2119442075490951,0.2285207766294479,,
