Date,GRADE,GPS,IT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1993-10-05,,,3.0333809852600098,,,,,,
1993-10-06,,,3.0039308071136475,,,,,,
1993-10-07,,,3.0039308071136475,,,,,,
1993-10-08,,,3.0039308071136475,,,,,,
1993-10-11,,,2.945030212402344,2.998040723800659,,,,,
1993-10-12,,,2.9155797958374023,2.974480485916138,,,,,
1993-10-13,,,2.945030212402344,2.962700366973877,,,,,
1993-10-14,,,2.945030212402344,2.9509202480316166,,,,,
1993-10-15,,,2.974480390548706,2.945030164718628,,,,,
1993-10-18,,,3.092281579971313,2.9744804382324217,2.9862605810165403,,,,
1993-10-19,,,3.19535756111145,3.0304359912872316,3.0024582386016845,,,,
1993-10-20,,,3.092281579971313,3.059886264801025,3.011293315887451,,,,
1993-10-21,,,3.092281579971313,3.089336538314819,3.0201283931732177,,,,
1993-10-22,,,3.092281579971313,3.1128967761993405,3.0289634704589843,,,,
1993-10-25,,,3.121731996536255,3.118786859512329,3.0466336488723753,,,,
1993-10-26,,,3.092281579971313,3.098171663284302,3.064303827285767,,,,
1993-10-27,,,3.151182174682617,3.1099517822265623,3.0849190235137938,,,,
1993-10-28,,,3.151182174682617,3.121731901168823,3.105534219741821,,,,
1993-10-29,,,3.092281579971313,3.1217319011688227,3.117314338684082,,,,
1993-11-01,,,3.2395331859588623,3.1452921390533444,3.132039499282837,3.0591500401496887,,,
1993-11-02,,,3.19535756111145,3.1659073352813722,3.132039499282837,3.0672488689422606,,,
1993-11-03,,,3.3278839588165283,3.2012476921081543,3.1555997371673583,3.0834465265274047,,,
1993-11-04,,,3.3573343753814697,3.242478132247925,3.182105016708374,3.1011167049407957,,,
1993-11-05,,,3.3573343753814697,3.295488691329956,3.2086102962493896,3.118786883354187,,,
1993-11-08,,,3.386784553527832,3.32493896484375,3.2351155519485473,3.1408746004104615,,,
1993-11-09,,,3.298433780670166,3.3455542087554933,3.2557307720184325,3.1600172996520994,,,
1993-11-10,,,3.3720595836639404,3.3543893337249755,3.277818512916565,3.1813687682151794,,,
