Date,GRADE,GPS,FE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1997-11-10,,,7.499798774719238,,,,,,
1997-11-11,,,7.537017345428467,,,,,,
1997-11-12,,,7.630069732666016,,,,,,
1997-11-13,,,7.704505920410156,,,,,,
1997-11-14,,,7.741727352142334,7.6226238250732425,,,,,
1997-11-17,,,7.778946399688721,7.678453350067139,,,,,
1997-11-18,,,7.76033353805542,7.7231165885925295,,,,,
1997-11-19,,,7.816165924072266,7.76033582687378,,,,,
1997-11-20,,,7.890606880187988,7.797556018829345,,,,,
1997-11-21,,,8.002265930175781,7.849663734436035,7.736143779754639,,,,
1997-11-24,,,8.002265930175781,7.894327640533447,7.786390495300293,,,,
1997-11-25,,,8.076704978942871,7.957601928710938,7.840359258651733,,,,
1997-11-26,,,8.002265930175781,7.994821929931641,7.87757887840271,,,,
1997-11-27,,,8.002265930175781,8.0171537399292,7.907354879379272,,,,
1997-11-28,,,8.039483070373535,8.02459716796875,7.937130451202393,,,,
1997-12-01,,,8.151144981384277,8.054372978210449,7.974350309371948,,,,
1997-12-02,,,8.076704978942871,8.054372978210449,8.005987453460694,,,,
1997-12-03,,,8.076704978942871,8.069260787963866,8.032041358947755,,,,
1997-12-04,,,8.151144981384277,8.099036598205567,8.058095169067382,,,,
1997-12-05,,,8.132535934448242,8.117647171020508,8.071122169494629,7.903632974624633,,,
1997-12-08,,,8.132535934448242,8.113925361633301,8.084149169921876,7.935269832611084,,,
1997-12-09,,,8.095314979553223,8.11764736175537,8.08601016998291,7.963184714317322,,,
1997-12-10,,,8.132535934448242,8.128813552856446,8.099037170410156,7.988308024406433,,,
1997-12-11,,,8.076704978942871,8.113925552368164,8.106481075286865,8.00691797733307,,,
1997-12-12,,,8.095314979553223,8.10648136138916,8.112064266204834,8.024597358703613,,,
1997-12-15,,,8.18836498260498,8.117647171020508,8.115786266326904,8.045068287849427,,,
1997-12-16,,,8.16975212097168,8.132534599304199,8.125090980529786,8.065539216995239,,,
1997-12-17,,,8.16975212097168,8.139977836608887,8.134395694732666,8.08321852684021,,,
1997-12-18,,,8.281416893005371,8.180920219421386,8.147422885894775,8.10275902748108,,,
1997-12-19,,,8.430293083190918,8.247915840148925,8.177198600769042,8.124160385131836,,,
1997-12-22,,,8.523343086242676,8.314911460876464,8.216279315948487,8.150214242935181,,,
1997-12-23,,,8.486122131347656,8.37818546295166,8.25536003112793,8.17068510055542,,,
1997-12-24,,,8.523343086242676,8.448903656005859,8.294440746307373,8.196738958358765,,,
1997-12-25,,,8.523343086242676,8.49728889465332,8.339104557037354,8.222792816162109,,,
1997-12-26,,,8.411686897277832,8.493567657470702,8.370741748809815,8.241403007507325,,,
1997-12-29,,,8.504732131958008,8.489845466613769,8.402378463745118,8.259082365036011,,,
1997-12-30,,,8.579171180725098,8.508455276489258,8.443320369720459,8.284205675125122,,,
1997-12-31,,,8.635003089904785,8.53078727722168,8.489845466613769,8.312120580673218,,,
1998-01-01,,,8.635003089904785,8.553119277954101,8.525204086303711,8.336313486099243,,,
