Date,GRADE,GPS,AMAT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.1983791440725326,,,,,,
1983-11-22,,,0.1976625770330429,,,,,,
1983-11-23,,,0.1947981268167495,,,,,,
1983-11-24,,,0.1947981268167495,,,,,,
1983-11-25,,,0.1933658421039581,0.19580076336860652,,,,,
1983-11-28,,,0.1876361072063446,0.19365215599536892,,,,,
1983-11-29,,,0.1876361072063446,0.19164686203002926,,,,,
1983-11-30,,,0.1876361072063446,0.1902144581079483,,,,,
1983-12-01,,,0.1890690773725509,0.18906864821910857,,,,,
1983-12-02,,,0.1876361072063446,0.18792270123958585,0.1918617323040962,,,,
1983-12-05,,,0.1869203746318817,0.18777955472469327,0.1907158553600311,,,,
1983-12-06,,,0.1847715824842453,0.1872066497802734,0.18942675590515134,,,,
1983-12-07,,,0.1833393722772598,0.18634730279445647,0.1882808804512024,,,,
1983-12-08,,,0.1847715824842453,0.18548780381679536,0.18727822601795197,,,,
1983-12-09,,,0.1819071471691131,0.18434201180934906,0.18613235652446744,,,,
1983-12-12,,,0.1847715824842453,0.18391225337982178,0.1858459040522575,,,,
1983-12-13,,,0.1833393722772598,0.18362581133842465,0.18541623055934903,,,,
1983-12-14,,,0.1847715824842453,0.18391225337982176,0.1851297780871391,,,,
1983-12-15,,,0.1833393722772598,0.18362581133842465,0.18455680757761,,,,
1983-12-16,,,0.1990948468446731,0.18706335127353668,0.18570268154144284,0.18878220692276954,,,
1983-12-19,,,0.1962303668260574,0.1893551081418991,0.18663368076086043,0.18867476806044575,,,
1983-12-20,,,0.2005278468132019,0.1927928030490875,0.1882093071937561,0.1888180315494537,,,
1983-12-21,,,0.2148510217666626,0.19880869090557096,0.1913604721426964,0.18982067629694938,,,
1983-12-22,,,0.2177155613899231,0.20568392872810365,0.19465487003326415,0.19096654802560806,,,
1983-12-23,,,0.2177155613899231,0.20940807163715364,0.19823571145534516,0.1921840339899063,,,
1983-12-26,,,0.2177155613899231,0.21370511054992675,0.20153010934591292,0.19368800669908523,,,
1983-12-27,,,0.2220122963190078,0.21800200045108795,0.20539740175008775,0.1954068161547184,,,
1983-12-28,,,0.2191476821899414,0.21886133253574372,0.20883501172065735,0.19698239490389824,,,
1983-12-29,,,0.2212965339422226,0.21957752704620362,0.21263072788715362,0.19859376773238183,,,
1983-12-30,,,0.2205800861120224,0.22015043199062348,0.21477925181388854,0.20024096667766572,,,
1984-01-02,,,0.2205800861120224,0.22072333693504334,0.21721422374248506,0.20192395225167276,,,
1984-01-03,,,0.2205800861120224,0.22043689489364623,0.2192194476723671,0.2037143774330616,,,
