Date,GRADE,GPS,KLAC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.1725869178771973,,,,,,
1983-11-22,,,2.1725869178771973,,,,,,
1983-11-23,,,2.150418519973755,,,,,,
1983-11-24,,,2.150418519973755,,,,,,
1983-11-25,,,2.150418519973755,2.159285879135132,,,,,
1983-11-28,,,2.139332771301269,2.1526350498199465,,,,,
1983-11-29,,,2.139332771301269,2.1459842205047606,,,,,
1983-11-30,,,2.139332771301269,2.1437670707702634,,,,,
1983-12-01,,,2.1171646118164062,2.1371162891387936,,,,,
1983-12-02,,,2.072824716567993,2.121597528457641,2.1404417037963865,,,,
1983-12-05,,,2.083909273147583,2.110512828826904,2.131573939323425,,,,
1983-12-06,,,2.050656318664551,2.0927775382995604,2.1193808794021605,,,,
1983-12-07,,,2.0395724773406982,2.072825479507446,2.108296275138855,,,,
1983-12-08,,,2.0395724773406982,2.0573070526123045,2.0972116708755495,,,,
1983-12-09,,,2.0395724773406982,2.0506566047668455,2.0861270666122436,,,,
1983-12-12,,,2.1060802936553955,2.055090808868408,2.0828018188476562,,,,
1983-12-13,,,2.1060802936553955,2.066175603866577,2.079476571083069,,,,
1983-12-14,,,1.9730641841888428,2.052873945236206,2.0628497123718263,,,,
1983-12-15,,,1.9730641841888428,2.039572286605835,2.0484396696090696,,,,
1983-12-16,,,2.1725869178771973,2.066175174713135,2.0584158897399902,2.0994287967681884,,,
1983-12-19,,,2.150418519973755,2.0750428199768067,2.0650668144226074,2.0983203768730165,,,
1983-12-20,,,2.1725869178771973,2.088344144821167,2.077259874343872,2.0983203768730165,,,
1983-12-21,,,2.1947572231292725,2.132682752609253,2.0927783489227294,2.1005373120307924,,,
1983-12-22,,,2.3056023120880127,2.199190378189087,2.119381332397461,2.108296501636505,,,
1983-12-23,,,2.283433198928833,2.221359634399414,2.1437674045562742,2.114947235584259,,,
1983-12-26,,,2.283433198928833,2.2479625701904298,2.1615026950836183,2.122152256965637,,,
1983-12-27,,,2.3056023120880127,2.274565649032593,2.18145489692688,2.130465734004974,,,
1983-12-28,,,2.283433198928833,2.292300844192505,2.2124917984008787,2.1376707553863525,,,
1983-12-29,,,2.239093780517578,2.278999137878418,2.2390947580337524,2.143767213821411,,,
1983-12-30,,,2.3056023120880127,2.283432960510254,2.252396297454834,2.155406093597412,,,
1984-01-02,,,2.3056023120880127,2.28786678314209,2.2679146766662597,2.1664907455444338,,,
1984-01-03,,,2.283433198928833,2.283432960510254,2.2789993047714234,2.178129589557648,,,
1984-01-04,,,2.261265277862549,2.278999376296997,2.285650110244751,2.1892142295837402,,,
1984-01-05,,,2.31668758392334,2.2945181369781493,2.286758637428284,2.2030699849128723,,,
1984-01-06,,,2.3056023120880127,2.2945181369781493,2.288975548744202,2.216371476650238,,,
1984-01-09,,,2.3499414920806885,2.3033859729766846,2.2956263780593873,2.2285645365715028,,,
1984-01-10,,,2.338855266571045,2.314470386505127,2.2989516735076903,2.240203285217285,,,
1984-01-11,,,2.3056023120880127,2.3233377933502197,2.3011685848236083,2.2568301916122437,,,
1984-01-12,,,2.3056023120880127,2.3211207389831543,2.307819437980652,2.273457098007202,,,
1984-01-13,,,2.283433198928833,2.316686916351318,2.305602526664734,2.278999412059784,,,
1984-01-16,,,2.1947572231292725,2.285650062561035,2.2945180177688598,2.2812163472175597,,,
1984-01-17,,,2.239093780517578,2.2656977653503416,2.2900840759277346,2.2845416903495788,,,
1984-01-18,,,2.239093780517578,2.252396059036255,2.2878669261932374,2.2867585182189942,,,
1984-01-19,,,2.228010654449463,2.2368777275085447,2.2789992332458495,2.2828789353370667,,,
1984-01-20,,,2.1725869178771973,2.2147084712982177,2.265697693824768,2.2773366212844848,,,
1984-01-23,,,2.0395724773406982,2.1836715221405028,2.234660792350769,2.2651435852050783,,,
1984-01-24,,,2.0174031257629395,2.139333391189575,2.2025155782699586,2.2507336258888246,,,
1984-01-25,,,2.0395724773406982,2.099429130554199,2.175912594795227,2.2385405898094177,,,
1984-01-26,,,1.9952336549758911,2.052873730659485,2.144875729084015,2.226347583532333,,,
1984-01-27,,,2.0174031257629395,2.0218369722366334,2.1182727217674255,2.2119376242160795,2.175025827884674,,
