Date,GRADE,GPS,ETR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.5586626529693604,,,,,,
1983-11-22,,,2.5789687633514404,,,,,,
1983-11-23,,,2.5586626529693604,,,,,,
1983-11-24,,,2.5586626529693604,,,,,,
1983-11-25,,,2.538355588912964,2.558662462234497,,,,,
1983-11-28,,,2.497741937637329,2.5464783191680906,,,,,
1983-11-29,,,2.518049955368042,2.5342945575714113,,,,,
1983-11-30,,,2.538355588912964,2.530233144760132,,,,,
1983-12-01,,,2.497741937637329,2.5180490016937256,,,,,
1983-12-02,,,2.436821222305298,2.4977421283721926,2.5282022953033447,,,,
1983-12-05,,,2.4165143966674805,2.4814966201782225,2.5139874696731566,,,,
1983-12-06,,,2.436821222305298,2.4652508735656737,2.4997727155685423,,,,
1983-12-07,,,2.436821222305298,2.4449440002441407,2.487588572502136,,,,
1983-12-08,,,2.3962082862854004,2.424637269973755,2.4713431358337403,,,,
1983-12-09,,,2.4165143966674805,2.4205759048461912,2.459159016609192,,,,
1983-12-12,,,2.3847193717956543,2.414216899871826,2.4478567600250245,,,,
1983-12-13,,,2.3847193717956543,2.4037965297698975,2.4345237016677856,,,,
1983-12-14,,,2.342881202697754,2.385008525848389,2.4149762630462646,,,,
1983-12-15,,,2.28012490272522,2.3617918491363525,2.393214559555054,,,,
1983-12-16,,,2.3010447025299072,2.338697910308838,2.3796369075775146,2.45391960144043,,,
1983-12-19,,,2.321962356567383,2.3261465072631835,2.370181703567505,2.442084586620331,,,
1983-12-20,,,2.363799333572388,2.32196249961853,2.362879514694214,2.431326115131378,,,
1983-12-21,,,2.4056379795074463,2.334513854980469,2.359761190414429,2.4236748814582825,,,
1983-12-22,,,2.342881202697754,2.3470651149749755,2.3544284820556642,2.412885808944702,,,
1983-12-23,,,2.2592077255249023,2.3386977195739744,2.338697814941406,2.3989284157752992,,,
1983-12-26,,,2.2592077255249023,2.3261467933654787,2.326146650314331,2.387001705169678,,,
1983-12-27,,,2.3010447025299072,2.3135958671569825,2.3177791833877563,2.376151442527771,,,
1983-12-28,,,2.2592077255249023,2.284309816360474,2.3094118356704714,2.3621940493583677,,,
1983-12-29,,,2.217369794845581,2.259207534790039,2.3031363248825074,2.3481754422187806,,,
1983-12-30,,,2.238288640975952,2.255023717880249,2.2968607187271117,2.338248813152313,,,
1984-01-02,,,2.238288640975952,2.250839900970459,2.288493347167969,2.3293375253677366,,,
1984-01-03,,,2.3010447025299072,2.250839900970459,2.2822178840637206,2.3225486993789675,,,
1984-01-04,,,2.3847193717956543,2.2759422302246093,2.2801260232925413,2.319943606853485,,,
1984-01-05,,,2.447473287582397,2.3219629287719727,2.290585231781006,2.322506856918335,,,
1984-01-06,,,2.447473287582397,2.3637998580932615,2.3094117879867553,2.3240548014640807,,,
1984-01-09,,,2.447473287582397,2.405636787414551,2.328238344192505,2.327192497253418,,,
1984-01-10,,,2.426555633544922,2.4307389736175535,2.3407894372940063,2.3292843103408813,,,
1984-01-11,,,2.4056379795074463,2.434922695159912,2.355432462692261,2.332422149181366,,,
1984-01-12,,,2.4056379795074463,2.426555633544922,2.374259281158447,2.3386978030204775,,,
1984-01-13,,,2.426555633544922,2.4223721027374268,2.393085980415344,2.344973349571228,,,
1984-01-16,,,2.342881202697754,2.4014536857604982,2.4035452365875245,2.3460192918777465,,,
1984-01-17,,,2.342881202697754,2.3847187995910644,2.407728886604309,2.344973385334015,,,
1984-01-18,,,2.3010447025299072,2.3638001441955567,2.399361419677734,2.3397437214851378,,,
1984-01-19,,,2.28012490272522,2.3386975288391114,2.3826265811920164,2.3366059064865112,,,
1984-01-20,,,2.28012490272522,2.309411382675171,2.3658917427062987,2.337651765346527,,,
1984-01-23,,,2.28012490272522,2.296860122680664,2.349156904220581,2.338697624206543,,,
1984-01-24,,,2.238288640975952,2.2759416103363037,2.3303302049636843,2.3355598211288453,,,
1984-01-25,,,2.238288640975952,2.263390398025513,2.3135952711105348,2.3345138669013976,,,
1984-01-26,,,2.1964519023895264,2.246655797958374,2.2926766633987428,2.333467972278595,,,
1984-01-27,,,2.175532817840576,2.225737380981445,2.2675743818283083,2.330330181121826,2.3730720567703245,,
1984-01-30,,,2.175532817840576,2.2048189640045166,2.2508395433425905,2.3271923899650573,2.365409460067749,,
1984-01-31,,,2.2592077255249023,2.2090027809143065,2.242472195625305,2.325100541114807,2.359014239311218,,
1984-02-01,,,2.2592077255249023,2.2131865978240968,2.2382884979248048,2.3188249588012697,2.353025140762329,,
1984-02-02,,,2.3010447025299072,2.2341051578521727,2.2403804779052736,2.311503529548645,2.34787278175354,,
1984-02-03,,,2.3010447025299072,2.259207534790039,2.242472457885742,2.3041821002960203,2.3431265640258787,,
1984-02-06,,,2.3010447025299072,2.284309911727905,2.244564437866211,2.296860671043396,2.3391926193237307,,
1984-02-07,,,2.3010447025299072,2.292677307128906,2.2508400440216065,2.290585124492645,2.334852514266968,,
1984-02-08,,,2.28012490272522,2.29686074256897,2.2550236701965334,2.284309470653534,2.3296879005432127,,
1984-02-09,,,2.2592077255249023,2.288493347167969,2.261299252510071,2.2769879579544066,2.3249172163009644,,
1984-02-10,,,2.217369794845581,2.2717583656311033,2.265482950210571,2.2665286660194397,2.32052818775177,,
1984-02-13,,,2.175532817840576,2.246655988693237,2.265482950210571,2.258161246776581,2.315708556175232,,
1984-02-14,,,2.1964519023895264,2.225737428665161,2.2592073678970337,2.2508397817611696,2.3109011697769164,,
1984-02-15,,,2.217369794845581,2.2131864070892333,2.2550235748291017,2.246656036376953,2.306512141227722,,
