Date,GRADE,GPS,FCX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1995-07-10,,,6.66672420501709,,,,,,
1995-07-11,,,6.802778244018555,,,,,,
1995-07-12,,,7.108904838562012,,,,,,
1995-07-13,,,7.108904838562012,,,,,,
1995-07-14,,,7.074894905090332,6.95244140625,,,,,
1995-07-17,,,7.040876388549805,7.027271842956543,,,,,
1995-07-18,,,6.870809078216553,7.040878009796143,,,,,
1995-07-19,,,6.462642192840576,6.911625480651855,,,,,
1995-07-20,,,6.428627967834473,6.775570106506348,,,,,
1995-07-21,,,6.564681529998779,6.673527431488037,6.812984418869019,,,,
1995-07-24,,,6.564681529998779,6.578288459777832,6.8027801513671875,,,,
1995-07-25,,,6.598694801330566,6.523865604400635,6.7823718070983885,,,,
1995-07-26,,,6.836793899536133,6.598695945739746,6.755160713195801,,,,
1995-07-27,,,7.006864070892334,6.714343166351318,6.744956636428833,,,,
1995-07-28,,,7.449045181274414,6.891215896606445,6.782371664047242,,,,
1995-07-31,,,7.347002506256103,7.04768009185791,6.812984275817871,,,,
1995-08-01,,,7.244960784912109,7.176933288574219,6.850399446487427,,,,
1995-08-02,,,6.904823303222656,7.190539169311523,6.894617557525635,,,,
1995-08-03,,,7.074894905090332,7.204145336151123,6.959244251251221,,,,
1995-08-04,,,6.904823303222656,7.095300960540771,6.993258428573609,6.903121423721314,,,
1995-08-07,,,6.836793899536133,6.993259239196777,7.020469665527344,6.911624908447266,,,
1995-08-08,,,6.768765449523926,6.898020172119141,7.03747673034668,6.909924268722534,,,
1995-08-09,,,6.66672420501709,6.850400352478028,7.020469760894775,6.887815237045288,,,
1995-08-10,,,6.7347517013549805,6.782371711730957,6.99325852394104,6.869107580184936,,,
1995-08-11,,,6.802778244018555,6.7619626998901365,6.928631830215454,6.855501747131347,,,
1995-08-14,,,6.66672420501709,6.727948760986328,6.860604000091553,6.836794137954712,,,
1995-08-15,,,6.700738430023193,6.7143433570861815,6.806181764602661,6.828290605545044,,,
