Date,GRADE,GPS,EPAM,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2012-02-08,,,14.0,,,,,,
2012-02-09,,,13.90999984741211,,,,,,
2012-02-10,,,13.960000038146973,,,,,,
2012-02-13,,,13.649999618530272,,,,,,
2012-02-14,,,13.4399995803833,13.791999816894531,,,,,
2012-02-15,,,13.399999618530272,13.671999740600587,,,,,
2012-02-16,,,13.539999961853027,13.597999763488769,,,,,
2012-02-17,,,13.579999923706056,13.521999740600586,,,,,
2012-02-20,,,13.579999923706056,13.507999801635743,,,,,
2012-02-21,,,13.710000038146973,13.561999893188476,13.676999855041505,,,,
2012-02-22,,,13.960000038146973,13.673999977111816,13.672999858856201,,,,
2012-02-23,,,13.9399995803833,13.75399990081787,13.67599983215332,,,,
2012-02-24,,,13.710000038146973,13.779999923706054,13.650999832153321,,,,
2012-02-27,,,13.65999984741211,13.795999908447266,13.651999855041504,,,,
2012-02-28,,,13.829999923706056,13.819999885559081,13.69099988937378,,,,
2012-02-29,,,14.130000114440918,13.853999900817872,13.763999938964844,,,,
2012-03-01,,,15.0,14.065999984741211,13.90999994277954,,,,
2012-03-02,,,15.140000343322754,14.352000045776368,14.065999984741211,,,,
2012-03-05,,,15.09000015258789,14.638000106811523,14.217000007629395,,,,
2012-03-06,,,15.0,14.872000122070313,14.346000003814698,14.011499929428101,,,
2012-03-07,,,15.229999542236328,15.092000007629395,14.472999954223633,14.072999906539916,,,
2012-03-08,,,15.229999542236328,15.13799991607666,14.601999950408935,14.138999891281127,,,
2012-03-09,,,15.31999969482422,15.173999786376953,14.76299991607666,14.20699987411499,,,
2012-03-12,,,15.140000343322754,15.183999824523926,14.910999965667724,14.281499910354615,,,
2012-03-13,,,15.779999732971191,15.339999771118164,15.105999946594238,14.398499917984008,,,
2012-03-14,,,16.200000762939453,15.534000015258789,15.313000011444093,14.538499975204468,,,
2012-03-15,,,17.0,15.888000106811523,15.513000011444092,14.711499977111817,,,
2012-03-16,,,16.799999237060547,16.18400001525879,15.678999900817871,14.872499942779541,,,
2012-03-19,,,17.40999984741211,16.63799991607666,15.910999870300293,15.063999938964844,,,
2012-03-20,,,17.40999984741211,16.963999938964843,16.151999855041502,15.2489999294281,,,
2012-03-21,,,17.3799991607666,17.199999618530274,16.36699981689453,15.419999885559083,,,
2012-03-22,,,16.600000381469727,17.11999969482422,16.50399990081787,15.552999925613403,,,
2012-03-23,,,17.100000381469727,17.179999923706056,16.681999969482423,15.72249994277954,,,
2012-03-26,,,16.979999542236328,17.0939998626709,16.86599988937378,15.888499927520751,,,
2012-03-27,,,21.11000061035156,17.834000015258788,17.398999977111817,16.252499961853026,,,
2012-03-28,,,20.0,18.358000183105467,17.778999900817873,16.54599995613098,,,
2012-03-29,,,20.100000381469727,19.05800018310547,18.088999938964843,16.80099997520447,,,
2012-03-30,,,20.520000457763672,19.74200019836426,18.461000061035158,17.069999980926514,,,
2012-04-02,,,21.709999084472656,20.688000106811522,18.89099998474121,17.40099992752075,,,
2012-04-03,,,22.200000762939453,20.9060001373291,19.370000076293945,17.760999965667725,,,
2012-04-04,,,21.149999618530277,21.136000061035155,19.74700012207031,18.056999969482423,,,
2012-04-05,,,20.959999084472656,21.30799980163574,20.182999992370604,18.34349994659424,,,
2012-04-06,,,20.959999084472656,21.39599952697754,20.5689998626709,18.62549991607666,,,
2012-04-09,,,21.270000457763672,21.30799980163574,20.997999954223634,18.931999921798706,,,
2012-04-10,,,21.799999237060547,21.22799949645996,21.06699981689453,19.232999897003175,,,
2012-04-11,,,22.59000015258789,21.515999603271485,21.32599983215332,19.552499866485597,,,
2012-04-12,,,23.25,21.973999786376954,21.640999794006348,19.864999866485597,,,
2012-04-13,,,22.649999618530277,22.311999893188478,21.85399971008301,20.157499885559083,,,
2012-04-16,,,21.200000762939453,22.297999954223634,21.802999877929686,20.34699993133545,,,
2012-04-17,,,20.26000022888184,21.990000152587893,21.608999824523927,20.489499950408934,17.030799922943114,,
2012-04-18,,,20.18000030517578,21.508000183105473,21.511999893188477,20.629500007629396,17.15439992904663,,
2012-04-19,,,20.38999938964844,20.93600006103516,21.454999923706055,20.81899995803833,17.283999919891357,,
2012-04-20,,,20.040000915527344,20.41400032043457,21.363000106811523,20.96599998474121,17.405599937438964,,
2012-04-23,,,20.170000076293945,20.20800018310547,21.25300006866455,21.125500011444093,17.535999946594238,,
2012-04-24,,,19.780000686645508,20.112000274658204,21.05100021362305,21.05900001525879,17.662799968719483,,
2012-04-25,,,19.84000015258789,20.044000244140626,20.776000213623046,21.051000022888182,17.791599979400633,,
2012-04-26,,,20.049999237060547,19.976000213623045,20.456000137329102,21.048499965667723,17.921799964904785,,
2012-04-27,,,20.09000015258789,19.986000061035156,20.200000190734862,21.026999950408936,18.051999969482424,,
2012-04-30,,,20.63999938964844,20.079999923706055,20.144000053405765,20.973499965667724,18.19319995880127,,
2012-05-01,,,20.729999542236328,20.269999694824218,20.190999984741214,20.89999990463257,18.333599948883055,,
2012-05-02,,,21.899999618530277,20.681999588012694,20.362999916076664,20.937499904632567,18.492399940490724,,
2012-05-03,,,21.049999237060547,20.881999588012697,20.42899990081787,20.941999912261963,18.63459993362427,,
2012-05-04,,,20.459999084472656,20.95599937438965,20.470999717712402,20.916999912261964,18.76959991455078,,
2012-05-07,,,20.1200008392334,20.85199966430664,20.465999794006347,20.85949993133545,18.898799934387206,,
2012-05-08,,,18.07999992370605,20.321999740600585,20.2959997177124,20.673499965667723,18.983799934387207,,
2012-05-09,,,17.75,19.49199981689453,20.086999702453614,20.43149995803833,19.056199932098387,,
2012-05-10,,,17.6200008392334,18.8060001373291,19.8439998626709,20.15,19.108599948883057,,
2012-05-11,,,17.360000610351562,18.186000442504884,19.570999908447266,19.885500049591066,19.15299995422363,,
2012-05-14,,,16.020000457763672,17.366000366210937,19.10900001525879,19.626500034332274,19.17159996032715,,
2012-05-15,,,15.3100004196167,16.812000465393066,18.567000102996825,19.37900004386902,19.177799968719484,,
2012-05-16,,,15.649999618530272,16.39200038909912,17.942000102996825,19.152500009536745,19.18619997024536,,
2012-05-17,,,15.0600004196167,15.88000030517578,17.343000221252442,18.886000061035155,19.18279998779297,,
2012-05-18,,,14.970000267028809,15.402000236511231,16.794000339508056,18.63250002861023,19.17579999923706,,
2012-05-21,,,15.670000076293944,15.332000160217286,16.349000263214112,18.40750002861023,19.186399993896483,,
2012-05-22,,,15.6899995803833,15.407999992370605,16.110000228881837,18.202999973297118,19.184599990844728,,
2012-05-23,,,16.600000381469727,15.598000144958496,15.995000267028809,18.040999984741212,19.19259998321533,,
2012-05-24,,,16.950000762939453,15.976000213623047,15.928000259399415,17.886000061035155,19.19159999847412,,
2012-05-25,,,16.989999771118164,16.380000114440918,15.891000175476075,17.73100004196167,19.195400009155275,,
2012-05-28,,,16.989999771118164,16.64400005340576,15.988000106811523,17.548500061035156,19.187000007629393,,
2012-05-29,,,17.200000762939453,16.94600028991699,16.1770001411438,17.37200012207031,19.18280002593994,,
2012-05-30,,,17.299999237060547,17.086000061035158,16.342000102996828,17.142000102996825,19.18120002746582,,
2012-05-31,,,17.5,17.195999908447266,16.586000061035158,16.964500141143798,19.199200019836425,,
2012-06-01,,,16.520000457763672,17.102000045776368,16.74100008010864,16.76750020980835,19.187600021362304,,
2012-06-04,,,16.420000076293945,16.988000106811523,16.816000080108644,16.582500171661376,19.176400032043457,,
2012-06-05,,,16.75,16.897999954223632,16.922000122070312,16.516000175476073,19.089200019836426,,
2012-06-06,,,16.600000381469727,16.75800018310547,16.922000122070312,16.45850019454956,19.02120002746582,,
2012-06-07,,,16.510000228881836,16.560000228881837,16.87800006866455,16.403000164031983,18.94940002441406,,
2012-06-08,,,16.780000686645508,16.612000274658204,16.857000160217286,16.37400016784668,18.8746000289917,,
2012-06-11,,,16.8799991607666,16.704000091552736,16.846000099182127,16.417000102996827,18.77800003051758,,
2012-06-12,,,17.3700008392334,16.828000259399413,16.863000106811523,16.52000012397766,18.681400032043456,,
2012-06-13,,,17.969999313354492,17.102000045776368,16.93000011444092,16.63600010871887,18.617800025939943,,
