Date,GRADE,GPS,GL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,3.0820066928863525,,,,,,
1983-11-22,,,3.028247833251953,,,,,,
1983-11-23,,,3.028247833251953,,,,,,
1983-11-24,,,3.028247833251953,,,,,,
1983-11-25,,,3.028247833251953,3.038999605178833,,,,,
1983-11-28,,,3.108882427215576,3.0443747520446776,,,,,
1983-11-29,,,3.135763168334961,3.065877819061279,,,,,
1983-11-30,,,3.1895174980163574,3.0981317520141602,,,,,
1983-12-01,,,3.198477029800415,3.1321775913238525,,,,,
1983-12-02,,,3.198477029800415,3.166223430633545,3.102611517906189,,,,
1983-12-05,,,3.1895174980163574,3.182350444793701,3.1133625984191893,,,,
1983-12-06,,,3.207435846328736,3.196684980392456,3.1312813997268676,,,,
1983-12-07,,,3.216394186019897,3.202060317993164,3.150096035003662,,,,
1983-12-08,,,3.1895174980163574,3.2002684116363525,3.1662230014801027,,,,
1983-12-09,,,3.1536805629730225,3.191309118270874,3.1787662744522094,,,,
1983-12-12,,,3.1268022060394287,3.178766059875488,3.1805582523345945,,,,
1983-12-13,,,3.0461678504943848,3.1465124607086183,3.171598720550537,,,,
1983-12-14,,,2.9834532737731934,3.0999242782592775,3.1509922981262206,,,,
1983-12-15,,,2.974494218826294,3.0569196224212645,3.1285940170288087,,,,
1983-12-16,,,2.974494218826294,3.021082353591919,3.1061957359313963,3.104403626918793,,,
1983-12-19,,,2.974494218826294,2.990620756149292,3.0846934080123902,3.09902800321579,,,
1983-12-20,,,3.037212610244751,2.9888297080993653,3.0676710844039916,3.0994762420654296,,,
1983-12-21,,,3.01928973197937,2.9959969997406004,3.047960638999939,3.0990283370018004,,,
1983-12-22,,,3.064089059829712,3.0139159679412844,3.0354177951812744,3.1008203983306886,,,
1983-12-23,,,3.055129289627075,3.0300429821014405,3.0255626678466796,3.1021644711494445,,,
1983-12-26,,,3.055129289627075,3.0461699962615967,3.0183953762054445,3.0994768142700195,,,
1983-12-27,,,3.0820066928863525,3.055128812789917,3.021979260444641,3.096788990497589,,,
1983-12-28,,,3.064089059829712,3.0640886783599854,3.030042839050293,3.0905175685882567,,,
1983-12-29,,,3.037212610244751,3.0587133884429933,3.036314678192139,3.0824543476104735,,,
1983-12-30,,,3.064089059829712,3.0605053424835207,3.0452741622924804,3.0757349491119386,,,
1984-01-02,,,3.064089059829712,3.062297296524048,3.0542336463928224,3.0694635272026063,,,
1984-01-03,,,3.108882427215576,3.0676724433898928,3.061400628089905,3.0645358562469482,,,
1984-01-04,,,3.135763168334961,3.0820072650909425,3.073047971725464,3.0605043053627012,,,
