Date,GRADE,GPS,TMO,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.9791048765182493,,,,,,
1983-11-22,,,2.0059707164764404,,,,,,
1983-11-23,,,2.041792869567871,,,,,,
1983-11-24,,,2.041792869567871,,,,,,
1983-11-25,,,2.041792869567871,2.0220908403396605,,,,,
1983-11-28,,,2.113433837890625,2.0489566326141357,,,,,
1983-11-29,,,2.167166233062744,2.0811957359313964,,,,,
1983-11-30,,,2.167166233062744,2.106270408630371,,,,,
1983-12-01,,,2.194031000137329,2.1367180347442627,,,,,
1983-12-02,,,2.1761207580566406,2.1635836124420167,2.092837226390839,,,,
1983-12-05,,,2.1850759983062744,2.1779120445251463,2.113434338569641,,,,
1983-12-06,,,2.194031000137329,2.1832849979400635,2.13224036693573,,,,
1983-12-07,,,2.247762441635132,2.199404239654541,2.152837324142456,,,,
1983-12-08,,,2.229851007461548,2.2065682411193848,2.1716431379318237,,,,
1983-12-09,,,2.21194076538086,2.2137322425842285,2.1886579275131224,,,,
1983-12-12,,,2.21194076538086,2.2191051959991457,2.198508620262146,,,,
1983-12-13,,,2.1850759983062744,2.2173141956329347,2.200299596786499,,,,
1983-12-14,,,2.131344079971313,2.194030523300171,2.196717381477356,,,,
1983-12-15,,,2.059701919555664,2.160000705718994,2.1832844734191896,,,,
1983-12-16,,,2.077612400054932,2.1331350326538088,2.1734336376190186,2.1331354320049285,,,
1983-12-19,,,2.1223886013031006,2.115224599838257,2.1671648979187013,2.140299618244171,,,
1983-12-20,,,2.095522165298462,2.0973138332366945,2.1573140144348146,2.1447771906852724,,,
1983-12-21,,,2.149254083633423,2.1008958339691164,2.1474631786346436,2.15015025138855,,,
1983-12-22,,,2.131344079971313,2.115224266052246,2.13761248588562,2.154627811908722,,,
1983-12-23,,,2.149254083633423,2.1295526027679443,2.1313438177108766,2.1600008726119997,,,
1983-12-26,,,2.149254083633423,2.134925699234009,2.1250751495361326,2.1617918848991393,,,
1983-12-27,,,2.149254083633423,2.145672082901001,2.1214929580688477,2.1608962774276734,,,
1983-12-28,,,2.1850759983062744,2.152836465835571,2.1268661499023436,2.1617917656898498,,,
1983-12-29,,,2.220895290374756,2.1707467079162597,2.142985486984253,2.163134980201721,,,
1983-12-30,,,2.364180564880371,2.2137320041656494,2.171642303466797,2.1725379705429075,,,
1984-01-02,,,2.364180564880371,2.256717300415039,2.195821499824524,2.1814931988716126,,,
1984-01-03,,,2.3014936447143555,2.2871652126312254,2.216418647766113,2.1868663311004637,,,
1984-01-04,,,2.2835819721221924,2.306866407394409,2.2298514366149904,2.188657307624817,,,
1984-01-05,,,2.3507466316223145,2.3328366756439207,2.2517916917800904,2.1947020888328552,,,
1984-01-06,,,2.364180564880371,2.3328366756439207,2.273284339904785,2.202314078807831,,,
1984-01-09,,,2.3104491233825684,2.3220903873443604,2.2894038438796995,2.207239496707916,,,
1984-01-10,,,2.3507466316223145,2.3319409847259522,2.309553098678589,2.215523028373718,,,
1984-01-11,,,2.270149707794189,2.3292545318603515,2.3180604696273805,2.222463309764862,,,
1984-01-12,,,2.1895534992218018,2.297015905380249,2.314926290512085,2.228955888748169,,,
1984-01-13,,,2.1895534992218018,2.262090492248535,2.297463583946228,2.2345529437065124,,,
1984-01-16,,,2.2029848098754883,2.240597629547119,2.28134400844574,2.2385827541351317,,,
1984-01-17,,,2.297016143798828,2.2298515319824217,2.280896258354187,2.24865745306015,,,
1984-01-18,,,2.3238816261291504,2.2405979156494142,2.2849262237548826,2.2573888301849365,,,
1984-01-19,,,2.3238816261291504,2.267463541030884,2.2822397232055662,2.2670157074928285,,,
1984-01-20,,,2.3507466316223145,2.2997021675109863,2.2808963298797607,2.277090334892273,,,
1984-01-23,,,2.3238816261291504,2.3238815307617187,2.282239580154419,2.2858217120170594,,,
1984-01-24,,,2.229851007461548,2.310448503494263,2.2701500177383425,2.2898515582084658,,,
1984-01-25,,,2.2029848098754883,2.2862691402435305,2.2634335279464723,2.2907469987869264,,,
1984-01-26,,,2.2567169666290283,2.272836208343506,2.2701498746871946,2.29253808259964,,,
1984-01-27,,,2.2567169666290283,2.2540302753448485,2.2768662214279174,2.287164902687073,2.2024485945701597,,
1984-01-30,,,2.149254083633423,2.219104766845703,2.271493148803711,2.2764185786247255,2.2058515787124633,,
1984-01-31,,,2.149254083633423,2.202985382080078,2.2567169427871705,2.2688066005706786,2.208717246055603,,
1984-02-01,,,2.082089424133301,2.1788063049316406,2.2325377225875855,2.2587319731712343,2.2095231771469117,,
1984-02-02,,,2.014925956726074,2.13044810295105,2.201642155647278,2.241940939426422,2.208985838890076,,
1984-02-03,,,2.001493215560913,2.079403352737427,2.1667168140411377,2.2238065719604494,2.2081798458099366,,
