Date,GRADE,GPS,DRI,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1995-05-09,,,3.182608366012573,,,,,,
1995-05-10,,,3.386619806289673,,,,,,
1995-05-11,,,3.468225479125977,,,,,,
1995-05-12,,,3.427422285079956,,,,,,
1995-05-15,,,3.427422285079956,3.378459644317627,,,,,
1995-05-16,,,3.427422285079956,3.4274224281311034,,,,,
1995-05-17,,,3.345815896987915,3.419261646270752,,,,,
1995-05-18,,,3.386619806289673,3.402940511703491,,,,,
1995-05-19,,,3.386619806289673,3.3947800159454347,,,,,
1995-05-22,,,3.631437063217163,3.435582971572876,3.4070213079452514,,,,
1995-05-23,,,3.6722376346588135,3.4845460414886475,3.4559842348098755,,,,
1995-05-24,,,3.590632677078247,3.533509397506714,3.4763855218887327,,,,
1995-05-25,,,3.5090267658233643,3.557990789413452,3.4804656505584717,,,,
1995-05-26,,,3.5498294830322266,3.5906327247619627,3.492706370353699,,,,
1995-05-29,,,3.5498294830322266,3.5743112087249758,3.5049470901489257,,,,
1995-05-30,,,3.631437063217163,3.5661510944366457,3.5253485679626464,,,,
1995-05-31,,,3.590632677078247,3.5661510944366457,3.5498302459716795,,,,
1995-06-01,,,3.5498294830322266,3.574311637878418,3.5661512136459352,,,,
1995-06-02,,,3.5090267658233643,3.5661510944366457,3.578391909599304,,,,
1995-06-05,,,3.590632677078247,3.5743117332458496,3.5743114709854127,3.490666389465332,,,
1995-06-06,,,3.590632677078247,3.5661508560180666,3.566150975227356,3.511067605018616,,,
1995-06-07,,,3.590632677078247,3.5661508560180666,3.566150975227356,3.5212682485580444,,,
1995-06-08,,,3.631437063217163,3.5824723720550535,3.578392004966736,3.5294288277626036,,,
1995-06-09,,,3.590632677078247,3.59879355430603,3.582472324371338,3.5375893473625184,,,
1995-06-12,,,3.590632677078247,3.59879355430603,3.58655264377594,3.5457498669624328,,,
1995-06-13,,,3.631437063217163,3.6069544315338136,3.58655264377594,3.555950605869293,,,
1995-06-14,,,3.631437063217163,3.6151153087615966,3.5906330823898314,3.5702316641807554,,,
1995-06-15,,,3.6722376346588135,3.6232754230499267,3.6028738975524903,3.5845125555992126,,,
1995-06-16,,,3.631437063217163,3.63143630027771,3.61511492729187,3.596753418445587,,,
1995-06-19,,,3.7130415439605713,3.655918073654175,3.6273558139801025,3.6008336424827574,,,
1995-06-20,,,3.6722376346588135,3.664078187942505,3.635516309738159,3.6008336424827574,,,
1995-06-21,,,3.5498294830322266,3.6477566719055177,3.631435990333557,3.5987934827804566,,,
1995-06-22,,,3.5090267658233643,3.6151144981384276,3.6191949605941773,3.5987934827804566,,,
1995-06-23,,,3.5498294830322266,3.5987929821014406,3.6151146411895754,3.5987934827804566,,,
1995-06-26,,,3.5090267658233643,3.557990026473999,3.606954050064087,3.5967533469200133,,,
1995-06-27,,,3.631437063217163,3.549829912185669,3.606954050064087,3.5967533469200133,,,
1995-06-28,,,3.6722376346588135,3.574311542510986,3.611034107208252,3.6008335947990417,,,
1995-06-29,,,3.631437063217163,3.598793601989746,3.606954050064087,3.6049139738082885,,,
