Date,GRADE,GPS,RJF,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.2331322282552719,,,,,,
1983-11-22,,,0.2445045560598373,,,,,,
1983-11-23,,,0.2558766603469848,,,,,,
1983-11-24,,,0.2558766603469848,,,,,,
1983-11-25,,,0.2501908838748932,0.24791619777679438,,,,,
1983-11-28,,,0.2445045560598373,0.25019066333770745,,,,,
1983-11-29,,,0.2445045560598373,0.25019066333770745,,,,,
1983-11-30,,,0.2445045560598373,0.24791624248027797,,,,,
1983-12-01,,,0.2388186007738113,0.24450463056564326,,,,,
1983-12-02,,,0.2331322282552719,0.24109289944171902,0.2445045486092567,,,,
1983-12-05,,,0.2331322282552719,0.23881843388080598,0.2445045486092567,,,,
1983-12-06,,,0.2331322282552719,0.23654396831989288,0.24336731582880017,,,,
1983-12-07,,,0.2331322282552719,0.2342695027589798,0.24109287261962886,,,,
1983-12-08,,,0.2331322282552719,0.2331322282552719,0.23881842941045756,,,,
1983-12-09,,,0.2274458259344101,0.23199494779109955,0.23654392361640925,,,,
1983-12-12,,,0.2217601984739303,0.22972054183483123,0.23426948785781856,,,,
1983-12-13,,,0.2217601984739303,0.22744613587856288,0.2319950520992279,,,,
1983-12-14,,,0.2217601984739303,0.22517172992229456,0.2297206163406372,,,,
1983-12-15,,,0.2160737365484237,0.22176003158092494,0.22744612991809846,,,,
1983-12-16,,,0.2160737365484237,0.21948561370372763,0.22574028074741365,0.23512241467833514,,,
1983-12-19,,,0.2217601984739303,0.21948561370372768,0.22460307776927949,0.23455381318926807,,,
1983-12-20,,,0.2217601984739303,0.21948561370372763,0.22346587479114532,0.23341659530997272,,,
1983-12-21,,,0.2160737365484237,0.21834832131862636,0.22176002562046046,0.23142644912004467,,,
1983-12-22,,,0.2160737365484237,0.2183483213186263,0.22005417644977565,0.2294363029301166,,,
1983-12-23,,,0.2160737365484237,0.21834832131862636,0.218916967511177,0.22773044556379313,,,
1983-12-26,,,0.2160737365484237,0.217211028933525,0.2183483213186263,0.22630890458822245,,,
1983-12-27,,,0.2103880047798156,0.2149365901947021,0.2172111019492149,0.2246030770242214,,,
1983-12-28,,,0.2103880047798156,0.21379944384098043,0.21607388257980342,0.2228972494602203,,,
1983-12-29,,,0.2103880047798156,0.21266229748725882,0.21550530940294257,0.22147571966052051,,,
1983-12-30,,,0.2103880047798156,0.2115251511335372,0.21493673622608175,0.2203385084867477,,,
1984-01-02,,,0.2103880047798156,0.2103880047798156,0.21379951685667034,0.21920129731297489,,,
1984-01-03,,,0.2103880047798156,0.2103880047798156,0.21266229748725882,0.21806408613920203,,,
1984-01-04,,,0.2160737365484237,0.2115251511335372,0.21266229748725882,0.2172111615538596,,,
1984-01-05,,,0.2160737365484237,0.21266229748725882,0.21266229748725882,0.21635823696851722,,,
1984-01-06,,,0.2160737365484237,0.21379944384098043,0.21266229748725882,0.2157896324992179,,,
1984-01-09,,,0.2217601984739303,0.21607388257980342,0.2132309436798095,0.2157896324992179,,,
1984-01-10,,,0.2217601984739303,0.2183483213186263,0.21436816304922096,0.2157896324992179,,,
1984-01-11,,,0.2274458259344101,0.22062273919582362,0.21607394516468043,0.2160739138722419,,,
1984-01-12,,,0.2217601984739303,0.22176003158092494,0.2172111645340919,0.21635823696851725,,,
1984-01-13,,,0.2331322282552719,0.22517172992229456,0.21948558688163752,0.21721116155385967,,,
1984-01-16,,,0.2331322282552719,0.22744613587856288,0.22176000922918315,0.21777976304292673,,,
1984-01-17,,,0.2331322282552719,0.22972054183483123,0.22403443157672878,0.21834836453199383,,,
1984-01-18,,,0.2331322282552719,0.2308578222990036,0.2257402807474136,0.21920128911733622,,,
1984-01-19,,,0.2274458259344101,0.23199494779109955,0.22687748968601223,0.21976989358663554,,,
1984-01-20,,,0.2274458259344101,0.2308576673269272,0.2280146986246109,0.22033849805593486,,,
1984-01-23,,,0.2217601984739303,0.22858326137065887,0.2280146986246109,0.22062282115221019,,,
1984-01-24,,,0.2217601984739303,0.22630885541439053,0.2280146986246109,0.22119143083691592,,,
1984-01-25,,,0.2160737365484237,0.22289715707302088,0.22687748968601226,0.22147571742534633,,,
1984-01-26,,,0.2217601984739303,0.22176003158092494,0.22687748968601226,0.22204432711005206,,,
1984-01-27,,,0.2217601984739303,0.22062290608882895,0.2257402867078781,0.2226129367947578,0.22608148783445356,,
1984-01-30,,,0.2217601984739303,0.220622906088829,0.2246030837297439,0.22318154647946353,0.2258540472388267,,
1984-01-31,,,0.2160737365484237,0.21948561370372763,0.2228972345590591,0.22346583306789397,0.22528543084859845,,
1984-02-01,,,0.2217601984739303,0.220622906088829,0.22176003158092494,0.22375015616416932,0.22460310161113736,,
1984-02-02,,,0.2217601984739303,0.22062290608882895,0.22119146883487698,0.22403447926044465,0.22392077237367627,,
1984-02-03,,,0.2160737365484237,0.21948561370372768,0.22005425989627833,0.2240344792604446,0.2232384294271469,,
1984-02-06,,,0.2103880047798156,0.2172111749649047,0.21891704052686686,0.22346586957573886,0.22255609840154644,,
1984-02-07,,,0.2103880047798156,0.21607402861118308,0.21777982115745537,0.22289725989103312,0.221873767375946,,
1984-02-08,,,0.2047015875577926,0.21266230642795553,0.21664260625839224,0.22176004797220225,0.22107770800590512,,
1984-02-09,,,0.2018586099147796,0.2086819887161254,0.21465244740247721,0.2207649685442447,0.22033850818872447,,
1984-02-10,,,0.2018586099147796,0.20583896338939658,0.21266228854656216,0.2192012876272201,0.21971303582191465,,
