,GRADE,0,SOLV,MA 5,MA 10,MA 20,MA 50,MA 100,200
2024-04-01 00:00:00,,,69.0999984741211,,,,,,
2024-04-02 00:00:00,,,66.9000015258789,,,,,,
2024-04-03 00:00:00,,,63.88999938964844,,,,,,
2024-04-04 00:00:00,,,67.0,,,,,,
2024-04-05 00:00:00,,,70.05999755859375,67.38999938964844,,,,,
2024-04-08 00:00:00,,,67.01000213623047,66.97200012207031,,,,,
2024-04-09 00:00:00,,,65.5199966430664,66.69599914550781,,,,,
2024-04-10 00:00:00,,,63.88999938964844,66.69599914550781,,,,,
2024-04-11 00:00:00,,,63.16999816894531,65.92999877929688,,,,,
2024-04-12 00:00:00,,,62.75,64.46799926757812,65.92899932861329,,,,
2024-04-15 00:00:00,,,61.68999862670898,63.40399856567383,65.18799934387206,,,,
2024-04-16 00:00:00,,,61.95000076293945,62.689999389648435,64.69299926757813,,,,
2024-04-17 00:00:00,,,61.75,62.26199951171875,64.47899932861328,,,,
2024-04-18 00:00:00,,,64.02999877929688,62.433999633789064,64.18199920654297,,,,
2024-04-19 00:00:00,,,62.20000076293945,62.32399978637695,63.39599952697754,,,,
2024-04-22 00:00:00,,,62.06999969482422,62.4,62.90199928283691,,,,
2024-04-23 00:00:00,,,63.5,62.70999984741211,62.69999961853027,,,,
2024-04-24 00:00:00,,,63.540000915527344,63.06800003051758,62.66499977111816,,,,
2024-04-25 00:00:00,,,61.83000183105469,62.62800064086914,62.5310001373291,,,,
2024-04-26 00:00:00,,,64.43000030517578,63.07400054931641,62.69900016784668,64.31399974822997,,,
2024-04-29 00:00:00,,,65.91000366210938,63.842001342773436,63.12100067138672,64.1545000076294,,,
2024-04-30 00:00:00,,,65.01000213623047,64.14400177001953,63.42700080871582,64.06000003814697,,,
2024-05-01 00:00:00,,,65.1500015258789,64.46600189208985,63.76700096130371,64.1230001449585,,,
2024-05-02 00:00:00,,,65.13999938964844,65.1280014038086,63.878001022338864,64.03000011444092,,,
2024-05-03 00:00:00,,,64.6500015258789,65.17200164794922,64.12300109863281,63.75950031280517,,,
2024-05-06 00:00:00,,,64.69000244140625,64.9280014038086,64.38500137329102,63.643500328063965,,,
2024-05-07 00:00:00,,,65.55999755859375,65.03800048828126,64.59100112915038,63.645500373840335,,,
2024-05-08 00:00:00,,,66.43000030517578,65.29400024414062,64.88000106811523,63.7725004196167,,,
2024-05-09 00:00:00,,,64.83000183105469,65.23200073242188,65.18000106811523,63.85550060272217,,,
2024-05-10 00:00:00,,,63.7400016784668,65.05000076293945,65.11100120544434,63.90500068664551,,,
2024-05-13 00:00:00,,,63.13999938964844,64.7400001525879,64.83400077819825,63.97750072479248,,,
2024-05-14 00:00:00,,,65.0999984741211,64.64800033569335,64.8430004119873,64.13500061035157,,,
2024-05-15 00:00:00,,,62.43999862670898,63.85,64.5720001220703,64.16950054168701,,,
2024-05-16 00:00:00,,,61.560001373291016,63.19599990844726,64.21400032043456,64.04600067138672,,,
2024-05-17 00:00:00,,,62.380001068115234,62.92399978637695,63.9870002746582,64.05500068664551,,,
2024-05-20 00:00:00,,,62.02999877929688,62.70199966430664,63.72099990844727,64.05300064086914,,,
2024-05-21 00:00:00,,,61.220001220703125,61.92600021362305,63.287000274658205,63.9390007019043,,,
2024-05-22 00:00:00,,,61.88999938964844,61.816000366210936,62.83300018310547,63.85650062561035,,,
2024-05-23 00:00:00,,,59.93000030517578,61.49000015258789,62.34300003051758,63.76150054931641,,,
2024-05-24 00:00:00,,,60.45000076293945,61.104000091552734,62.013999938964844,63.56250057220459,,,
2024-05-27 00:00:00,,,60.45000076293945,60.78800048828125,61.74500007629395,63.2895004272461,,,
2024-05-28 00:00:00,,,59.86000061035156,60.51600036621094,61.221000289916994,63.032000350952146,,,
2024-05-29 00:00:00,,,59.720001220703125,60.082000732421875,60.94900054931641,62.76050033569336,,,
2024-05-30 00:00:00,,,58.34999847412109,59.76600036621094,60.628000259399414,62.42100028991699,,,
2024-05-31 00:00:00,,,59.34000015258789,59.544000244140626,60.32400016784668,62.15550022125244,,,
2024-06-03 00:00:00,,,57.04999923706055,58.863999938964845,59.82600021362305,61.77350006103516,,,
2024-06-04 00:00:00,,,55.61000061035156,58.013999938964844,59.26500015258789,61.27600021362305,,,
2024-06-05 00:00:00,,,55.72999954223633,57.215999603271484,58.64900016784668,60.741000175476074,,,
2024-06-06 00:00:00,,,55.04999923706055,56.555999755859375,58.16100006103515,60.25200004577637,,,
2024-06-07 00:00:00,,,56.40999984741211,55.96999969482422,57.75699996948242,59.88549995422363,62.70200012207031,,
2024-06-10 00:00:00,,,56.709999084472656,55.90199966430664,57.38299980163574,59.56399993896484,62.45420013427734,,
2024-06-11 00:00:00,,,56.540000915527344,56.087999725341795,57.05099983215332,59.136000061035155,62.24700012207031,,
2024-06-12 00:00:00,,,56.15999984741211,56.17399978637695,56.69499969482422,58.822000122070314,62.09240013122559,,
2024-06-13 00:00:00,,,54.130001068115234,55.99000015258789,56.272999954223636,58.450500106811525,61.83500015258789,,
2024-06-14 00:00:00,,,54.560001373291016,55.62000045776367,55.795000076293945,58.05950012207031,61.52500022888184,,
2024-06-17 00:00:00,,,54.630001068115234,55.204000854492186,55.55300025939941,57.68950023651123,61.277400207519534,,
2024-06-18 00:00:00,,,53.31999969482422,54.560000610351565,55.32400016784668,57.29450016021728,61.033400268554686,,
2024-06-19 00:00:00,,,53.31999969482422,53.992000579833984,55.08300018310547,56.866000175476074,60.8220002746582,,
