Date,GRADE,GPS,EMR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.7474430799484253,,,,,,
1983-11-22,,,1.7674131393432615,,,,,,
1983-11-23,,,1.780728101730347,,,,,,
1983-11-24,,,1.780728101730347,,,,,,
1983-11-25,,,1.7907137870788574,1.7734052419662476,,,,,
1983-11-28,,,1.7973698377609253,1.7833905935287475,,,,,
1983-11-29,,,1.8073549270629885,1.791378951072693,,,,,
1983-11-30,,,1.810684084892273,1.797370147705078,,,,,
1983-12-01,,,1.7973698377609253,1.800698494911194,,,,,
1983-12-02,,,1.757428765296936,1.7940414905548097,1.7837233662605285,,,,
1983-12-05,,,1.7674131393432615,1.788050150871277,1.7857203722000121,,,,
1983-12-06,,,1.7973698377609253,1.7860531330108642,1.7887160420417785,,,,
1983-12-07,,,1.8273260593414309,1.7893815279006957,1.793375837802887,,,,
1983-12-08,,,1.8040271997451784,1.7907130002975464,1.79570574760437,,,,
1983-12-09,,,1.8006980419158936,1.7993668556213378,1.7967041730880737,,,,
1983-12-12,,,1.8173414468765257,1.8093525171279907,1.7987013339996338,,,,
1983-12-13,,,1.8040271997451784,1.8106839895248412,1.7983685612678528,,,,
1983-12-14,,,1.7840546369552612,1.8020297050476075,1.7957056164741516,,,,
1983-12-15,,,1.7674131393432615,1.794706892967224,1.7927099466323853,,,,
1983-12-16,,,1.7973698377609253,1.7940412521362306,1.7967040538787842,1.7902137100696565,,,
1983-12-19,,,1.7940417528152466,1.7893813133239747,1.7993669152259826,1.7925436437129973,,,
1983-12-20,,,1.770741581916809,1.7827241897583008,1.7967040896415711,1.7927100658416748,,,
1983-12-21,,,1.7873839139938354,1.7833900451660156,1.7927098751068116,1.7930428564548493,,,
1983-12-22,,,1.780728101730347,1.7860530376434327,1.7903799653053283,1.7930428564548493,,,
1983-12-23,,,1.774070143699646,1.7813930988311768,1.7877171754837036,1.7922106742858888,,,
1983-12-26,,,1.774070143699646,1.7773987770080566,1.7833900451660156,1.7910456895828246,,,
1983-12-27,,,1.770741581916809,1.7773987770080566,1.7800614833831787,1.7892150223255157,,,
1983-12-28,,,1.764085292816162,1.772739052772522,1.7780645489692688,1.7868850827217102,,,
1983-12-29,,,1.7540987730026243,1.7674131870269776,1.776733112335205,1.7847215294837953,,,
1983-12-30,,,1.770741581916809,1.7667474746704102,1.7740702867507934,1.7853871703147888,,,
1984-01-02,,,1.770741581916809,1.7660817623138427,1.7717402696609497,1.7855535924434662,,,
1984-01-03,,,1.764085292816162,1.7647505044937133,1.771074640750885,1.783889365196228,,,
1984-01-04,,,1.7674131393432615,1.7654160737991333,1.7690775632858275,1.7808937191963197,,,
1984-01-05,,,1.7873839139938354,1.7720731019973754,1.7697431445121765,1.7800615549087524,,,
1984-01-06,,,1.8040271997451784,1.7787302255630493,1.7727388501167298,1.7802280128002166,,,
1984-01-09,,,1.7940417528152466,1.783390259742737,1.7747360110282897,1.7790630280971527,,,
1984-01-10,,,1.8073549270629885,1.792044186592102,1.7783973455429076,1.7792294144630432,,,
1984-01-11,,,1.810684084892273,1.8006983757019044,1.7830572247505188,1.7805608868598939,,,
1984-01-12,,,1.810684084892273,1.8053584098815918,1.7887157559394837,1.7827244341373443,,,
1984-01-13,,,1.8073549270629885,1.8060239553451538,1.7923770904541017,1.7832236886024475,,,
1984-01-16,,,1.7940417528152466,1.8060239553451538,1.7947071075439454,1.7832236886024475,,,
1984-01-17,,,1.8006980419158936,1.8046925783157348,1.7983683824539185,1.7847215116024018,,,
1984-01-18,,,1.8173414468765257,1.8060240507125855,1.803361213207245,1.7862193882465363,,,
1984-01-19,,,1.8040271997451784,1.8046926736831665,1.805025541782379,1.7873843431472778,,,
1984-01-20,,,1.7607561349868774,1.7953729152679443,1.8006984353065492,1.7867186427116395,,,
1984-01-23,,,1.7308002710342407,1.7827246189117432,1.7943742871284485,1.784555149078369,,,
1984-01-24,,,1.740785837173462,1.7707421779632568,1.787717378139496,1.7830573618412018,,,
1984-01-25,,,1.764085292816162,1.760090947151184,1.7830574989318848,1.7830573618412018,,,
1984-01-26,,,1.7840546369552612,1.7560964345932006,1.7803945541381836,1.7845551550388337,,,
1984-01-27,,,1.757428765296936,1.7554309606552123,1.7754019379615784,1.78388951420784,1.7844553470611573,,
1984-01-30,,,1.7607561349868774,1.7614221334457398,1.7720733761787415,1.7833902418613434,1.7847216081619264,,
1984-01-31,,,1.770741581916809,1.767413282394409,1.769077730178833,1.7837230563163757,1.7847881770133973,,
1984-02-01,,,1.770741581916809,1.7687445402145385,1.7644177436828614,1.7838894784450532,1.7845884466171265,,
1984-02-02,,,1.7674131393432615,1.7654162406921388,1.7607563376426696,1.7828909397125243,1.7843221473693847,,
1984-02-03,,,1.720814824104309,1.7580934524536134,1.7567622065544128,1.778730320930481,1.7829241681098937,,
1984-02-06,,,1.6975163221359253,1.7454454898834229,1.7534338116645813,1.7739040493965148,1.7809270977973939,,
1984-02-07,,,1.710830807685852,1.7334633350372315,1.7504383087158204,1.7690778434276582,1.778996615409851,,
1984-02-08,,,1.670888900756836,1.7134927988052369,1.7411186695098877,1.7620880842208861,1.7762007117271423,,
1984-02-09,,,1.6242891550064087,1.6848680019378661,1.7251421213150024,1.752768337726593,1.772739098072052,,
