Date,GRADE,GPS,PWR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1998-02-12,,,7.369672298431396,,,,,,
1998-02-13,,,7.369672298431396,,,,,,
1998-02-16,,,7.369672298431396,,,,,,
1998-02-17,,,7.697212696075439,,,,,,
1998-02-18,,,8.188523292541504,7.598950576782227,,,,,
1998-02-19,,,8.02475357055664,7.729966831207276,,,,,
1998-02-20,,,7.656270980834961,7.787286567687988,,,,,
1998-02-23,,,7.779098987579346,7.869171905517578,,,,,
1998-02-24,,,7.533443927764893,7.836418151855469,,,,,
1998-02-25,,,7.533443927764893,7.705402278900147,7.652176427841186,,,,
1998-02-26,,,7.820041656494141,7.664459896087647,7.697213363647461,,,,
1998-02-27,,,7.820041656494141,7.697214031219483,7.742250299453735,,,,
1998-03-02,,,7.820041656494141,7.705402565002442,7.78728723526001,,,,
1998-03-03,,,8.188523292541504,7.8364184379577635,7.836418294906617,,,,
1998-03-04,,,8.02475357055664,7.934680366516114,7.82004132270813,,,,
1998-03-05,,,7.901928901672363,7.951057815551758,7.807758855819702,,,,
1998-03-06,,,7.942870140075684,7.975623512268067,7.836418771743775,,,,
1998-03-09,,,7.779098987579346,7.967434978485107,7.836418771743775,,,,
1998-03-10,,,7.779098987579346,7.885550117492675,7.86098427772522,,,,
1998-03-11,,,7.820041656494141,7.844607734680176,7.889644050598145,7.770910239219665,,,
1998-03-12,,,8.1475830078125,7.893738555908203,7.92239818572998,7.809805774688721,,,
1998-03-13,,,8.516068458557129,8.008378219604491,7.992000865936279,7.8671255826950075,,,
1998-03-16,,,8.35229778289795,8.123017978668212,8.04522647857666,7.916256856918335,,,
1998-03-17,,,8.02475357055664,8.172148895263671,8.028849506378174,7.932633900642395,,,
1998-03-18,,,8.106639862060547,8.229468536376952,8.037038135528565,7.928539729118347,,,
1998-03-19,,,8.27041244506836,8.254034423828125,8.073886489868164,7.940822672843933,,,
1998-03-20,,,8.475122451782227,8.245845222473145,8.127111721038819,7.981765246391296,,,
1998-03-23,,,9.8262300491333,8.540631675720215,8.331824827194215,8.084121799468994,,,
1998-03-24,,,9.498689651489258,8.835418891906738,8.503783893585204,8.182384085655212,,,
