Date,GRADE,GPS,SCHW,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1987-09-22,,,0.2470336258411407,,,,,,
1987-09-23,,,0.2470336258411407,,,,,,
1987-09-24,,,0.2526475489139557,,,,,,
1987-09-25,,,0.254519522190094,,,,,,
1987-09-28,,,0.2489047944545745,0.2500278234481811,,,,,
1987-09-29,,,0.2432908564805984,0.24927926957607266,,,,,
1987-09-30,,,0.2376760691404342,0.24740775823593136,,,,,
1987-10-01,,,0.2451618760824203,0.2459106236696243,,,,,
1987-10-02,,,0.2451618760824203,0.24403909444808955,,,,,
1987-10-05,,,0.2395477443933487,0.24216768443584438,0.24609775394201275,,,,
1987-10-06,,,0.2395477443933487,0.24141906201839441,0.24534916579723354,,,,
1987-10-07,,,0.235804870724678,0.24104482233524321,0.24422629028558726,,,,
1987-10-08,,,0.2320618778467178,0.23842482268810267,0.24216772317886348,,,,
1987-10-09,,,0.2264477908611297,0.23468200564384462,0.23936055004596707,,,,
1987-10-12,,,0.2170898616313934,0.23019042909145354,0.23617905676364895,,,,
1987-10-13,,,0.2152188420295715,0.22532464861869808,0.2333718553185463,,,,
1987-10-14,,,0.2039899826049804,0.21896167099475855,0.2300032466650009,,,,
1987-10-15,,,0.2039899826049804,0.21334729194641108,0.2258860573172569,,,,
1987-10-16,,,0.1927612125873565,0.20660997629165645,0.2206459909677505,,,,
1987-10-19,,,0.1834034919738769,0.19987270236015314,0.21503156572580334,0.23056465983390803,,,
1987-10-20,,,0.1777893304824829,0.19238680005073544,0.20885572433471675,0.22710244506597516,,,
1987-10-21,,,0.1684322655200958,0.1852752566337585,0.20211846381425852,0.2231723770499229,,,
1987-10-22,,,0.1459745317697525,0.1736721664667129,0.193509729206562,0.21783872619271274,,,
1987-10-23,,,0.1347456574440002,0.16206905543804168,0.18433951586484904,0.21185003295540805,,,
1987-10-26,,,0.1179027631878852,0.1489689096808433,0.17442080602049823,0.2052999313920736,,,
1987-10-27,,,0.1197738721966743,0.13736581802368159,0.1648763090372085,0.19912408217787742,,,
1987-10-28,,,0.1122879311442375,0.12613695114850992,0.1557061038911342,0.19285467527806757,,,
1987-10-29,,,0.097316138446331,0.11640527248382564,0.14503871947526928,0.1854623883962631,,,
1987-10-30,,,0.1179027631878852,0.11303669363260264,0.13755287453532214,0.17909943275153634,,,
1987-11-02,,,0.1347456574440002,0.11640527248382564,0.1326870910823345,0.1738593284040689,,,
1987-11-03,,,0.127259761095047,0.11790245026350017,0.1276341341435909,0.16824492923915382,,,
1987-11-04,,,0.1235168129205703,0.12014822661876674,0.12314258888363834,0.16263052634894842,,,
1987-11-05,,,0.1160309389233589,0.12389118671417232,0.12014822959899898,0.15682897940278048,,,
1987-11-06,,,0.1160309389233589,0.12351682186126704,0.11827675774693484,0.15130813680589195,,,
1987-11-09,,,0.1122879311442375,0.11902527660131453,0.11771527454257007,0.14606804028153414,,,
1987-11-10,,,0.1085449308156967,0.11528231054544447,0.11659238040447233,0.1407343447208404,,,
1987-11-11,,,0.1104167997837066,0.11266230791807172,0.11640526726841924,0.1360556855797767,,,
1987-11-12,,,0.1141597926616668,0.11228807866573329,0.1180896326899528,0.13156417608261106,,,
1987-11-13,,,0.1141597926616668,0.11191384941339488,0.11771533563733097,0.12763410508632658,,,
1987-11-16,,,0.1160309389233589,0.11266245096921916,0.11584386378526683,0.12426547743380068,,,
1987-11-17,,,0.1085449308156967,0.11266245096921916,0.1139723807573318,0.12080325745046135,,,
1987-11-18,,,0.1122879311442375,0.11303667724132534,0.11284949257969853,0.11799604073166843,,,
1987-11-19,,,0.10480198264122,0.11116511523723598,0.11172659695148464,0.1159374132752418,,,
1987-11-20,,,0.1085449308156967,0.11004214286804197,0.11097799614071842,0.11462737694382663,,,
1987-11-23,,,0.1085449308156967,0.10854494124650953,0.11060369610786433,0.1141594853252172,,,
1987-11-24,,,0.1085449308156967,0.10854494124650953,0.11060369610786433,0.11359803825616832,,,
1987-11-25,,,0.1066738441586494,0.1074221238493919,0.11022940054535861,0.11331733390688892,,,
1987-11-26,,,0.1066738441586494,0.10779649615287779,0.10948080569505687,0.11378521919250484,,,
1987-11-27,,,0.10480198264122,0.10704790651798243,0.1085450246930122,0.1131301801651716,,,
1987-11-30,,,0.0991879701614379,0.10517651438713067,0.1068607278168201,0.11135229580104349,0.1633042004704475,,
1987-12-01,,,0.0991879701614379,0.10330512225627893,0.10592503175139423,0.10994870625436301,0.16034728735685344,,
1987-12-02,,,0.097316138446331,0.10143358111381524,0.10442785248160358,0.10863867253065104,0.15735293760895724,,
1987-12-03,,,0.0954449996352195,0.09918781220912926,0.10349215418100352,0.10760937556624409,0.15420888662338253,,
1987-12-04,,,0.0898302122950553,0.09619345813989633,0.10162068232893937,0.1062993392348289,0.15091510042548173,,
1987-12-07,,,0.0917020291090011,0.09469626992940897,0.09993639215826981,0.10527004413306709,0.14777104511857028,,
1987-12-08,,,0.0898302122950553,0.09282471835613244,0.09806492030620569,0.10433430820703501,0.1447018322348594,,
1987-12-09,,,0.0917020291090011,0.09170189648866646,0.09656773880124085,0.10339856967329975,0.14178235143423076,,
1987-12-10,,,0.0917020291090011,0.09095330238342278,0.09507055729627603,0.10227568149566646,0.13871315449476238,,
1987-12-11,,,0.0898302122950553,0.09095330238342278,0.09357338026165955,0.10105920247733588,0.13560652121901506,,
1987-12-14,,,0.0879590809345245,0.09020471274852745,0.09245049133896821,0.09965560957789416,0.1325747479498386,,
