Date,GRADE,GPS,CPAY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2010-12-15,,,27.25,,,,,,
2010-12-16,,,27.350000381469727,,,,,,
2010-12-17,,,28.06999969482422,,,,,,
2010-12-20,,,28.530000686645508,,,,,,
2010-12-21,,,29.75,28.190000152587892,,,,,
2010-12-22,,,29.07999992370605,28.5560001373291,,,,,
2010-12-23,,,30.809999465942383,29.247999954223634,,,,,
2010-12-24,,,30.809999465942383,29.795999908447264,,,,,
2010-12-27,,,30.989999771118164,30.2879997253418,,,,,
2010-12-28,,,31.059999465942383,30.549999618530272,29.369999885559082,,,,
2010-12-29,,,31.0,30.933999633789064,29.744999885559082,,,,
2010-12-30,,,30.799999237060547,30.931999588012694,30.089999771118165,,,,
2010-12-31,,,30.920000076293945,30.953999710083007,30.374999809265137,,,,
2011-01-03,,,30.46999931335449,30.849999618530273,30.568999671936034,,,,
2011-01-04,,,29.979999542236328,30.633999633789063,30.59199962615967,,,,
2011-01-05,,,30.399999618530277,30.51399955749512,30.72399959564209,,,,
2011-01-06,,,30.030000686645508,30.35999984741211,30.645999717712403,,,,
2011-01-07,,,29.989999771118164,30.173999786376953,30.563999748229982,,,,
2011-01-10,,,30.0,30.079999923706055,30.464999771118165,,,,
2011-01-11,,,31.13999938964844,30.311999893188478,30.47299976348877,29.921499824523927,,,
2011-01-12,,,30.940000534057617,30.420000076293945,30.466999816894532,30.105999851226805,,,
2011-01-13,,,30.200000762939453,30.454000091552736,30.40699996948242,30.248499870300293,,,
2011-01-14,,,30.25,30.506000137329103,30.339999961853028,30.357499885559083,,,
2011-01-17,,,30.25,30.5560001373291,30.318000030517577,30.443499851226807,,,
2011-01-18,,,30.229999542236328,30.37400016784668,30.34300003051758,30.467499828338624,,,
2011-01-19,,,30.190000534057617,30.22400016784668,30.322000122070314,30.522999858856203,,,
2011-01-20,,,30.049999237060547,30.1939998626709,30.323999977111818,30.48499984741211,,,
2011-01-21,,,30.5,30.243999862670897,30.375,30.46949987411499,,,
2011-01-24,,,31.56999969482422,30.50799980163574,30.53199996948242,30.498499870300293,,,
