Date,GRADE,GPS,HSY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.066373348236084,,,,,,
1983-11-22,,,1.0835033655166626,,,,,,
1983-11-23,,,1.087786078453064,,,,,,
1983-11-24,,,1.087786078453064,,,,,,
1983-11-25,,,1.092068433761597,1.0835034608840943,,,,,
1983-11-28,,,1.0792205333709717,1.0860728979110719,,,,,
1983-11-29,,,1.0792205333709717,1.0852163314819336,,,,,
1983-11-30,,,1.1134817600250244,1.0903554677963256,,,,,
1983-12-01,,,1.1563080549240112,1.1040598630905152,,,,,
1983-12-02,,,1.1648732423782349,1.1186208248138427,1.1010621428489684,,,,
1983-12-05,,,1.1391774415969849,1.1306122064590454,1.1083425521850585,,,,
1983-12-06,,,1.1477423906326294,1.1443165779113769,1.1147664546966554,,,,
1983-12-07,,,1.1220464706420898,1.14602952003479,1.1181924939155579,,,,
1983-12-08,,,1.1648732423782349,1.1477425575256348,1.125901210308075,,,,
1983-12-09,,,1.1648732423782349,1.1477425575256348,1.1331816911697388,,,,
1983-12-12,,,1.15202534198761,1.1503121376037597,1.1404621720314025,,,,
1983-12-13,,,1.1734387874603271,1.1554514169692993,1.149883997440338,,,,
1983-12-14,,,1.1477423906326294,1.1605906009674072,1.1533100605010986,,,,
1983-12-15,,,1.1306116580963137,1.153738284111023,1.150740420818329,,,,
1983-12-16,,,1.1477423906326294,1.1503121137619021,1.1490273356437684,1.1250447392463685,,,
1983-12-19,,,1.12632954120636,1.1451729536056519,1.147742545604706,1.1280425488948822,,,
1983-12-20,,,1.1220464706420898,1.1348944902420044,1.1451729536056519,1.1299697041511536,,,
1983-12-21,,,1.12632954120636,1.1306119203567504,1.1456012606620791,1.1318968772888183,,,
1983-12-22,,,1.10491681098938,1.1254729509353638,1.1396056175231934,1.132753413915634,,,
1983-12-23,,,1.0963515043258667,1.1151947736740113,1.1327534437179567,1.1329675674438477,,,
1983-12-26,,,1.0963515043258667,1.1091991662979126,1.1271860599517824,1.1338241159915925,,,
1983-12-27,,,1.12632954120636,1.1100557804107667,1.1224751353263858,1.1361795663833618,,,
1983-12-28,,,1.1134817600250244,1.1074862241744996,1.1190490722656252,1.1361795663833618,,,
1983-12-29,,,1.092068433761597,1.104916548728943,1.1151947498321535,1.132967585325241,,,
1983-12-30,,,1.0835033655166626,1.102346920967102,1.1087708473205569,1.1288990914821624,,,
1984-01-02,,,1.0835033655166626,1.0997772932052612,1.104488229751587,1.1261153876781465,,,
1984-01-03,,,1.0620901584625244,1.0869294166564942,1.0984925985336305,1.1218327760696412,,,
1984-01-04,,,1.0706555843353271,1.0783641815185547,1.092925202846527,1.119263231754303,,,
1984-01-05,,,1.10491681098938,1.0809338569641114,1.092925202846527,1.1162654101848604,,,
1984-01-06,,,1.1177632808685305,1.0877858400344849,1.0950663805007934,1.1139099121093752,,,
1984-01-09,,,1.0963515043258667,1.0903554677963256,1.0950663805007934,1.111126220226288,,,
1984-01-10,,,1.10491681098938,1.0989207983016969,1.0929251074790955,1.1077001214027407,,,
1984-01-11,,,1.0963515043258667,1.104059982299805,1.0912120819091797,1.1051305770874025,,,
1984-01-12,,,1.1006330251693726,1.1032032251358035,1.0920685410499573,1.1036316454410555,,,
1984-01-13,,,1.1006330251693726,1.0997771739959716,1.0937815070152284,1.1012761771678927,,,
1984-01-16,,,1.0835033655166626,1.0972075462341309,1.0937815070152284,1.0991348683834077,,,
1984-01-17,,,1.092068433761597,1.0946378707885742,1.0967793345451355,1.0976359665393831,,,
1984-01-18,,,1.087786078453064,1.0929247856140136,1.0984923839569092,1.0957087934017182,,,
1984-01-19,,,1.1177632808685305,1.0963508367538453,1.0997770309448245,1.0963511168956759,,,
1984-01-20,,,1.1006330251693726,1.0963508367538453,1.0980640053749087,1.096565192937851,,,
1984-01-23,,,1.092068433761597,1.098063850402832,1.0976356983184816,1.0963510394096376,,,
1984-01-24,,,1.0792205333709717,1.095494270324707,1.0950660705566408,1.0939955890178683,,,
1984-01-25,,,1.0792205333709717,1.0937811613082886,1.0933529734611513,1.0922825276851655,,,
1984-01-26,,,1.0749385356903076,1.085216212272644,1.090783524513245,1.091426032781601,,,
1984-01-27,,,1.0792205333709717,1.0809337139129638,1.0886422753334046,1.0912118911743165,1.1082568216323851,,
1984-01-30,,,1.0792205333709717,1.0783641338348389,1.0882139921188356,1.0909977495670318,1.108513765335083,,
1984-01-31,,,1.0749385356903076,1.077507734298706,1.0865010023117065,1.091640168428421,1.108342468738556,,
1984-02-01,,,1.066373348236084,1.0749382972717285,1.0843597292900085,1.0914260566234588,1.1079142141342162,,
1984-02-02,,,1.0235466957092283,1.0646599292755128,1.0749380707740783,1.0873575508594513,1.1066294264793397,,
1984-02-03,,,1.0235466957092283,1.053525161743164,1.067229437828064,1.0826467216014861,1.1052589917182922,,
1984-02-06,,,1.02782940864563,1.0432469367980957,1.0608055353164674,1.0792206168174743,1.1042311692237854,,
1984-02-07,,,1.0021339654922483,1.028686022758484,1.053096878528595,1.0740814745426177,1.1026894378662109,,
1984-02-08,,,0.9678730368614196,1.008985960483551,1.0419621288776395,1.0676575511693955,1.0997772634029388,,
1984-02-09,,,1.0021339654922483,1.004703414440155,1.0346816718578338,1.0627325981855393,1.0966937816143036,,
1984-02-10,,,1.02782940864563,1.0055599570274354,1.0295425593852996,1.0590924173593521,1.0939529049396515,,
1984-02-13,,,1.0235466957092283,1.004703414440155,1.023975175619125,1.0560945838689804,1.0916402900218964,,
