Date,GRADE,GPS,CBRE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2004-06-10,,,6.116666793823242,,,,,,
2004-06-11,,,6.116666793823242,,,,,,
2004-06-14,,,6.066667079925537,,,,,,
2004-06-15,,,6.25,,,,,,
2004-06-16,,,6.333333015441895,6.176666736602783,,,,,
2004-06-17,,,6.349999904632568,6.223333358764648,,,,,
2004-06-18,,,6.343332767486572,6.268666553497314,,,,,
2004-06-21,,,6.363333225250244,6.327999782562256,,,,,
2004-06-22,,,6.353332996368408,6.348666381835938,,,,,
2004-06-23,,,6.296667098999023,6.341333198547363,6.258999967575074,,,,
2004-06-24,,,6.333333015441895,6.3379998207092285,6.2806665897369385,,,,
2004-06-25,,,6.333333015441895,6.335999870300293,6.302333211898803,,,,
2004-06-28,,,6.333333015441895,6.329999828338623,6.328999805450439,,,,
2004-06-29,,,6.366666793823242,6.332666587829591,6.340666484832764,,,,
2004-06-30,,,6.366666793823242,6.346666526794435,6.343999862670898,,,,
2004-07-01,,,6.366666793823242,6.353333282470703,6.345666551589966,,,,
2004-07-02,,,6.383333206176758,6.363333320617675,6.349666595458984,,,,
2004-07-05,,,6.383333206176758,6.373333358764649,6.351666593551636,,,,
2004-07-06,,,6.363333225250244,6.372666645050049,6.352666616439819,,,,
2004-07-07,,,6.349999904632568,6.369333267211914,6.3579998970031735,6.3084999322891235,,,
2004-07-08,,,6.349999904632568,6.3659998893737795,6.359666585922241,6.32016658782959,,,
2004-07-09,,,6.333333015441895,6.355999851226807,6.359666585922242,6.330999898910522,,,
2004-07-12,,,6.303332805633545,6.339999771118164,6.356666564941406,6.342833185195923,,,
2004-07-13,,,6.353332996368408,6.337999725341797,6.3553331851959225,6.347999835014344,,,
2004-07-14,,,6.366666793823242,6.341333103179932,6.3553331851959225,6.3496665239334105,,,
2004-07-15,,,6.349999904632568,6.341333103179932,6.353666496276856,6.3496665239334105,,,
2004-07-16,,,6.300000190734863,6.334666538238525,6.345333194732666,6.347499895095825,,,
2004-07-19,,,6.333333015441895,6.340666580200195,6.34033317565918,6.3459998846054075,,,
2004-07-20,,,6.333333015441895,6.3366665840148935,6.337333154678345,6.344999885559082,,,
2004-07-21,,,6.336667060852051,6.330666637420655,6.335999870300293,6.346999883651733,,,
2004-07-22,,,6.406667232513428,6.342000102996827,6.341666603088379,6.35066659450531,,,
2004-07-23,,,6.300000190734863,6.342000102996827,6.338333320617676,6.348999953269958,,,
2004-07-26,,,6.260000228881836,6.327333545684814,6.334000062942505,6.345333313941955,,,
2004-07-27,,,6.260000228881836,6.312666988372802,6.3246667861938475,6.339999985694885,,,
2004-07-28,,,6.286666870117188,6.30266695022583,6.316666793823242,6.335999989509583,,,
2004-07-29,,,6.300000190734863,6.281333541870117,6.311666822433471,6.332666659355164,,,
2004-07-30,,,6.313333034515381,6.284000110626221,6.313000106811524,6.329166650772095,,,
2004-08-02,,,6.340000152587891,6.300000095367432,6.313666820526123,6.326999998092651,,,
2004-08-03,,,6.389999866485596,6.326000022888183,6.319333505630493,6.328333330154419,,,
2004-08-04,,,6.349999904632568,6.33866662979126,6.320666790008545,6.328333330154419,,,
2004-08-05,,,6.570000171661377,6.392666625976562,6.33700008392334,6.339333343505859,,,
2004-08-06,,,6.47333288192749,6.4246665954589846,6.354333353042603,6.346333336830139,,,
2004-08-09,,,6.360000133514404,6.428666591644287,6.3643333435058596,6.349166703224182,,,
2004-08-10,,,6.433332920074463,6.43733320236206,6.381666612625122,6.353166699409485,,,
2004-08-11,,,6.433332920074463,6.453999805450439,6.39633321762085,6.3565000057220455,,,
2004-08-12,,,6.4166669845581055,6.423333168029785,6.407999897003174,6.359833359718323,,,
2004-08-13,,,6.400000095367432,6.408666610717773,6.4166666030883786,6.364833354949951,,,
2004-08-16,,,6.386666774749756,6.413999938964844,6.421333265304566,6.367500042915344,,,
2004-08-17,,,6.283332824707031,6.383999919891357,6.410666561126709,6.365000033378601,,,
2004-08-18,,,6.303332805633545,6.3579998970031735,6.405999851226807,6.363333320617675,6.335933275222779,,
2004-08-19,,,6.373332977294922,6.349333095550537,6.3863331317901615,6.36166660785675,6.341066598892212,,
2004-08-20,,,6.466667175292969,6.362666511535645,6.385666561126709,6.369999957084656,6.3480666065216065,,
2004-08-23,,,6.393332958221436,6.363999748229981,6.3889998435974125,6.3766665935516365,6.354599924087524,,
2004-08-24,,,6.433332920074463,6.393999767303467,6.3889998435974125,6.385333228111268,6.358266582489014,,
2004-08-25,,,6.446667194366455,6.4226666450500485,6.390333271026611,6.39333324432373,6.360533266067505,,
2004-08-26,,,6.480000019073486,6.4440000534057615,6.396666574478149,6.402333235740661,6.363133268356323,,
2004-08-27,,,6.443333148956299,6.439333248138428,6.400999879837036,6.408833241462707,6.365133275985718,,
2004-08-30,,,6.47333288192749,6.455333232879639,6.40966649055481,6.415499877929688,6.367333269119262,,
2004-08-31,,,6.49666690826416,6.468000030517578,6.430999898910523,6.420833230018616,6.370199947357178,,
2004-09-01,,,6.579999923706055,6.494666576385498,6.458666610717773,6.43233323097229,6.3758666038513185,,
2004-09-02,,,6.656667232513428,6.530000019073486,6.487000036239624,6.436666584014892,6.382333288192749,,
2004-09-03,,,6.866666793823242,6.614666748046875,6.526999998092651,6.45633327960968,6.392999963760376,,
2004-09-06,,,6.866666793823242,6.693333530426026,6.574333381652832,6.481666612625122,6.403666639328003,,
2004-09-07,,,6.913332939147949,6.776666736602783,6.62233338356018,6.505666613578796,6.414599962234497,,
