Date,GRADE,GPS,COR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1995-04-04,,,2.2356746196746826,,,,,,
1995-04-05,,,2.1528725624084477,,,,,,
1995-04-06,,,2.188359022140503,,,,,,
1995-04-07,,,2.1528725624084477,,,,,,
1995-04-10,,,2.1765286922454834,2.181261491775513,,,,,
1995-04-11,,,2.1647019386291504,2.167066955566406,,,,,
1995-04-12,,,2.1647019386291504,2.169432830810547,,,,,
1995-04-13,,,2.1765286922454834,2.167066764831543,,,,,
1995-04-14,,,2.1765286922454834,2.17179799079895,,,,,
1995-04-17,,,2.2356746196746826,2.18362717628479,2.1824443340301514,,,,
1995-04-18,,,2.2238454818725586,2.1954558849334718,2.181261420249939,,,,
1995-04-19,,,2.1528725624084477,2.1930900096893313,2.181261420249939,,,,
1995-04-20,,,2.0700690746307373,2.171798086166382,2.1694324254989623,,,,
1995-04-21,,,2.117385149002075,2.1599693775177,2.165883684158325,,,,
1995-04-24,,,2.081897258758545,2.1292139053344727,2.1564205408096315,,,,
1995-04-25,,,2.129213809967041,2.110287570953369,2.1528717279434204,,,,
1995-04-26,,,2.081897258758545,2.0960925102233885,2.1445912599563597,,,,
1995-04-27,,,2.1055562496185303,2.1031899452209473,2.1374940156936644,,,,
1995-04-28,,,2.0937273502349854,2.0984583854675294,2.129213881492615,,,,
1995-05-01,,,2.0937273502349854,2.100824403762817,2.115019154548645,2.1487317442893983,,,
1995-05-02,,,2.1528725624084477,2.1055561542510985,2.107921862602234,2.1445916414260866,,,
1995-05-03,,,2.1647019386291504,2.1221170902252195,2.109104800224304,2.1451831102371215,,,
1995-05-04,,,2.129213809967041,2.126848602294922,2.1150192737579347,2.1422258496284483,,,
1995-05-05,,,2.129213809967041,2.133945894241333,2.116202139854431,2.141042912006378,,,
1995-05-08,,,2.129213809967041,2.141043186187744,2.1209337949752807,2.138677167892456,,,
1995-05-09,,,2.081897258758545,2.1268481254577636,2.116202139854431,2.134536933898926,,,
1995-05-10,,,2.081897258758545,2.1102871894836426,2.116202139854431,2.1303966999053956,,,
1995-05-11,,,2.081897258758545,2.1008238792419434,2.113836240768433,2.1256651282310486,,,
1995-05-12,,,2.081897258758545,2.091360569000244,2.1126532316207887,2.1209335565567016,,,
1995-05-15,,,2.0464110374450684,2.0748000144958496,2.107921600341797,2.111470377445221,,,
1995-05-16,,,2.058239698410034,2.0700685024261474,2.0984583139419555,2.1031900882720946,,,
1995-05-17,,,2.05232572555542,2.0641541957855223,2.0872206926345824,2.0981627464294434,,,
1995-05-18,,,1.9990953207015991,2.0475938081741334,2.074208843708038,2.0946140587329865,,,
1995-05-19,,,1.975436210632324,2.0263015985488892,2.0588310837745665,2.087516611814499,,,
1995-05-22,,,2.010924816131592,2.019204354286194,2.0470021843910216,2.0839679896831513,,,
1995-05-23,,,2.081897258758545,2.023935866355896,2.0470021843910216,2.0816021621227265,,,
1995-05-24,,,2.129213809967041,2.03931348323822,2.051733839511871,2.0839679896831513,,,
1995-05-25,,,2.129213809967041,2.0653371810913086,2.0564654946327208,2.085150867700577,,,
1995-05-26,,,2.129213809967041,2.096092700958252,2.0611971497535704,2.0869251906871797,,,
1995-05-29,,,2.129213809967041,2.119750499725342,2.0694774270057676,2.0886995136737823,,,
1995-05-30,,,2.1055562496185303,2.124482297897339,2.0742090821266173,2.0863336980342866,,,
1995-05-31,,,2.1528725624084477,2.12921404838562,2.0842637658119205,2.0857422292232513,,,
1995-06-01,,,2.1765286922454834,2.1386770248413085,2.1020071029663088,2.0881079733371735,,,
1995-06-02,,,2.2711613178253174,2.167066526412964,2.1315796136856084,2.0952053487300875,,,
1995-06-05,,,2.2829904556274414,2.197821855545044,2.158786177635193,2.102894181013107,,,
1995-06-06,,,2.2711613178253174,2.2309428691864013,2.17771258354187,2.112357383966446,,,
1995-06-07,,,2.294820070266724,2.259332370758057,2.1942732095718385,2.123003524541855,,,
1995-06-08,,,2.2238454818725586,2.2687957286834717,2.2037363767623903,2.1301009356975555,,,
1995-06-09,,,2.247504472732544,2.264064359664917,2.2155654430389404,2.1383812963962554,,,
1995-06-12,,,2.2711613178253174,2.261698532104492,2.229760193824768,2.149618810415268,2.1409245419502256,,
1995-06-13,,,2.2238454818725586,2.2522353649139406,2.2415891170501707,2.157899099588394,2.1406879591941834,,
1995-06-14,,,2.2238454818725586,2.2380404472351074,2.248686408996582,2.166475087404251,2.142107417583466,,
1995-06-15,,,2.188359022140503,2.2309431552886965,2.249869441986084,2.175938272476196,2.142107417583466,,
1995-06-16,,,2.2001874446868896,2.2214797496795655,2.2427720546722414,2.1871758341789245,2.1430537152290343,,
1995-06-19,,,2.2711613178253174,2.2214797496795655,2.241589140892029,2.200187659263611,2.1449463677406313,,
1995-06-20,,,2.2238454818725586,2.2214797496795655,2.236857557296753,2.2072850704193114,2.146129238605499,,
1995-06-21,,,2.2711613178253174,2.2309429168701174,2.2344916820526124,2.2143824458122254,2.1482584261894226,,
1995-06-22,,,2.2593321800231934,2.2451375484466554,2.2380403518676757,2.220888364315033,2.149914495944977,,
1995-06-23,,,2.294820070266724,2.2640640735626225,2.2427719116210936,2.229168677330017,2.1522803235054018,,
1995-06-26,,,2.2593321800231934,2.2616982460021973,2.241588997840881,2.235674595832825,2.1527534747123718,,
1995-06-27,,,2.247504472732544,2.2664300441741942,2.24395489692688,2.2427720069885253,2.1532266545295715,,
1995-06-28,,,2.2238454818725586,2.2569668769836424,2.24395489692688,2.246320652961731,2.154646112918854,,
