Date,GRADE,GPS,BXP,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1997-06-18,,,7.583500385284424,,,,,,
1997-06-19,,,7.548065185546875,,,,,,
1997-06-20,,,7.477190971374512,,,,,,
1997-06-23,,,7.406320095062256,,,,,,
1997-06-24,,,7.388598918914795,7.480735111236572,,,,,
1997-06-25,,,7.494909286499023,7.4630168914794925,,,,,
1997-06-26,,,7.654373168945312,7.4842784881591795,,,,,
1997-06-27,,,7.618939399719238,7.512628173828125,,,,,
1997-06-30,,,7.725245952606201,7.576413345336914,,,,,
1997-07-01,,,7.548065185546875,7.60830659866333,7.544520854949951,,,,
1997-07-02,,,7.477190971374512,7.604762935638428,7.53388991355896,,,,
1997-07-03,,,7.548065185546875,7.58350133895874,7.53388991355896,,,,
1997-07-04,,,7.548065185546875,7.569326496124267,7.540977334976196,,,,
1997-07-07,,,7.583500385284424,7.5409773826599125,7.558695363998413,,,,
1997-07-08,,,7.5657854080200195,7.544521427154541,7.576414012908936,,,,
1997-07-09,,,7.530346870422363,7.5551526069641115,7.579957771301269,,,,
1997-07-10,,,7.477190971374512,7.5409777641296385,7.56223955154419,,,,
1997-07-11,,,7.494909286499023,7.5303465843200685,7.549836540222168,,,,
1997-07-14,,,7.583500385284424,7.5303465843200685,7.53566198348999,,,,
1997-07-15,,,7.5657854080200195,7.5303465843200685,7.537434005737305,7.540977430343628,,,
1997-07-16,,,7.618939399719238,7.548065090179444,7.551608848571777,7.542749381065368,,,
1997-07-17,,,7.672094821929932,7.5870458602905275,7.564011812210083,7.548950862884522,,,
1997-07-18,,,7.548065185546875,7.5976770401000975,7.564011812210083,7.5524945735931395,,,
1997-07-21,,,7.60122013092041,7.601220989227295,7.5657837867736815,7.562239575386047,,,
1997-07-22,,,7.60122013092041,7.608307933807373,7.569327259063721,7.5728706359863285,,,
1997-07-23,,,7.60122013092041,7.604764080047607,7.576414585113525,7.578186178207398,,,
1997-07-24,,,7.672094821929932,7.604764080047607,7.595904970169068,7.579072260856629,,,
1997-07-25,,,7.7429704666137695,7.6437451362609865,7.620711088180542,7.585273814201355,,,
1997-07-28,,,7.7429704666137695,7.672095203399659,7.636658096313477,7.586160039901733,,,
1997-07-29,,,7.77840518951416,7.707532215118408,7.657920074462891,7.5976770401000975,,,
1997-07-30,,,7.8138427734375,7.750056743621826,7.677410411834717,7.614509630203247,,,
1997-07-31,,,7.9024338722229,7.79612455368042,7.700444316864013,7.632228064537048,,,
1997-08-01,,,7.9024338722229,7.828017234802246,7.735881185531616,7.649946498870849,,,
