Date,GRADE,GPS,SYY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.5132538676261902,,,,,,
1983-11-22,,,0.5186371803283691,,,,,,
1983-11-23,,,0.5096647143363953,,,,,,
1983-11-24,,,0.5096647143363953,,,,,,
1983-11-25,,,0.5096647143363953,0.5121770381927491,,,,,
1983-11-28,,,0.5096647143363953,0.51145920753479,,,,,
1983-11-29,,,0.5132538676261902,0.5103825449943542,,,,,
1983-11-30,,,0.5329940319061279,0.5150484085083008,,,,,
1983-12-01,,,0.5276108980178833,0.5186376452445984,,,,,
1983-12-02,,,0.5276108980178833,0.522226881980896,0.5172019600868225,,,,
1983-12-05,,,0.5276108980178833,0.5258161187171936,0.5186376631259918,,,,
1983-12-06,,,0.5329940319061279,0.5297641515731811,0.5200733482837677,,,,
1983-12-07,,,0.5365838408470154,0.5304821133613586,0.5227652609348297,,,,
1983-12-08,,,0.5365838408470154,0.532276701927185,0.5254571735858917,,,,
1983-12-09,,,0.541967511177063,0.535148024559021,0.5286874532699585,,,,
1983-12-12,,,0.5365838408470154,0.5369426131248474,0.5313793659210205,,,,
1983-12-13,,,0.5329940319061279,0.5369426131248474,0.5333533823490143,,,,
1983-12-14,,,0.5329940319061279,0.53622465133667,0.5333533823490143,,,,
1983-12-15,,,0.5329940319061279,0.5355066895484925,0.5338916957378388,,,,
1983-12-16,,,0.5276108980178833,0.5326353669166565,0.5338916957378388,0.5255468279123306,,,
1983-12-19,,,0.5276108980178833,0.5308407783508301,0.5338916957378388,0.5262646794319152,,,
1983-12-20,,,0.5186371803283691,0.5279694080352784,0.5324560105800629,0.5262646794319152,,,
1983-12-21,,,0.5096647143363953,0.5233035445213318,0.5297640979290008,0.5262646794319152,,,
1983-12-22,,,0.5132538676261902,0.5193555116653442,0.5274311006069183,0.526444137096405,,,
1983-12-23,,,0.5096647143363953,0.5157662749290466,0.5242008209228516,0.526444137096405,,,
1983-12-26,,,0.5096647143363953,0.5121770381927491,0.5215089082717895,0.526444137096405,,,
1983-12-27,,,0.5186371803283691,0.5121770381927491,0.5200732231140137,0.526713302731514,,,
1983-12-28,,,0.5096647143363953,0.5121770381927491,0.5177402913570404,0.5255468368530274,,,
1983-12-29,,,0.5132538676261902,0.5121770381927491,0.5157662749290466,0.5248289853334427,,,
1983-12-30,,,0.5222267508506775,0.5146894454956055,0.515227860212326,0.5245597779750824,,,
1984-01-02,,,0.5222267508506775,0.5172018527984619,0.5146894454956055,0.5242905706167221,,,
1984-01-03,,,0.5186371803283691,0.5172018527984619,0.5146894454956055,0.5235727280378342,,,
1984-01-04,,,0.5222267508506775,0.5197142601013184,0.5159456491470337,0.5228548735380173,,,
1984-01-05,,,0.5186371803283691,0.5207909226417542,0.5164839804172516,0.521957540512085,,,
1984-01-06,,,0.5096647143363953,0.5182785153388977,0.5164839804172516,0.5203424006700516,,,
1984-01-09,,,0.5186371803283691,0.517560601234436,0.517381227016449,0.5194450676441192,,,
1984-01-10,,,0.5132538676261902,0.5164839386940002,0.5168428957462311,0.5184580594301224,,,
1984-01-11,,,0.5096647143363953,0.5139715313911438,0.5168428957462311,0.5172915935516358,,,
1984-01-12,,,0.500691831111908,0.5103824615478516,0.5155866920948029,0.5156764835119247,,,
1984-01-13,,,0.4953076541423797,0.5075110495090485,0.5128947824239731,0.5140613213181495,,,
1984-01-16,,,0.4953076541423797,0.5028451442718506,0.5102028727531434,0.5124461591243744,,,
1984-01-17,,,0.500691831111908,0.5003327369689942,0.5084083378314972,0.5115488916635513,,,
1984-01-18,,,0.5096647143363953,0.5003327369689942,0.507152134180069,0.5115488916635513,,,
1984-01-19,,,0.5096647143363953,0.5021273136138916,0.5062548875808716,0.5113694339990615,,,
1984-01-20,,,0.5096647143363953,0.5049987256526947,0.5062548875808716,0.5113694339990615,,,
1984-01-23,,,0.5096647143363953,0.5078701376914978,0.5053576409816742,0.5113694339990615,,,
1984-01-24,,,0.500691831111908,0.5078701376914978,0.5041014373302459,0.5104721665382386,,,
1984-01-25,,,0.5096647143363953,0.5078701376914978,0.5041014373302459,0.5104721665382386,,,
1984-01-26,,,0.5096647143363953,0.5078701376914978,0.5049987256526947,0.5102927088737488,,,
1984-01-27,,,0.5042806267738342,0.5067933201789856,0.5058960229158401,0.5093954026699066,0.5170224642753601,,
1984-01-30,,,0.500691831111908,0.5049987435340881,0.506434440612793,0.5083186566829682,0.5167712235450744,,
1984-01-31,,,0.4863347113132477,0.5021273195743561,0.5049987286329269,0.5067035332322121,0.516125174164772,,
1984-02-01,,,0.4809513986110687,0.49638465642929075,0.5021273970603943,0.5046397656202316,0.5155509078502655,,
1984-02-02,,,0.4899243414402008,0.4924365818500519,0.5001533597707748,0.5032041236758232,0.5151561003923416,,
1984-02-03,,,0.4809513986110687,0.4877707362174988,0.4972820281982422,0.5017684578895569,0.5145818340778351,,
1984-02-06,,,0.4719783961772918,0.4820280492305756,0.4935133963823318,0.49943551868200303,0.513828107714653,,
1984-02-07,,,0.4809513986110687,0.48095138669013976,0.49153935313224795,0.49782039523124694,0.5131820583343506,,
1984-02-08,,,0.4809513986110687,0.48095138669013976,0.4886680215597153,0.49638472944498063,0.5121412056684495,,
1984-02-09,,,0.4773621559143066,0.4784389495849609,0.4854377657175064,0.49521824568510053,0.5111362308263778,,
1984-02-10,,,0.4899243414402008,0.48023353815078734,0.4840021371841431,0.4949490800499916,0.5103824996948242,,
1984-02-13,,,0.4863347113132477,0.4831048011779785,0.48256642520427706,0.494500432908535,0.5095569759607315,,
