Date,GRADE,GPS,ESS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1994-06-07,,,5.666335582733154,,,,,,
1994-06-08,,,5.6297807693481445,,,,,,
1994-06-09,,,5.6297807693481445,,,,,,
1994-06-10,,,5.593222618103027,,,,,,
1994-06-13,,,5.593222618103027,5.6224684715271,,,,,
1994-06-14,,,5.6297807693481445,5.615157508850098,,,,,
1994-06-15,,,5.6297807693481445,5.615157508850098,,,,,
1994-06-16,,,5.593222618103027,5.607845878601074,,,,,
1994-06-17,,,5.556664943695068,5.600534343719483,,,,,
1994-06-20,,,5.593222618103027,5.600534343719483,5.611501407623291,,,,
1994-06-21,,,5.556664943695068,5.5859111785888675,5.600534343719483,,,,
1994-06-22,,,5.556664943695068,5.571288013458252,5.593222761154175,,,,
1994-06-23,,,5.483552932739258,5.549354076385498,5.578599977493286,,,,
1994-06-24,,,5.373879909515381,5.512797069549561,5.556665706634521,,,,
1994-06-27,,,5.227652549743652,5.439683055877685,5.520108699798584,,,,
1994-06-28,,,5.154538154602051,5.359257698059082,5.472584438323975,,,,
1994-06-29,,,5.227652549743652,5.2934552192687985,5.432371616363525,,,,
1994-06-30,,,5.154538154602051,5.227652263641358,5.388503170013427,,,,
1994-07-01,,,5.191094398498535,5.191095161437988,5.351946115493774,,,,
1994-07-04,,,5.191094398498535,5.183783531188965,5.311733293533325,5.461617350578308,,,
1994-07-05,,,5.227652549743652,5.198406410217285,5.278832054138183,5.439683198928833,,,
1994-07-06,,,5.154538154602051,5.183783531188965,5.238619375228882,5.415921068191528,,,
1994-07-07,,,5.154538154602051,5.183783531188965,5.205717897415161,5.392158937454224,,,
1994-07-08,,,5.154538154602051,5.176472282409668,5.183783721923828,5.370224714279175,,,
1994-07-11,,,5.191094398498535,5.176472282409668,5.180127906799316,5.3501183032989506,,,
1994-07-12,,,5.191094398498535,5.169160652160644,5.183783531188965,5.328183984756469,,,
1994-07-13,,,5.191094398498535,5.176471900939942,5.180127716064453,5.306249666213989,,,
1994-07-14,,,5.227652549743652,5.191094779968262,5.1874391555786135,5.287971162796021,,,
1994-07-15,,,5.2642130851745605,5.213029766082764,5.194751024246216,5.273348569869995,,,
1994-07-18,,,5.2642130851745605,5.227653503417969,5.202062892913818,5.256898093223572,,,
1994-07-19,,,5.410439014434815,5.271522426605225,5.220341539382934,5.249586796760559,,,
1994-07-20,,,5.337325572967529,5.300768661499023,5.238620281219482,5.2386198282241825,,,
1994-07-21,,,5.337325572967529,5.322703266143799,5.256899023056031,5.231308460235596,,,
1994-07-22,,,5.373879909515381,5.344636631011963,5.278833198547363,5.231308460235596,,,
1994-07-25,,,5.410439014434815,5.373881816864014,5.300767660140991,5.240447783470154,,,
