Date,GRADE,GPS,SNPS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1992-06-16,,,7.0625,7.1625,7.396875,7.1734375,7.319375,,
1992-06-17,,,6.5,7.0625,7.2125,7.15625,7.301875,,
1992-06-18,,,6.375,6.8875,7.065625,7.1375,7.28,,
1992-06-19,,,6.5625,6.7625,6.9625,7.121875,7.26125,,
1992-06-22,,,6.5,6.6,6.86875,7.103125,7.2375,,
1992-06-23,,,6.75,6.5375,6.85,7.10625,7.21375,,
1992-06-24,,,6.6875,6.575,6.81875,7.103125,7.19125,,
1992-06-25,,,6.375,6.575,6.73125,7.078125,7.16625,,
1992-06-26,,,6.5,6.5625,6.6625,7.0609375,7.14375,,
1992-06-29,,,6.75,6.6125,6.60625,7.0390625,7.131875,,
1992-06-30,,,7.0,6.6625,6.6,6.9984375,7.135625,,
1992-07-01,,,6.875,6.7,6.6375,6.925,7.140625,,
1992-07-02,,,6.625,6.75,6.6625,6.8640625,7.139375,,
1992-07-03,,,6.625,6.775,6.66875,6.815625,7.139375,,
1992-07-06,,,6.625,6.75,6.68125,6.775,7.145625,,
1992-07-07,,,6.4375,6.6375,6.65,6.75,7.141875,,
1992-07-08,,,6.5625,6.575,6.6375,6.728125,7.143125,,
1992-07-09,,,6.625,6.575,6.6625,6.696875,7.130625,,
1992-07-10,,,6.5625,6.5625,6.66875,6.665625,7.108125,,
1992-07-13,,,6.1875,6.475,6.6125,6.609375,7.069375,,
1992-07-14,,,6.375,6.4625,6.55,6.575,7.029375,7.386875,
1992-07-15,,,6.3125,6.4125,6.49375,6.565625,6.990625,7.37125,
1992-07-16,,,6.3125,6.35,6.4625,6.5625,6.949375,7.3565625,
1992-07-17,,,6.375,6.3125,6.4375,6.553125,6.91,7.3434375,
1992-07-20,,,6.25,6.325,6.4,6.540625,6.8775,7.3265625,
1992-07-21,,,6.21875,6.29375,6.378125,6.5140625,6.85125,7.30875,
1992-07-22,,,6.25,6.28125,6.346875,6.4921875,6.83125,7.29375,
1992-07-23,,,5.9375,6.20625,6.278125,6.4703125,6.8075,7.27625,
1992-07-24,,,5.8125,6.09375,6.203125,6.4359375,6.77625,7.256875,
1992-07-27,,,5.65625,5.975,6.15,6.38125,6.745625,7.2334375,
1992-07-28,,,5.875,5.90625,6.1,6.325,6.719375,7.2103125,
1992-07-29,,,6.03125,5.8625,6.071875,6.2828125,6.703125,7.19,
1992-07-30,,,6.4375,5.9625,6.084375,6.2734375,6.696875,7.1725,
1992-07-31,,,6.5,6.1,6.096875,6.2671875,6.689375,7.153125,
1992-08-03,,,6.375,6.24375,6.109375,6.2546875,6.679375,7.135625,
1992-08-04,,,6.25,6.31875,6.1125,6.2453125,6.670625,7.11625,
1992-08-05,,,6.375,6.3875,6.125,6.2359375,6.663125,7.096875,
1992-08-06,,,6.40625,6.38125,6.171875,6.225,6.65375,7.0753125,
1992-08-07,,,6.5,6.38125,6.240625,6.221875,6.646875,7.0528125,
1992-08-10,,,6.4375,6.39375,6.31875,6.234375,6.631875,7.0296875,
1992-08-11,,,6.3125,6.40625,6.3625,6.23125,6.601875,7.0065625,
1992-08-12,,,6.375,6.40625,6.396875,6.234375,6.5625,6.98375,
1992-08-13,,,6.3125,6.3875,6.384375,6.234375,6.531875,6.96375,
1992-08-14,,,6.3125,6.35,6.365625,6.23125,6.50625,6.948125,
1992-08-17,,,6.3125,6.325,6.359375,6.234375,6.48375,6.93125,
1992-08-18,,,6.21875,6.30625,6.35625,6.234375,6.469375,6.9134375,
1992-08-19,,,6.21875,6.275,6.340625,6.2328125,6.45375,6.8996875,
1992-08-20,,,5.9375,6.2,6.29375,6.2328125,6.4275,6.8840625,
1992-08-21,,,5.875,6.1125,6.23125,6.2359375,6.40125,6.8678125,
1992-08-24,,,5.75,6.0,6.1625,6.240625,6.37,6.8496875,
1992-08-25,,,5.875,5.93125,6.11875,6.240625,6.34625,6.8328125,
1992-08-26,,,6.25,5.9375,6.10625,6.2515625,6.34125,6.8215625,
1992-08-27,,,6.34375,6.01875,6.109375,6.246875,6.340625,6.8103125,
1992-08-28,,,6.375,6.11875,6.115625,6.240625,6.336875,6.7990625,
1992-08-31,,,6.25,6.21875,6.109375,6.234375,6.331875,6.7846875,
1992-09-01,,,6.28125,6.3,6.115625,6.2359375,6.3225,6.768125,
1992-09-02,,,6.3125,6.3125,6.125,6.2328125,6.315,6.753125,
1992-09-03,,,6.25,6.29375,6.15625,6.225,6.3125,6.739375,
1992-09-04,,,6.3125,6.28125,6.2,6.215625,6.30875,6.72625,
1992-09-07,,,6.3125,6.29375,6.25625,6.209375,6.3,6.7159375,
1992-09-08,,,6.1875,6.275,6.2875,6.203125,6.28375,6.7096875,
1992-09-09,,,6.25,6.2625,6.2875,6.196875,6.27125,6.7059375,
1992-09-10,,,6.625,6.3375,6.315625,6.2125,6.27125,6.7053125,
1992-09-11,,,7.03125,6.48125,6.38125,6.2484375,6.279375,6.709375,
1992-09-14,,,7.25,6.66875,6.48125,6.2953125,6.291875,6.71875,
1992-09-15,,,7.25,6.88125,6.578125,6.346875,6.308125,6.725,
1992-09-16,,,7.0625,7.04375,6.653125,6.3890625,6.318125,6.730625,
1992-09-17,,,6.9375,7.10625,6.721875,6.4390625,6.324375,6.7275,
1992-09-18,,,6.96875,7.09375,6.7875,6.49375,6.3325,6.7203125,
1992-09-21,,,7.15625,7.075,6.871875,6.5640625,6.351875,6.710625,
1992-09-22,,,7.09375,7.04375,6.9625,6.625,6.36625,6.6978125,
1992-09-23,,,7.03125,7.0375,7.040625,6.6640625,6.380625,6.685625,
1992-09-24,,,7.03125,7.05625,7.08125,6.6984375,6.395,6.6721875,
1992-09-25,,,6.6875,7.0,7.046875,6.7140625,6.40125,6.655625,
1992-09-28,,,6.875,6.94375,7.009375,6.7453125,6.41375,6.645625,
1992-09-29,,,6.9375,6.9125,6.978125,6.778125,6.428125,6.6396875,
1992-09-30,,,7.375,6.98125,7.009375,6.83125,6.450625,6.6409375,
1992-10-01,,,7.3125,7.0375,7.046875,6.884375,6.478125,6.6428125,
1992-10-02,,,6.9375,7.0875,7.04375,6.915625,6.500625,6.6384375,
1992-10-05,,,6.625,7.0375,6.990625,6.93125,6.52,6.6328125,
1992-10-06,,,6.6875,6.9875,6.95,6.95625,6.53625,6.6278125,
1992-10-07,,,6.59375,6.83125,6.90625,6.9734375,6.5475,6.6253125,
1992-10-08,,,6.84375,6.7375,6.8875,6.984375,6.555625,6.62625,
1992-10-09,,,7.0625,6.7625,6.925,6.9859375,6.566875,6.628125,
1992-10-12,,,7.25,6.8875,6.9625,6.9859375,6.584375,6.631875,
1992-10-13,,,7.25,7.0,6.99375,6.9859375,6.604375,6.6375,
1992-10-14,,,7.21875,7.125,6.978125,6.99375,6.62125,6.6421875,
1992-10-15,,,7.40625,7.2375,6.9875,7.0171875,6.64125,6.6475,
1992-10-16,,,7.8125,7.3875,7.075,7.059375,6.6675,6.6571875,
1992-10-19,,,8.125,7.5625,7.225,7.1078125,6.70125,6.6665625,
1992-10-20,,,7.8125,7.675,7.3375,7.14375,6.73125,6.6665625,
1992-10-21,,,8.125,7.85625,7.490625,7.1984375,6.76625,6.664375,
1992-10-22,,,7.875,7.95,7.59375,7.240625,6.7975,6.6646875,
1992-10-23,,,7.625,7.9125,7.65,7.2875,6.82375,6.665,
1992-10-26,,,7.5,7.7875,7.675,7.31875,6.8475,6.665625,
1992-10-27,,,7.25,7.675,7.675,7.334375,6.868125,6.66875,
1992-10-28,,,7.3125,7.5125,7.684375,7.33125,6.89,6.671875,
1992-10-29,,,7.53125,7.44375,7.696875,7.3421875,6.921875,6.6746875,
1992-10-30,,,7.5625,7.43125,7.671875,7.3734375,6.955625,6.6784375,
1992-11-02,,,7.5625,7.44375,7.615625,7.4203125,6.991875,6.6809375,
1992-11-03,,,7.75,7.54375,7.609375,7.4734375,7.029375,6.6878125,
1992-11-04,,,7.8125,7.64375,7.578125,7.534375,7.060625,6.7009375,
1992-11-05,,,8.0,7.7375,7.590625,7.5921875,7.09375,6.7171875,
1992-11-06,,,8.125,7.85,7.640625,7.6453125,7.12875,6.7328125,
1992-11-09,,,8.3125,8.0,7.721875,7.6984375,7.17,6.7509375,
1992-11-10,,,8.0625,8.0625,7.803125,7.7390625,7.205625,6.7640625,
1992-11-11,,,8.25,8.15,7.896875,7.790625,7.244375,6.7796875,
1992-11-12,,,8.125,8.175,7.95625,7.8265625,7.281875,6.7971875,
1992-11-13,,,8.125,8.175,8.0125,7.8421875,7.318125,6.8134375,
1992-11-16,,,8.21875,8.15625,8.078125,7.846875,7.35625,6.828125,
1992-11-17,,,8.1875,8.18125,8.121875,7.865625,7.39625,6.84,
1992-11-18,,,8.4375,8.21875,8.184375,7.88125,7.44,6.855625,
1992-11-19,,,8.75,8.34375,8.259375,7.925,7.4825,6.876875,
1992-11-20,,,8.625,8.44375,8.309375,7.975,7.514375,6.896875,
1992-11-23,,,8.1875,8.4375,8.296875,8.009375,7.533125,6.9125,
1992-11-24,,,8.03125,8.40625,8.29375,8.0484375,7.54875,6.9284375,
1992-11-25,,,7.9375,8.30625,8.2625,8.0796875,7.56625,6.9421875,
1992-11-26,,,7.9375,8.14375,8.24375,8.1,7.58625,6.9553125,
