Date,GRADE,GPS,MKTX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2004-11-05,,,14.98552703857422,,,,,,
2004-11-08,,,16.022262573242188,,,,,,
2004-11-09,,,15.910876274108888,,,,,,
2004-11-10,,,17.26463508605957,,,,,,
2004-11-11,,,17.992918014526367,16.435243797302245,,,,,
2004-11-12,,,18.33563804626465,17.10526599884033,,,,,
2004-11-15,,,18.515567779541016,17.603927040100096,,,,,
2004-11-16,,,19.021076202392575,18.225967025756837,,,,,
2004-11-17,,,18.849729537963867,18.542985916137695,,,,,
2004-11-18,,,17.855825424194336,18.51556739807129,17.475405597686766,,,,
2004-11-19,,,18.42131233215332,18.532702255249024,17.81898412704468,,,,
2004-11-22,,,19.03821182250977,18.637231063842773,18.120579051971436,,,,
2004-11-23,,,18.155712127685547,18.464158248901366,18.3450626373291,,,,
2004-11-24,,,18.035755157470703,18.301363372802733,18.422174644470214,,,,
2004-11-25,,,18.035755157470703,18.337349319458006,18.42645835876465,,,,
2004-11-26,,,17.992918014526367,18.25167045593262,18.39218635559082,,,,
2004-11-29,,,17.333173751831055,17.910662841796874,18.273946952819824,,,,
2004-11-30,,,16.793373107910156,17.638195037841797,18.051176643371583,,,,
2004-12-01,,,17.170381546020508,17.465120315551758,17.883241844177245,,,,
2004-12-02,,,18.541275024414062,17.56622428894043,17.95178680419922,17.713596200942995,,,
2004-12-03,,,18.36990737915039,17.641622161865236,17.946646308898927,17.882815217971803,,,
2004-12-06,,,17.564512252807617,17.687889862060548,17.79927635192871,17.959927701950072,,,
2004-12-07,,,16.656299591064453,17.660475158691405,17.6493350982666,17.997198867797852,,,
2004-12-08,,,16.62203598022461,17.550806045532227,17.507963180541992,17.965068912506105,,,
2004-12-09,,,17.136112213134766,17.269773483276367,17.4179988861084,17.922228622436524,,,
2004-12-10,,,17.487401962280273,17.093272399902343,17.367447280883788,17.879816818237305,,,
2004-12-13,,,16.62203598022461,16.904777145385744,17.296333503723144,17.785140228271484,,,
2004-12-14,,,15.670978546142578,16.707712936401368,17.184094047546388,17.617635345458986,,,
2004-12-15,,,14.745620727539062,16.332429885864258,16.941617965698242,17.412429904937746,,,
2004-12-16,,,13.78599739074707,15.662406921386719,16.466090202331543,17.20893850326538,,,
2004-12-17,,,13.64891242980957,14.894709014892578,15.993990707397462,16.970318508148193,,,
2004-12-20,,,13.811708450317385,14.332643508911133,15.618710327148438,16.708993339538573,,,
2004-12-21,,,14.539989471435549,14.106445693969727,15.407079315185547,16.528207206726073,,,
2004-12-22,,,14.51428508758545,14.060178565979005,15.196304225921631,16.35213370323181,,,
2004-12-23,,,14.728490829467772,14.248677253723145,14.955542087554932,16.186770486831666,,,
2004-12-24,,,14.728490829467772,14.464592933654785,14.679650974273681,16.023549127578736,,,
2004-12-27,,,14.54855728149414,14.611962699890137,14.472303104400634,15.884318304061889,,,
2004-12-28,,,14.4885835647583,14.601681518554688,14.354063606262207,15.769078826904297,,,
2004-12-29,,,14.36005973815918,14.570836448669434,14.315507507324218,15.628562736511231,,,
2004-12-30,,,14.71992015838623,14.569122314453125,14.408899784088135,15.437494993209839,,,
2004-12-31,,,14.57426643371582,14.538277435302735,14.50143518447876,15.24771294593811,,,
2005-01-03,,,13.666044235229492,14.361774826049805,14.486868762969971,15.052789545059204,,,
2005-01-04,,,13.331893920898438,14.130436897277832,14.36605920791626,14.886569261550903,,,
2005-01-05,,,13.366166114807127,13.931658172607422,14.251247310638428,14.72377576828003,,,
2005-01-06,,,13.091984748840332,13.606071090698242,14.087596702575684,14.521569395065308,,,
2005-01-07,,,13.28048610687256,13.34731502532959,13.942796230316162,14.311223602294922,,,
2005-01-10,,,13.28048610687256,13.270203399658204,13.815989112854004,14.14414610862732,,,
2005-01-11,,,13.640341758728027,13.331892967224121,13.731164932250977,14.042614269256593,,,
2005-01-12,,,13.606071472167969,13.37987403869629,13.655766105651855,13.985636806488037,,,
2005-01-13,,,12.920624732971191,13.345602035522461,13.475836563110352,13.942368173599244,15.955603790283202,,
2005-01-14,,,13.023442268371582,13.294193267822266,13.320754146575927,13.911094665527344,15.916362094879151,,
2005-01-17,,,13.023442268371582,13.24278450012207,13.256493949890137,13.871681356430054,15.856385688781739,,
2005-01-18,,,12.843514442443848,13.083419036865234,13.207656002044677,13.786857604980469,15.795038452148438,,
2005-01-19,,,12.792104721069336,12.920625686645508,13.150249862670899,13.700748586654663,15.705587844848633,,
2005-01-20,,,12.57790756225586,12.852082252502441,13.098842144012451,13.593219423294068,15.597287635803223,,
2005-01-21,,,12.457951545715332,12.738984107971191,13.016588687896729,13.479692459106445,15.479733905792237,,
2005-01-24,,,12.080957412719728,12.55048713684082,12.896635818481446,13.356312465667724,15.351041698455811,,
2005-01-25,,,12.337995529174805,12.449383354187011,12.766401195526123,13.248783063888549,15.217380084991454,,
2005-01-26,,,12.295158386230469,12.349994087219239,12.635309886932372,13.145537996292115,15.086288661956788,,
2005-01-27,,,12.183775901794434,12.271167755126953,12.561625003814697,13.018730783462525,14.97284767150879,,
2005-01-28,,,12.192340850830078,12.218045616149903,12.478514862060546,12.899634504318238,14.848268241882325,,
2005-01-31,,,11.97813892364502,12.197481918334962,12.37398452758789,12.815239238739014,14.707066783905029,,
2005-02-01,,,11.96100616455078,12.122084045410157,12.285733699798584,12.746694850921632,14.583172664642333,,
2005-02-02,,,11.84105110168457,12.031262588500976,12.190628337860108,12.670439100265503,14.459278583526611,,
2005-02-03,,,10.358779907226562,11.666263389587403,11.968715572357178,12.533778858184814,14.305739078521729,,
