Date,GRADE,GPS,ALGN,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2001-05-15,,,9.800000190734863,9.168000030517579,9.019000053405762,8.42750005722046,7.878250026702881,,
2001-05-16,,,10.130000114440918,9.364000129699708,9.157000064849854,8.570000052452087,7.9246000289917,,
2001-05-17,,,10.960000038146973,9.77800006866455,9.383000087738036,8.760500049591064,7.974425029754639,,
2001-05-18,,,11.050000190734863,10.228000068664551,9.628000068664551,9.005500054359436,8.032925033569336,,
2001-05-21,,,11.949999809265137,10.77800006866455,9.943000030517577,9.270500040054321,8.10192502975464,,
2001-05-22,,,12.06999969482422,11.231999969482422,10.2,9.45750002861023,8.153325023651123,,
2001-05-23,,,12.010000228881836,11.607999992370605,10.486000061035156,9.658000040054322,8.18852502822876,,
2001-05-24,,,11.5600004196167,11.728000068664551,10.753000068664551,9.796000051498414,8.230975036621095,,
2001-05-25,,,10.149999618530272,11.547999954223632,10.888000011444092,9.866000032424926,8.268975028991699,,
2001-05-28,,,10.149999618530272,11.18799991607666,10.982999992370605,9.93600001335144,8.294475021362304,,
2001-05-29,,,9.949999809265137,10.763999938964844,10.997999954223634,10.008500003814698,8.329725017547608,,
2001-05-30,,,9.25,10.211999893188477,10.90999994277954,10.033500003814698,8.350975017547608,,
2001-05-31,,,10.0,9.899999809265136,10.813999938964844,10.09850001335144,8.395975017547608,,
2001-06-01,,,10.050000190734863,9.879999923706055,10.713999938964843,10.171000003814697,8.440725021362304,,
2001-06-04,,,10.149999618530272,9.879999923706054,10.533999919891357,10.238499975204467,8.49372501373291,,
2001-06-05,,,10.25,9.939999961853028,10.351999950408935,10.275999975204467,8.550600013732911,,
2001-06-06,,,9.899999618530272,10.069999885559081,10.140999889373779,10.313499975204468,8.597350006103516,,
2001-06-07,,,9.550000190734863,9.979999923706055,9.939999866485596,10.346499967575074,8.643350009918214,,
2001-06-08,,,9.300000190734863,9.829999923706055,9.854999923706055,10.371499967575073,8.68435001373291,,
2001-06-11,,,9.260000228881836,9.652000045776367,9.76599998474121,10.374499988555907,8.724550018310547,,
2001-06-12,,,8.880000114440918,9.378000068664551,9.659000015258789,10.32849998474121,8.768400020599366,,
2001-06-13,,,9.0,9.198000144958495,9.634000015258788,10.271999979019165,8.817150020599366,,
2001-06-14,,,8.989999771118164,9.086000061035156,9.532999992370605,10.173499965667725,8.865700016021728,,
2001-06-15,,,8.899999618530273,9.005999946594239,9.417999935150146,10.065999937057494,8.911200008392335,,
2001-06-18,,,9.020000457763672,8.957999992370606,9.305000019073486,9.919499969482422,8.96060001373291,9.359393758773804,
2001-06-19,,,8.529999732971191,8.88799991607666,9.132999992370605,9.74249997138977,8.988200006484986,9.275943756103516,
2001-06-20,,,8.430000305175781,8.773999977111817,8.986000061035156,9.563499975204468,9.024800014495849,9.225243759155273,
2001-06-21,,,8.260000228881836,8.628000068664551,8.857000064849853,9.398499965667725,9.070000019073486,9.165968761444091,
2001-06-22,,,7.820000171661377,8.412000179290771,8.709000062942504,9.28199999332428,9.106400022506714,9.102918763160705,
2001-06-25,,,7.699999809265137,8.148000049591065,8.553000020980836,9.159500002861023,9.151400022506714,9.038668761253357,
2001-06-26,,,8.489999771118164,8.140000057220458,8.51399998664856,9.086500000953674,9.20520001411438,8.98356875896454,
2001-06-27,,,7.960000038146973,8.046000003814697,8.409999990463257,9.022000002861024,9.218800010681152,8.932543759346009,
2001-06-28,,,8.0,7.99399995803833,8.31100001335144,8.922000002861022,9.235800008773804,8.881918759346009,
2001-06-29,,,7.840000152587891,7.997999954223633,8.205000066757203,8.811500000953675,9.269600009918213,8.840318760871888,
2001-07-02,,,8.0,8.057999992370606,8.103000020980835,8.704000020027161,9.296600008010865,8.809693760871887,
2001-07-03,,,7.989999771118164,7.957999992370605,8.049000024795532,8.59100000858307,9.289800004959107,8.775218758583069,
2001-07-04,,,7.989999771118164,7.963999938964844,8.00499997138977,8.495500016212464,9.28960000038147,8.73886875629425,
2001-07-05,,,7.949999809265137,7.9539999008178714,7.973999929428101,8.415499997138976,9.272599992752076,8.690243754386902,
2001-07-06,,,7.889999866485596,7.963999843597412,7.980999898910523,8.344999980926513,9.255399990081788,8.638518753051757,
2001-07-09,,,7.78000020980835,7.919999885559082,7.988999938964843,8.270999979972839,9.235999994277954,8.58569375514984,
2001-07-10,,,7.900000095367432,7.9019999504089355,7.929999971389771,8.221999979019165,9.223999996185302,8.537193756103516,
2001-07-11,,,7.800000190734863,7.864000034332276,7.91399998664856,8.161999988555909,9.205,8.492068758010864,
2001-07-12,,,7.619999885559082,7.798000049591065,7.875999975204468,8.093499994277954,9.183400001525879,8.447175006866456,
2001-07-13,,,7.5,7.720000076293945,7.841999959945679,8.023500013351441,9.161399993896485,8.411550006866456,
2001-07-16,,,7.599999904632568,7.684000015258789,7.801999950408936,7.952499985694885,9.137399988174439,8.39755000591278,
2001-07-17,,,7.670000076293945,7.638000011444092,7.769999980926514,7.909500002861023,9.100799989700317,8.39862500667572,
2001-07-18,,,7.650000095367432,7.607999992370606,7.736000013351441,7.870499992370606,9.07079999923706,8.400125007629395,
2001-07-19,,,7.590000152587891,7.602000045776367,7.700000047683716,7.836999988555908,9.044799995422363,8.400400009155273,
2001-07-20,,,7.380000114440918,7.578000068664551,7.649000072479248,7.814999985694885,9.016399993896485,8.399200010299683,
2001-07-23,,,7.400000095367432,7.538000106811523,7.611000061035156,7.8,8.98039999961853,8.406325011253356,
2001-07-24,,,7.389999866485596,7.482000064849854,7.560000038146972,7.745000004768372,8.932199993133544,8.405225009918214,
2001-07-25,,,7.019999980926514,7.35600004196167,7.482000017166138,7.6980000019073485,8.869999990463256,8.397300009727479,
2001-07-26,,,7.190000057220459,7.276000022888184,7.439000034332276,7.657500004768371,8.794599990844727,8.384512510299682,
