Date,GRADE,GPS,HIG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1995-12-15,,,13.468103408813477,,,,,,
1995-12-18,,,13.231219291687012,,,,,,
1995-12-19,,,12.960508346557615,,,,,,
1995-12-20,,,13.298898696899414,,,,,,
1995-12-21,,,13.129706382751465,13.217687225341797,,,,,
1995-12-22,,,13.197381019592283,13.163542747497559,,,,,
1995-12-25,,,13.197381019592283,13.156775093078613,,,,,
1995-12-26,,,13.163548469543455,13.19738311767578,,,,,
1995-12-27,,,13.028183937072754,13.143240165710449,,,,,
1995-12-28,,,13.028183937072754,13.122935676574707,13.170311450958252,,,,
1995-12-29,,,13.095866203308104,13.102632713317869,13.133087730407714,,,,
1996-01-01,,,13.095866203308104,13.082329750061035,13.119552421569825,,,,
1996-01-02,,,13.129706382751465,13.075561332702637,13.136472225189209,,,,
1996-01-03,,,13.095866203308104,13.089097785949708,13.116168975830078,,,,
1996-01-04,,,13.231219291687012,13.129704856872559,13.126320266723633,,,,
1996-01-05,,,13.197381019592283,13.150007820129394,13.126320266723633,,,,
1996-01-08,,,13.501934051513672,13.231221389770507,13.156775569915771,,,,
1996-01-09,,,13.438488960266112,13.292977905273435,13.184269618988035,,,,
1996-01-10,,,13.062029838562012,13.286210632324218,13.18765420913696,,,,
1996-01-11,,,13.197381019592283,13.279442977905273,13.204573917388913,13.187442684173584,,,
1996-01-12,,,13.434267044067385,13.326820182800294,13.238414001464843,13.18575086593628,,,
1996-01-15,,,13.671138763427734,13.360661125183105,13.295941257476807,13.207746839523315,,,
1996-01-16,,,13.738819122314451,13.420727157592774,13.356852531433105,13.246662378311157,,,
1996-01-17,,,13.569620132446287,13.52224521636963,13.404227924346923,13.2601984500885,,,
1996-01-18,,,13.603460311889648,13.603461074829102,13.441452026367188,13.28388614654541,,,
1996-01-19,,,13.53577709197998,13.623763084411621,13.475291633605957,13.300805950164795,,,
1996-01-22,,,13.53577709197998,13.59669075012207,13.478675937652588,13.31772575378418,,,
1996-01-23,,,13.772655487060549,13.603458023071289,13.512092590332031,13.348181104660034,,,
1996-01-24,,,13.671138763427734,13.623761749267578,13.573003482818603,13.380328845977782,,,
1996-01-25,,,13.468103408813477,13.596690368652343,13.600075721740723,13.40232481956482,,,
1996-01-26,,,13.637307167053224,13.616996383666992,13.620379734039307,13.429396867752075,,,
1996-01-29,,,13.53577709197998,13.616996383666992,13.606843566894531,13.451392412185669,,,
1996-01-30,,,13.434267044067385,13.54931869506836,13.576388359069824,13.466620445251465,,,
1996-01-31,,,13.569620132446287,13.52901496887207,13.576388359069824,13.490308141708374,,,
1996-02-01,,,13.637307167053224,13.56285572052002,13.579773044586181,13.510612535476685,,,
1996-02-02,,,13.53577709197998,13.54254970550537,13.579773044586181,13.52753233909607,,,
1996-02-05,,,13.53577709197998,13.54254970550537,13.579773044586181,13.529224491119384,,,
1996-02-06,,,13.603460311889648,13.576388359069824,13.562853527069091,13.537473058700561,,,
