Date,GRADE,GPS,MOS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1988-01-26,,,6.924957752227783,,,,,,
1988-01-27,,,7.4518537521362305,,,,,,
1988-01-28,,,7.564764976501465,,,,,,
1988-01-29,,,7.376585960388184,,,,,,
1988-02-01,,,7.226041793823242,7.3088408470153805,,,,,
1988-02-02,,,7.226041793823242,7.369057655334473,,,,,
1988-02-03,,,7.301311016082764,7.33894910812378,,,,,
1988-02-04,,,7.414220809936523,7.308840274810791,,,,,
1988-02-05,,,7.4518537521362305,7.3238938331604,,,,,
1988-02-08,,,7.226041793823242,7.3238938331604,7.316367340087891,,,,
1988-02-09,,,7.150772571563721,7.308839988708496,7.338948822021484,,,,
1988-02-10,,,7.376585960388184,7.32389497756958,7.33142204284668,,,,
1988-02-11,,,7.4518537521362305,7.331421566009522,7.320130920410156,,,,
1988-02-12,,,7.677670001983643,7.376584815979004,7.350239324569702,,,,
1988-02-15,,,7.677670001983643,7.466910457611084,7.395402145385742,,,,
1988-02-16,,,7.9787516593933105,7.632506275177002,7.470673131942749,,,,
1988-02-17,,,7.865848541259766,7.7303587913513185,7.527126884460449,,,,
1988-02-18,,,7.9787516593933105,7.8357383728027346,7.583579969406128,,,,
1988-02-19,,,8.580926895141602,8.016389751434327,7.696487283706665,,,,
1988-02-22,,,8.543289184570312,8.18951358795166,7.828212022781372,7.572289681434631,,,
1988-02-23,,,8.430380821228027,8.279839420318604,7.956172847747803,7.6475608348846436,,,
1988-02-24,,,8.35511302947998,8.377692317962646,8.054025554656983,7.692723798751831,,,
1988-02-25,,,8.46802043914795,8.475546073913574,8.155642223358154,7.737886571884156,,,
1988-02-26,,,8.505661964416504,8.460493087768555,8.23844141960144,7.794340372085571,,,
1988-02-29,,,9.10782241821289,8.57339973449707,8.381456661224366,7.888429403305054,,,
1988-03-01,,,8.957283020019531,8.67878017425537,8.479309797286987,7.9749914646148685,,,
1988-03-02,,,9.14546012878418,8.836849594116211,8.607270956039429,8.06719892024994,,,
1988-03-03,,,9.032557487487791,8.94975700378418,8.712651538848878,8.148115754127502,,,
1988-03-04,,,9.333640098571776,9.115352630615234,8.787922859191895,8.24220507144928,,,
1988-03-07,,,9.597090721130373,9.21320629119873,8.8933030128479,8.360757517814637,,,
1988-03-08,,,9.597090721130373,9.341167831420899,9.009974002838135,8.483073425292968,,,
1988-03-09,,,9.559453010559082,9.423966407775879,9.130408000946044,8.592216777801514,,,
1988-03-10,,,8.769102096557617,9.371275329589844,9.160516166687012,8.658079195022584,,,
1988-03-11,,,8.773642539978027,9.259275817871094,9.187314224243163,8.712877821922302,,,
1988-03-14,,,9.11400032043457,9.162657737731934,9.187932014465332,8.784694337844849,,,
1988-03-15,,,9.64344596862793,9.171928787231446,9.256548309326172,8.867929053306579,,,
1988-03-16,,,9.492170333862305,9.15847225189209,9.291219329833984,8.949245142936707,,,
1988-03-17,,,9.52999210357666,9.310650253295899,9.340962791442871,9.026807165145874,,,
1988-03-18,,,9.34090518951416,9.424102783203125,9.341689300537109,9.064806079864502,,,
1988-03-21,,,9.076186180114746,9.41653995513916,9.289598846435547,9.091450929641724,,,
1988-03-22,,,9.000548362731934,9.287960433959961,9.229944610595703,9.119959306716918,,,
1988-03-23,,,9.076186180114746,9.204763603210449,9.181617927551269,9.156012964248657,,,
1988-03-24,,,8.698004722595215,9.03836612701416,9.174508190155029,9.16751217842102,,,
1988-03-25,,,8.584554672241211,8.88709602355957,9.155599403381348,9.171456813812256,,,
1988-03-28,,,8.622370719909668,8.796332931518554,9.106436443328857,9.147184228897094,,,
1988-03-29,,,9.11400032043457,8.819023323059081,9.053491878509522,9.155020093917846,,,
1988-03-30,,,9.038362503051758,8.811458587646484,9.008111095428466,9.149665212631225,,,
1988-03-31,,,9.11400032043457,8.894657707214355,8.966511917114257,9.153737354278565,,,
1988-04-01,,,9.11400032043457,9.000546836853028,8.943821430206299,9.142755365371704,,,
1988-04-04,,,9.076186180114746,9.091309928894043,8.943821430206299,9.116710138320922,8.454260530471801,,
1988-04-05,,,9.151814460754396,9.098872756958007,8.958948040008545,9.094446325302124,8.498797664642334,,
1988-04-06,,,9.567805290222168,9.20476131439209,9.008109951019287,9.094863939285279,8.541116695404053,,
1988-04-07,,,9.681262016296388,9.318213653564452,9.106435680389405,9.140471935272217,8.583446636199952,,
1988-04-08,,,9.681262016296388,9.431665992736818,9.216106414794922,9.185852909088135,8.629540157318115,,
1988-04-11,,,9.52999210357666,9.5224271774292,9.306868553161621,9.206652498245239,8.675619163513183,,
1988-04-12,,,9.34090518951416,9.560245323181153,9.32955904006958,9.19152545928955,8.717916431427001,,
1988-04-13,,,9.34090518951416,9.514865303039553,9.35981330871582,9.183962202072143,8.75870831489563,,
1988-04-14,,,8.924917221069336,9.363596343994141,9.340904998779298,9.153708457946777,8.788922243118286,,
1988-04-15,,,8.924917221069336,9.21232738494873,9.321996688842773,9.132909059524536,8.818383512496949,,
1988-04-18,,,8.698004722595215,9.045929908752441,9.284178543090821,9.11399998664856,8.847822771072387,,
1988-04-19,,,8.735823631286621,8.924913597106933,9.242579460144043,9.100763750076293,8.879523792266845,,
1988-04-20,,,8.8114595413208,8.819024467468262,9.166944885253907,9.087527418136597,8.908221263885498,,
1988-04-21,,,8.924917221069336,8.819024467468262,9.091310405731202,9.098873043060303,8.93768253326416,,
1988-04-22,,,9.000548362731934,8.834150695800782,9.023239040374756,9.119672727584838,8.964140100479126,,
1988-04-25,,,9.227450370788574,8.940039825439452,8.992984867095947,9.149926710128785,8.995135707855225,,
1988-04-26,,,9.454350471496582,9.083745193481445,9.004329395294189,9.166944217681884,9.02464768409729,,
