Date,GRADE,GPS,NDAQ,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2002-07-01,,,4.0788774490356445,,,,,,
2002-07-02,,,4.114227771759033,,,,,,
2002-07-03,,,4.0788774490356445,,,,,,
2002-07-04,,,4.0788774490356445,,,,,,
2002-07-05,,,4.0788774490356445,4.085947513580322,,,,,
2002-07-08,,,3.806951522827149,4.031562328338623,,,,,
2002-07-09,,,4.214840412139893,4.051684856414795,,,,,
2002-07-10,,,4.214840412139893,4.0788774490356445,,,,,
2002-07-11,,,4.214840412139893,4.106070041656494,,,,,
2002-07-12,,,4.0788774490356445,4.106070041656494,4.096008777618408,,,,
2002-07-15,,,3.4670467376708984,4.038089084625244,4.034825706481934,,,,
2002-07-16,,,3.399064302444458,3.874933862686157,3.9633093595504763,,,,
2002-07-17,,,3.399064302444458,3.7117786407470703,3.8953280448913574,,,,
2002-07-18,,,3.1951208114624023,3.507834720611572,3.806952381134033,,,,
2002-07-19,,,2.855214357376098,3.263102102279663,3.6845860719680785,,,,
2002-07-22,,,2.773637294769287,3.1244202136993406,3.5812546491622923,,,,
2002-07-23,,,2.773637294769287,2.9993348121643066,3.437134337425232,,,,
2002-07-24,,,2.855214357376098,2.8905648231506347,3.3011717319488527,,,,
2002-07-25,,,2.760039567947388,2.803548574447632,3.155691647529602,,,,
2002-07-26,,,2.760039567947388,2.7845136165618896,3.0238078594207765,3.559908318519592,,,
2002-07-29,,,3.018369436264038,2.83346004486084,2.9789401292800903,3.506882917881012,,,
2002-07-30,,,3.1271393299102783,2.9041604518890383,2.9517476320266725,3.457528495788574,,,
2002-07-31,,,3.263102531433105,2.9857380867004393,2.938151454925537,3.416739749908447,,,
2002-08-01,,,3.208717107772827,3.075473594665527,2.9395110845565795,3.3732317328453063,,,
2002-08-02,,,3.208717107772827,3.165209102630615,2.9748613595962525,3.3297237157821655,,,
2002-08-05,,,3.222313404083252,3.205997896194458,3.019728970527649,3.3004918098449707,,,
2002-08-06,,,3.263102531433105,3.2331905364990234,3.068675494194031,3.2529049158096313,,,
2002-08-07,,,3.276698350906372,3.2359097003936768,3.110823893547058,3.205997812747955,,,
2002-08-08,,,3.290294647216797,3.2522252082824705,3.163849401473999,3.1597705245018006,,,
2002-08-09,,,3.3038904666900635,3.271259880065918,3.218234491348267,3.1210211753845214,,,
2002-08-12,,,3.3038904666900635,3.28757529258728,3.246786594390869,3.1128633618354797,,,
2002-08-13,,,3.317488431930542,3.2984524726867677,3.2658215045928953,3.108784568309784,,,
2002-08-14,,,3.317488431930542,3.3066104888916015,3.2712600946426393,3.104705774784088,,,
2002-08-15,,,3.290294647216797,3.3066104888916015,3.279417848587036,3.109464466571808,,,
2002-08-16,,,3.3038904666900635,3.3066104888916015,3.2889351844787598,3.131898272037506,,,
2002-08-19,,,3.1679279804229736,3.2794179916381836,3.283496642112732,3.1516128063201903,,,
2002-08-20,,,3.154331684112549,3.246786642074585,3.2726195573806764,3.1706475257873534,,,
2002-08-21,,,3.1951208114624023,3.222313117980957,3.264461803436279,3.187642848491669,,,
2002-08-22,,,2.9911766052246094,3.1624895095825196,3.2345499992370605,3.1991997003555297,,,
2002-08-23,,,3.018369436264038,3.1053853034973145,3.205997896194458,3.2121161937713625,,,
2002-08-26,,,2.9558260440826416,3.062964916229248,3.171191453933716,3.2089890241622925,,,
2002-08-27,,,2.8579325675964355,3.0036850929260255,3.1252358675003054,3.1955286860466003,,,
2002-08-28,,,2.746444702148437,2.913949871063232,3.0681314945220945,3.169695794582367,,,
2002-08-29,,,2.773637294769287,2.870442008972168,3.016465759277344,3.14794180393219,,,
2002-08-30,,,2.7192511558532715,2.810618352890015,2.9580018281936646,3.123468506336212,,,
2002-09-02,,,2.7192511558532715,2.7633033752441407,2.913134145736694,3.0983153939247132,,,
2002-09-03,,,2.692059278488159,2.7301287174224855,2.8669069051742553,3.0697632312774656,,,
2002-09-04,,,2.528903007507324,2.6866203784942626,2.8002851247787475,3.0323734641075135,,,
2002-09-05,,,2.528903007507324,2.63767352104187,2.754057765007019,2.99430388212204,,,
2002-09-06,,,2.6376733779907227,2.62135796546936,2.7159881591796875,2.960993027687073,3.2520074367523195,,
2002-09-09,,,2.6648664474487305,2.610481023788452,2.686892199516296,2.929041826725006,3.2237272167205813,,
2002-09-10,,,2.692059278488159,2.610481023788452,2.670304870605469,2.897770369052887,3.1952838468551636,,
2002-09-11,,,2.7328481674194336,2.651270055770874,2.6689452171325683,2.8685383558273316,3.168363261222839,,
2002-09-12,,,2.692059278488159,2.683901309967041,2.6607874155044557,2.8386265873908996,3.14062689781189,,
2002-09-13,,,2.7029359340667725,2.696953821182251,2.6591558933258055,2.8085788607597353,3.113108067512512,,
2002-09-16,,,2.7192511558532715,2.7078307628631593,2.6591558933258055,2.78614501953125,3.0913540601730345,,
