Date,GRADE,GPS,UNP,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.68128502368927,,,,,,
1983-11-22,,,1.6529265642166138,,,,,,
1983-11-23,,,1.6349412202835083,,,,,,
1983-11-24,,,1.6349412202835083,,,,,,
1983-11-25,,,1.6431159973144531,1.6494420051574707,,,,,
1983-11-28,,,1.6431159973144531,1.6418081998825074,,,,,
1983-11-29,,,1.622678518295288,1.6357585906982421,,,,,
1983-11-30,,,1.6308536529541016,1.634941077232361,,,,,
1983-12-01,,,1.6267662048339844,1.633306074142456,,,,,
1983-12-02,,,1.6431159973144531,1.633306074142456,1.6413740396499634,,,,
1983-12-05,,,1.6512912511825562,1.6349411249160766,1.638374662399292,,,,
1983-12-06,,,1.6472042798995972,1.6398462772369384,1.6378024339675903,,,,
1983-12-07,,,1.6553778648376465,1.6447511196136475,1.639846098423004,,,,
1983-12-08,,,1.6431159973144531,1.6480210781097413,1.6406635761260986,,,,
1983-12-09,,,1.663553237915039,1.6521085262298585,1.6427073001861572,,,,
1983-12-12,,,1.663553237915039,1.654560923576355,1.6447510242462158,,,,
1983-12-13,,,1.6472042798995972,1.654560923576355,1.6472036004066468,,,,
1983-12-14,,,1.5818055868148804,1.6398464679718017,1.6422987937927247,,,,
1983-12-15,,,1.5695441961288452,1.62513210773468,1.6365765929222107,,,,
1983-12-16,,,1.5531938076019287,1.6030602216720582,1.6275843739509583,1.6344792068004608,,,
1983-12-19,,,1.528670310974121,1.5760836362838746,1.6153222799301148,1.6268484711647033,,,
1983-12-20,,,1.5654569864273071,1.5597341775894165,1.6071475505828858,1.622474992275238,,,
1983-12-21,,,1.6308536529541016,1.5695437908172607,1.6046951293945313,1.6222706139087677,,,
1983-12-22,,,1.6267662048339844,1.5809881925582885,1.6030601501464843,1.6218618631362915,,,
1983-12-23,,,1.6512912511825562,1.600607681274414,1.601833951473236,1.6222706258296966,,,
1983-12-26,,,1.6512912511825562,1.625131869316101,1.6006077527999878,1.622679388523102,,,
1983-12-27,,,1.6390291452407837,1.6398463010787965,1.5997902393341064,1.6234969198703766,,,
1983-12-28,,,1.6349412202835083,1.6406638145446777,1.6051038026809692,1.6237012982368468,,,
1983-12-29,,,1.6431159973144531,1.6439337730407715,1.61246098279953,1.6245187878608705,,,
1983-12-30,,,1.6594650745391846,1.6455685377120972,1.6230881094932557,1.625336241722107,,,
1984-01-02,,,1.6594650745391846,1.647203302383423,1.636167585849762,1.6257449328899383,,,
1984-01-03,,,1.6308536529541016,1.6455682039260864,1.6427072525024413,1.6249274015426636,,,
1984-01-04,,,1.6553778648376465,1.649655532836914,1.6451596736907959,1.6249274015426636,,,
1984-01-05,,,1.7044270038604736,1.6619177341461182,1.6529257535934447,1.6279929518699645,,,
1984-01-06,,,1.7166889905929563,1.6733625173568725,1.659465527534485,1.6306497395038604,,,
1984-01-09,,,1.6962522268295288,1.6807199478149415,1.6639616250991822,1.632284688949585,,,
1984-01-10,,,1.679901957511902,1.6905296087265014,1.668048906326294,1.6339195728302003,,,
1984-01-11,,,1.671728253364563,1.6937996864318847,1.6717276096343994,1.6384157061576843,,,
1984-01-12,,,1.6390291452407837,1.6807201147079467,1.6713189244270326,1.6418899536132812,,,
1984-01-13,,,1.6308536529541016,1.6635530471801758,1.6684577822685243,1.6457729458808898,,,
1984-01-16,,,1.602242350578308,1.6447510719299316,1.6627355098724366,1.6494515478610992,,,
1984-01-17,,,1.6145044565200806,1.6316715717315673,1.6611005902290343,1.6519039213657378,,,
1984-01-18,,,1.6104174852371216,1.6194094181060792,1.6566045522689818,1.650882112979889,,,
1984-01-19,,,1.6104174852371216,1.6136870861053467,1.6472036004066468,1.6500646770000458,,,
1984-01-20,,,1.5899813175201416,1.6055126190185547,1.6345328330993651,1.646999180316925,,,
1984-01-23,,,1.5818055868148804,1.6014252662658692,1.6230881690979004,1.6435248970985412,,,
1984-01-24,,,1.6145044565200806,1.6014252662658692,1.6165484189987183,1.642298662662506,,,
1984-01-25,,,1.6512912511825562,1.609600019454956,1.6145047187805175,1.6431161642074585,,,
1984-01-26,,,1.6431159973144531,1.6161397218704223,1.6149134039878845,1.6431161642074585,,,
1984-01-27,,,1.618592619895935,1.621861982345581,1.6136873006820678,1.641072541475296,1.634838321208954,,
1984-01-30,,,1.6267662048339844,1.630854105949402,1.6161396861076356,1.639437597990036,1.6337479448318482,,
1984-01-31,,,1.6145044565200806,1.630854105949402,1.6161396861076356,1.638620138168335,1.6329795026779175,,
1984-02-01,,,1.6104174852371216,1.622679352760315,1.6161396861076356,1.6363721191883087,1.6324890279769897,,
1984-02-02,,,1.602242350578308,1.614504623413086,1.6153221726417542,1.6312628865242005,1.6318350505828858,,
1984-02-03,,,1.540932059288025,1.5989725112915039,1.6104172468185425,1.6224750399589538,1.6297913718223571,,
1984-02-06,,,1.5204954147338867,1.5777183532714845,1.6042862296104432,1.6136871993541717,1.6273389601707458,,
1984-02-07,,,1.5204954147338867,1.5589165449142457,1.5948853254318238,1.605716872215271,1.625295298099518,,
1984-02-08,,,1.4673606157302856,1.5303051710128783,1.5764922618865966,1.5954984903335572,1.6220254373550416,,
1984-02-09,,,1.4918838739395142,1.5082334756851197,1.5613690495491028,1.5881412267684936,1.6193277907371522,,
1984-02-10,,,1.512320876121521,1.502511239051819,1.5507418751716613,1.5822145879268645,1.6167118883132934,,
1984-02-13,,,1.512320876121521,1.5008763313293456,1.539297342300415,1.5777185142040253,1.6139324808120727,,
