Date,GRADE,GPS,MA,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2006-05-25,,,4.20417070388794,,,,,,
2006-05-26,,,4.106379508972168,,,,,,
2006-05-29,,,4.106379508972168,,,,,,
2006-05-30,,,4.021381855010986,,,,,,
2006-05-31,,,4.1072916984558105,4.109120655059814,,,,,
2006-06-01,,,4.3421783447265625,4.136722183227539,,,,,
2006-06-02,,,4.294654369354248,4.174377155303955,,,,,
2006-06-05,,,4.492067337036133,4.251514720916748,,,,,
2006-06-06,,,4.414379596710205,4.330114269256592,,,,,
2006-06-07,,,4.350406169891357,4.378737163543701,4.243928909301758,,,,
2006-06-08,,,4.361371994018555,4.3825758934021,4.259649038314819,,,,
2006-06-09,,,4.366857528686523,4.397016525268555,4.2856968402862545,,,,
2006-06-12,,,4.290998935699463,4.356802845001221,4.304158782958984,,,,
2006-06-13,,,4.158474922180176,4.305621910095215,4.317868089675903,,,,
2006-06-14,,,4.123744964599609,4.260289669036865,4.319513416290283,,,,
2006-06-15,,,4.199604034423828,4.22793607711792,4.305255985260009,,,,
2006-06-16,,,4.114603996276856,4.177485370635987,4.287250947952271,,,,
2006-06-19,,,4.052456855773926,4.129776954650879,4.24328989982605,,,,
2006-06-20,,,4.023209095001221,4.102723789215088,4.204172849655151,,,,
2006-06-21,,,4.14019775390625,4.106014347076416,4.1831520080566404,4.2135404586792,,,
2006-06-22,,,4.259010314941406,4.117895603179932,4.172915840148926,4.216282439231873,,,
2006-06-23,,,4.290998935699463,4.153174591064453,4.1653299808502195,4.2255134105682375,,,
2006-06-26,,,4.341264724731445,4.210936164855957,4.170356559753418,4.237257671356201,,,
2006-06-27,,,4.323899269104004,4.271074199676514,4.186898994445801,4.252383542060852,,,
2006-06-28,,,4.29191255569458,4.3014171600341795,4.203715753555298,4.261614584922791,,,
2006-06-29,,,4.386960983276367,4.327007293701172,4.222451448440552,4.263853716850281,,,
2006-06-30,,,4.386960983276367,4.346199703216553,4.249687147140503,4.268469047546387,,,
2006-07-03,,,4.322985649108887,4.342543888092041,4.276740026473999,4.260014963150025,,,
2006-07-04,,,4.322985649108887,4.342361164093018,4.3067176818847654,4.255445265769959,,,
2006-07-05,,,4.350406169891357,4.354059886932373,4.327738523483276,4.255445265769959,,,
2006-07-06,,,4.277286529541016,4.332124996185303,4.329566144943238,4.251240992546082,,,
2006-07-07,,,4.215137958526611,4.297760391235352,4.321980047225952,4.243655014038086,,,
2006-07-10,,,4.248956203460693,4.282954502105713,4.312749195098877,4.241552877426147,,,
2006-07-11,,,4.236161231994629,4.265589618682862,4.303975391387939,4.24543719291687,,,
2006-07-12,,,4.163046360015869,4.228117656707764,4.2910887718200685,4.247402262687683,,,
2006-07-13,,,4.087188720703125,4.190098094940185,4.261111545562744,4.241781497001648,,,
2006-07-14,,,4.016811370849609,4.150432777404785,4.224096584320068,4.236891865730286,,,
2006-07-17,,,4.02047061920166,4.104735660552978,4.1938450813293455,4.235292553901672,,,
2006-07-18,,,4.012242317199707,4.059951877593994,4.162770748138428,4.234744215011597,,,
2006-07-19,,,4.138366222381592,4.0550158500671385,4.141566753387451,4.234652638435364,,,
2006-07-20,,,4.163046360015869,4.070187377929687,4.130142736434936,4.229854440689087,,,
2006-07-21,,,4.138366222381592,4.094498348236084,4.122465562820435,4.222222805023193,,,
2006-07-24,,,4.112777233123779,4.112959671020508,4.108847665786743,4.21079843044281,,,
2006-07-25,,,4.211482524871826,4.152807712554932,4.106379795074463,4.205177593231201,,,
2006-07-26,,,4.266322135925293,4.178398895263672,4.116707372665405,4.203898072242737,,,
2006-07-27,,,4.251698017120361,4.196129226684571,4.1331583023071286,4.197134923934937,,,
2006-07-28,,,4.231591701507568,4.214774322509766,4.154636335372925,4.189366459846497,,,
2006-07-31,,,4.19228982925415,4.23067684173584,4.171818256378174,4.18283166885376,,,
2006-08-01,,,4.112777233123779,4.210935783386231,4.181871747970581,4.172321248054504,,,
2006-08-02,,,4.5715813636779785,4.271987628936768,4.22519326210022,4.1833800077438354,4.224315891265869,,
2006-08-03,,,4.568838119506836,4.335415649414062,4.265772438049316,4.197957587242127,4.231609239578247,,
2006-08-04,,,4.57432222366333,4.4039617538452145,4.309368038177491,4.215916800498962,4.240968093872071,,
2006-08-07,,,4.670285701751709,4.499560928344726,4.365118885040284,4.236983275413513,4.252246217727661,,
2006-08-08,,,4.804637908935547,4.63793306350708,4.424434423446655,4.265407109260559,4.267911338806153,,
2006-08-09,,,4.830227851867676,4.68966236114502,4.480824995040893,4.298766183853149,4.282370061874389,,
2006-08-10,,,4.8951191902160645,4.754918575286865,4.545167112350464,4.339162707328796,4.29342887878418,,
2006-08-11,,,4.906086921691895,4.821271514892579,4.612616634368896,4.383626484870911,4.305657529830933,,
2006-08-14,,,4.956353664398193,4.878485107421875,4.689023017883301,4.430420637130737,4.314943256378174,,
2006-08-15,,,4.98011589050293,4.913580703735351,4.775756883621216,4.478814315795899,4.326257982254028,,
2006-08-16,,,4.960010528564453,4.939537239074707,4.814599800109863,4.519896531105042,4.33845006942749,,
2006-08-17,,,4.885980606079102,4.937709522247315,4.8463140487670895,4.556043243408203,4.348942241668701,,
2006-08-18,,,4.885064601898193,4.933505058288574,4.877388286590576,4.593378162384033,4.359306383132934,,
2006-08-21,,,4.959094524383545,4.934053230285644,4.906269168853759,4.6356940269470215,4.3726682949066165,,
2006-08-22,,,5.047751426696777,4.947580337524414,4.930580520629883,4.677507472038269,4.390453824996948,,
