Date,GRADE,GPS,HUM,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,3.04566502571106,,,,,,
1983-11-22,,,3.060032367706299,,,,,,
1983-11-23,,,3.04566502571106,,,,,,
1983-11-24,,,3.04566502571106,,,,,,
1983-11-25,,,3.074397563934326,3.054285001754761,,,,,
1983-11-28,,,3.088764190673828,3.062904834747315,,,,,
1983-11-29,,,2.9881999492645264,3.0485383510589603,,,,,
1983-11-30,,,2.9020023345947266,3.0198058128356933,,,,,
1983-12-01,,,2.887634038925171,2.9881996154785155,,,,,
1983-12-02,,,2.729604959487915,2.9192410945892333,2.986763048171997,,,,
1983-12-05,,,2.7727034091949463,2.856028938293457,2.959466886520386,,,,
1983-12-06,,,2.8732693195343018,2.8330428123474123,2.940790581703186,,,,
1983-12-07,,,2.9307339191436768,2.838789129257202,2.9292974710464477,,,,
1983-12-08,,,2.9163668155670166,2.8445356845855714,2.9163676500320435,,,,
1983-12-09,,,2.887634038925171,2.8761415004730226,2.8976912975311278,,,,
1983-12-12,,,2.9163668155670166,2.9048741817474366,2.8804515600204468,,,,
1983-12-13,,,2.9881999492645264,2.9278603076934813,2.8804515600204468,,,,
1983-12-14,,,2.9594669342041016,2.9336069107055662,2.8861980199813844,,,,
1983-12-15,,,2.787071466445923,2.9077478408813477,2.8761417627334596,,,,
1983-12-16,,,2.8732693195343018,2.904874897003174,2.890508198738098,2.9386356234550477,,,
1983-12-19,,,2.9163668155670166,2.904874897003174,2.9048745393753053,2.9321707129478454,,,
1983-12-20,,,2.973832845687866,2.902001476287842,2.914930891990662,2.927860736846924,,,
1983-12-21,,,2.973832845687866,2.904874658584595,2.9192407846450807,2.924269127845764,,,
1983-12-22,,,2.945101499557495,2.936480665206909,2.9221142530441284,2.919240951538086,,,
1983-12-23,,,3.016932249069214,2.965213251113892,2.9350440740585326,2.9163676857948304,,,
1983-12-26,,,3.016932249069214,2.985326337814331,2.9451006174087526,2.9127760887145997,,,
