Date,GRADE,GPS,CCL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1987-07-24,,,1.9351359605789185,,,,,,
1987-07-27,,,1.919777631759644,,,,,,
1987-07-28,,,1.904419183731079,,,,,,
1987-07-29,,,1.904419183731079,,,,,,
1987-07-30,,,1.8737027645111084,1.9074909448623658,,,,,
1987-07-31,,,1.7815536260604858,1.8767744779586792,,,,,
1987-08-03,,,1.8890613317489624,1.870631217956543,,,,,
1987-08-04,,,1.8583444356918333,1.861416268348694,,,,,
1987-08-05,,,1.8583444356918333,1.8522013187408448,,,,,
1987-08-06,,,1.8429867029190063,1.8460581064224244,1.876774525642395,,,,
1987-08-07,,,1.8890613317489624,1.8675596475601197,1.8721670627593994,,,,
1987-08-10,,,1.919777631759644,1.8737029075622558,1.8721670627593994,,,,
1987-08-11,,,1.9351359605789185,1.8890612125396729,1.8752387404441833,,,,
1987-08-12,,,1.9351359605789185,1.90441951751709,1.8783104181289674,,,,
1987-08-13,,,1.904419183731079,1.9167060136795044,1.8813820600509643,,,,
1987-08-14,,,1.904419183731079,1.9197775840759277,1.8936686158180236,,,,
1987-08-17,,,1.904419183731079,1.9167058944702149,1.8952044010162354,,,,
1987-08-18,,,1.8276280164718628,1.8952043056488037,1.8921327590942383,,,,
1987-08-19,,,1.8429867029190063,1.8767744541168212,1.8905969858169556,,,,
1987-08-20,,,1.8429867029190063,1.8644879579544067,1.8905969858169556,1.8836857557296753,,,
1987-08-21,,,1.8737027645111084,1.8583446741104126,1.8890611290931703,1.8806140959262847,,,
1987-08-24,,,1.9351359605789185,1.8644880294799804,1.8905969619750977,1.8813820123672484,,,
1987-08-25,,,2.027285099029541,1.904419445991516,1.8998118758201599,1.8875253081321717,,,
1987-08-26,,,2.119434356689453,1.9597089767456055,1.9182417154312135,1.8982760667800904,,,
1987-08-27,,,2.073359966278076,2.0057836294174196,1.935135793685913,1.9082589268684387,,,
1987-08-28,,,2.088717460632324,2.0487865686416624,1.9535656213760375,1.9236171185970306,,,
1987-08-31,,,2.073359966278076,2.0764313697814942,1.9704596996307373,1.9328320503234864,,,
1987-09-01,,,2.058001041412353,2.082574558258057,1.9934970021247864,1.9428148806095122,,,
1987-09-02,,,1.9658517837524412,2.0518580436706544,2.00578351020813,1.9481902480125428,,,
1987-09-03,,,1.9658517837524412,2.0303564071655273,2.0180700182914735,1.9543335020542145,,,
