Date,GRADE,GPS,LEN,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.8042559623718262,,,,,,
1983-11-22,,,0.7938109636306763,,,,,,
1983-11-23,,,0.8042559623718262,,,,,,
1983-11-24,,,0.8042559623718262,,,,,,
1983-11-25,,,0.7990335822105408,0.8011224865913391,,,,,
1983-11-28,,,0.7990335822105408,0.800078010559082,,,,,
1983-11-29,,,0.7624762654304504,0.7938110709190369,,,,,
1983-11-30,,,0.7676986455917358,0.7864996075630188,,,,,
1983-12-01,,,0.7468085885047913,0.7750101327896118,,,,,
1983-12-02,,,0.7468085885047913,0.7645651340484619,0.7828438103199005,,,,
1983-12-05,,,0.7415860891342163,0.753075635433197,0.7765768229961395,,,,
1983-12-06,,,0.7259191274642944,0.7457642078399658,0.7697876393795013,,,,
1983-12-07,,,0.705029308795929,0.7332303404808045,0.7598649740219117,,,,
1983-12-08,,,0.7102518081665039,0.725918984413147,0.7504645586013794,,,,
1983-12-09,,,0.6998065710067749,0.7165185809135437,0.7405418574810028,,,,
1983-12-12,,,0.7102518081665039,0.7102517247200012,0.7316636800765991,,,,
1983-12-13,,,0.7154743671417236,0.7081627726554871,0.7269634902477264,,,,
1983-12-14,,,0.6998065710067749,0.7071182250976562,0.7201742827892303,,,,
1983-12-15,,,0.6632499098777771,0.6977178454399109,0.711818414926529,,,,
1983-12-16,,,0.6684727072715759,0.6914510726928711,0.7039848268032074,0.7434143185615539,,,
1983-12-19,,,0.6580276489257812,0.6810062408447266,0.6956289827823638,0.7361029028892517,,,
1983-12-20,,,0.6998065710067749,0.6778726816177368,0.6930177271366119,0.7314026832580567,,,
1983-12-21,,,0.694584846496582,0.6768283367156982,0.6919732809066772,0.7259191274642944,,,
1983-12-22,,,0.7259191274642944,0.6893621802330017,0.6935400128364563,0.7220022857189179,,,
1983-12-23,,,0.7154743671417236,0.6987625122070312,0.6951067924499512,0.717824324965477,,,
1983-12-26,,,0.7154743671417236,0.7102518558502198,0.6956290483474732,0.7136463642120361,,,
1983-12-27,,,0.7154743671417236,0.7133854150772094,0.6956290483474732,0.7112962692975998,,,
1983-12-28,,,0.7102518081665039,0.7165188074111939,0.696673572063446,0.7084239274263382,,,
1983-12-29,,,0.6893620491027832,0.7092073917388916,0.6992847859859467,0.7055516004562378,,,
1983-12-30,,,0.7206968069076538,0.7102518796920776,0.7045071959495545,0.7042460113763809,,,
1984-01-02,,,0.7206968069076538,0.7112963676452637,0.7107741117477417,0.7032015472650528,,,
1984-01-03,,,0.6893620491027832,0.7060739040374756,0.7097296595573426,0.7013736933469772,,,
1984-01-04,,,0.7311414480209351,0.7102518320083618,0.7133853197097778,0.7026793003082276,,,
1984-01-05,,,0.7729209065437317,0.7269636034965515,0.7180854976177216,0.705812755227089,,,
1984-01-06,,,0.7729209065437317,0.7374084234237671,0.7238301515579224,0.7094684720039368,,,
1984-01-09,,,0.7102518081665039,0.7353194236755372,0.7233078956604004,0.7094684720039368,,,
1984-01-10,,,0.7259191274642944,0.7426308393478394,0.7243523716926574,0.7099907100200653,,,
1984-01-11,,,0.7833659052848816,0.7530757308006286,0.7316637814044953,0.7141686767339707,,,
1984-01-12,,,0.7938109636306763,0.7572537422180176,0.7421086728572845,0.7206967294216156,,,
1984-01-13,,,0.7938109636306763,0.7614317536354065,0.7494200885295867,0.7269636422395707,,,
1984-01-16,,,0.7833659052848816,0.776054573059082,0.7556869983673096,0.7332305550575257,,,
1984-01-17,,,0.7729209065437317,0.7854549288749695,0.7640428841114044,0.7368862718343735,,,
1984-01-18,,,0.7676986455917358,0.7823214769363404,0.7676986038684845,0.7405419617891311,,,
1984-01-19,,,0.7415860891342163,0.7718765020370484,0.7645651221275329,0.7413253098726272,,,
1984-01-20,,,0.7415860891342163,0.7614315271377563,0.7614316403865814,0.7426308959722518,,,
1984-01-23,,,0.757253885269165,0.7562091231346131,0.7661318480968475,0.744719871878624,,,
1984-01-24,,,0.7729209065437317,0.7562091231346131,0.7708320260047913,0.7475921988487244,,,
1984-01-25,,,0.7206968069076538,0.7468087553977967,0.7645651161670685,0.7481144487857818,,,
1984-01-26,,,0.705029308795929,0.7394973993301391,0.7556869506835937,0.7488978117704391,,,
1984-01-27,,,0.7102518081665039,0.7332305431365966,0.7473310351371765,0.7483755618333816,0.7376173913478852,,
1984-01-30,,,0.7154743671417236,0.7248746395111084,0.7405418813228607,0.7481144398450852,0.7358417594432831,,
1984-01-31,,,0.694584846496582,0.7092074275016784,0.7327082753181458,0.7483755797147751,0.7338572371006012,,
1984-02-01,,,0.705029308795929,0.7060739278793335,0.7264413416385651,0.7470699727535248,0.7318727040290832,,
1984-02-02,,,0.68413907289505,0.7018958806991578,0.7206966400146484,0.7426308810710907,0.7294703662395478,,
