Date,GRADE,GPS,HD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.3108385801315307,,,,,,
1983-11-22,,,0.3045272827148437,,,,,,
1983-11-23,,,0.3108385801315307,,,,,,
1983-11-24,,,0.3108385801315307,,,,,,
1983-11-25,,,0.3108385801315307,0.3095763206481933,,,,,
1983-11-28,,,0.3108385801315307,0.3095763206481933,,,,,
1983-11-29,,,0.3155725002288818,0.3117853641510009,,,,,
1983-11-30,,,0.3108385801315307,0.31178536415100094,,,,,
1983-12-01,,,0.3108385801315307,0.31178536415100094,,,,,
1983-12-02,,,0.3108385801315307,0.3117853641510009,0.31068084239959715,,,,
1983-12-05,,,0.3045272827148437,0.3105231046676635,0.3100497126579284,,,,
1983-12-06,,,0.3045272827148437,0.30831406116485593,0.31004971265792836,,,,
1983-12-07,,,0.3045272827148437,0.3070518016815185,0.3094185829162597,,,,
1983-12-08,,,0.2997938096523285,0.30484284758567803,0.30831410586833946,,,,
1983-12-09,,,0.2934821844100952,0.301371568441391,0.30657846629619595,,,,
1983-12-12,,,0.2934821844100952,0.2991625487804413,0.3048428267240524,,,,
1983-12-13,,,0.3045272827148437,0.2991625487804413,0.3037383049726486,,,,
1983-12-14,,,0.3045272827148437,0.29916254878044124,0.30310717523097985,,,,
1983-12-15,,,0.3045272827148437,0.3001092433929443,0.3024760454893112,,,,
1983-12-16,,,0.3155725002288818,0.3045273065567016,0.3029494374990463,0.3068151399493217,,,
1983-12-19,,,0.3155725002288818,0.3089453697204589,0.3040539592504501,0.3070518359541893,,,
1983-12-20,,,0.3108385801315307,0.3102076292037963,0.3046850889921188,0.3073674008250236,,,
1983-12-21,,,0.3155725002288818,0.31241667270660395,0.3057896107435226,0.30760409682989115,,,
1983-12-22,,,0.3155725002288818,0.3146257162094116,0.30736747980117796,0.30784079283475874,,,
1983-12-23,,,0.3218839764595032,0.31588801145553586,0.31020765900611874,0.30839306265115735,,,
1983-12-26,,,0.3218839764595032,0.31715030670166017,0.3130478382110595,0.30894533246755596,,,
1983-12-27,,,0.3281952738761902,0.320621645450592,0.31541463732719416,0.3095764711499214,,,
1983-12-28,,,0.3329286873340606,0.3240928828716278,0.3182547777891159,0.3106809765100479,,,
1983-12-29,,,0.3329286873340606,0.3275641202926635,0.32109491825103753,0.3117854818701744,,,
1983-12-30,,,0.3329286873340606,0.32977306246757504,0.32283053696155545,0.3128899872303009,,,
1984-01-02,,,0.3329286873340606,0.3319820046424865,0.3245661556720733,0.3143100574612617,,,
1984-01-03,,,0.3155725002288818,0.32945744991302484,0.3250395476818084,0.3148623183369636,,,
1984-01-04,,,0.3108385801315307,0.3250394284725188,0.32456615567207336,0.31517788320779794,,,
1984-01-05,,,0.3281952738761902,0.32409274578094477,0.3258284330368042,0.316597956418991,,,
1984-01-06,,,0.3281952738761902,0.32314606308937066,0.3264595627784729,0.3183336108922958,,,
1984-01-09,,,0.3281952738761902,0.3221993803977966,0.3270906925201416,0.32006926536560054,,,
1984-01-10,,,0.3155725002288818,0.3221993803977966,0.3258284151554108,0.32062152624130247,,,
1984-01-11,,,0.3108385801315307,0.3221993803977966,0.32361940443515774,0.3209370911121368,,,
1984-01-12,,,0.3108385801315307,0.31872804164886476,0.32141039371490476,0.32125265598297115,,,
1984-01-13,,,0.2997938096523285,0.3130477488040924,0.3180969059467315,0.3204637214541435,,,
1984-01-16,,,0.2871708869934082,0.304842871427536,0.3135211259126663,0.3190436407923698,,,
1984-01-17,,,0.2997938096523285,0.30168713331222535,0.31194325685501095,0.31849140226840966,,,
1984-01-18,,,0.2997938096523285,0.29947817921638487,0.31083877980709074,0.317702467739582,,,
1984-01-19,,,0.2997938096523285,0.29726922512054443,0.30799863338470457,0.31691353321075433,,,
1984-01-20,,,0.2934821844100952,0.2960069000720978,0.30452732443809505,0.31549344360828396,,,
1984-01-23,,,0.2871708869934082,0.2960069000720978,0.30042488574981685,0.3137577891349792,,,
1984-01-24,,,0.2824373543262481,0.2925356090068817,0.29711137115955355,0.3114698931574821,,,
1984-01-25,,,0.2698144614696502,0.28653973937034605,0.29300895929336546,0.30831418186426157,,,
1984-01-26,,,0.247724249958992,0.2761258274316788,0.2866975262761116,0.30405395999550816,,,
1984-01-27,,,0.2303680032491684,0.2635029911994934,0.2797549456357956,0.2989259257912636,0.3068625336885452,,
1984-01-30,,,0.2303680032491684,0.25214241445064545,0.2740746572613716,0.29379789158701897,0.30525312215089795,,
1984-01-31,,,0.2414127141237259,0.24393748641014099,0.26823654770851135,0.2900899022817612,0.30399083077907557,,
1984-02-01,,,0.2351012378931045,0.23699484169483184,0.26176729053258896,0.28630303516983985,0.3024760839343071,,
1984-02-02,,,0.2351012378931045,0.23447023928165436,0.25529803335666656,0.28164833337068557,0.30096133708953854,,
1984-02-03,,,0.2193226218223571,0.23226116299629207,0.24788207709789276,0.2762047007679939,0.29913101792335506,,
1984-02-06,,,0.213011234998703,0.228789809346199,0.24046611189842224,0.27044549882411956,0.2971744710206985,,
1984-02-07,,,0.2193226218223571,0.22437179088592524,0.2341546386480331,0.2656330049037933,0.295249473452568,,
1984-02-08,,,0.2193226218223571,0.22121606767177573,0.2291054546833038,0.2610572069883347,0.29341915428638454,,
1984-02-09,,,0.2303680032491684,0.22026942074298855,0.22736983001232142,0.2570336781442165,0.2918097427487373,,
1984-02-10,,,0.2303680032491684,0.2224784970283508,0.22736983001232142,0.25356238782405854,0.29020033121109007,,
