Date,GRADE,GPS,CINF,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.0101083517074585,,,,,,
1983-11-22,,,1.0101083517074585,,,,,,
1983-11-23,,,1.0101083517074585,,,,,,
1983-11-24,,,1.0101083517074585,,,,,,
1983-11-25,,,1.0101083517074585,1.0101083517074585,,,,,
1983-11-28,,,1.0027893781661987,1.0086445569992066,,,,,
1983-11-29,,,1.0027893781661987,1.0071807622909545,,,,,
1983-11-30,,,1.0027893781661987,1.0057169675827027,,,,,
1983-12-01,,,1.0192588567733765,1.0075470685958863,,,,,
1983-12-02,,,1.0192588567733765,1.0093771696090699,1.009742760658264,,,,
1983-12-05,,,1.0174287557601929,1.0123050451278686,1.0104748010635376,,,,
1983-12-06,,,1.0174287557601929,1.0152329206466675,1.0112068414688111,,,,
1983-12-07,,,1.0210880041122437,1.0188926458358765,1.0123048067092895,,,,
1983-12-08,,,1.0210880041122437,1.01925847530365,1.013402771949768,,,,
1983-12-09,,,1.0210880041122437,1.0196243047714233,1.0145007371902466,,,,
1983-12-12,,,1.0210880041122437,1.0203561544418336,1.016330599784851,,,,
1983-12-13,,,1.0174287557601929,1.0203561544418336,1.0177945375442505,,,,
1983-12-14,,,1.0137683153152466,1.0188922166824341,1.0188924312591552,,,,
1983-12-15,,,1.0101083517074585,1.016696286201477,1.0179773807525634,,,,
1983-12-16,,,1.0101083517074585,1.01450035572052,1.0170623302459716,1.0134025454521178,,,
1983-12-19,,,1.0101083517074585,1.012304425239563,1.0163302898406983,1.0134025454521178,,,
1983-12-20,,,1.0064491033554075,1.0101084947586059,1.0152323246002197,1.0132195830345154,,,
1983-12-21,,,1.0064491033554075,1.0086446523666381,1.0137684345245361,1.0130366206169128,,,
1983-12-22,,,1.0064491033554075,1.0079128026962278,1.0123045444488525,1.0128536581993104,,,
1983-12-23,,,1.0064491033554075,1.0071809530258178,1.010840654373169,1.0126706957817078,,,
1983-12-26,,,1.0064491033554075,1.0064491033554075,1.0093767642974851,1.0128536820411682,,,
1983-12-27,,,1.0064491033554075,1.0064491033554075,1.0082787990570066,1.0130366683006287,,,
1983-12-28,,,1.0101083517074585,1.0071809530258176,1.0079128026962278,1.0134026169776917,,,
1983-12-29,,,1.0137683153152466,1.0086447954177857,1.0082787990570066,1.0131280899047852,,,
1983-12-30,,,1.0174287557601929,1.0108407258987426,1.00901083946228,1.013036584854126,,,
1984-01-02,,,1.0174287557601929,1.0130366563796998,1.0097428798675536,1.013036584854126,,,
1984-01-03,,,1.0174287557601929,1.0152325868606566,1.010840845108032,1.013036584854126,,,
1984-01-04,,,1.0174287557601929,1.0166966676712037,1.0119388103485105,1.0128536224365234,,,
1984-01-05,,,1.0174287557601929,1.0174287557601929,1.013036775588989,1.0126706600189208,,,
