Date,GRADE,GPS,COST,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1986-07-09,,,7.387215614318848,,,,,,
1986-07-10,,,7.345239639282227,,,,,,
1986-07-11,,,7.093405723571777,,,,,,
1986-07-14,,,6.883538722991943,,,,,,
1986-07-15,,,6.673673629760742,7.076614665985107,,,,,
1986-07-16,,,6.7995924949646,6.959090042114258,,,,,
1986-07-17,,,6.841565608978272,6.858355236053467,,,,,
1986-07-18,,,6.883538722991943,6.8163818359375,,,,,
1986-07-21,,,6.883538722991943,6.8163818359375,,,,,
1986-07-22,,,6.841565608978272,6.849960231781006,6.963287448883056,,,,
1986-07-23,,,6.7576189041137695,6.84156551361084,6.9003277778625485,,,,
1986-07-24,,,6.673673629760742,6.807987117767334,6.8331711769104,,,,
1986-07-25,,,6.7576189041137695,6.782803153991699,6.7995924949646,,,,
1986-07-28,,,6.7995924949646,6.76601390838623,6.791197872161865,,,,
1986-07-29,,,6.841565608978272,6.76601390838623,6.807987070083618,,,,
1986-07-30,,,6.7995924949646,6.774408626556396,6.807987070083618,,,,
1986-07-31,,,6.7576189041137695,6.791197681427002,6.799592399597168,,,,
1986-08-01,,,6.547757148742676,6.749225330352783,6.766014242172242,,,,
1986-08-04,,,6.547757148742676,6.698858261108398,6.732436084747315,,,,
1986-08-05,,,6.42183780670166,6.614912700653076,6.690463304519653,6.826875376701355,,,
1986-08-06,,,6.128026962280273,6.480599594116211,6.627504110336304,6.763915944099426,,,
1986-08-07,,,5.624354362487793,6.253946685791016,6.522572183609009,6.677871680259704,,,
1986-08-08,,,5.960137844085693,6.136422824859619,6.442824077606201,6.6212082862854,,,
1986-08-11,,,6.128026962280273,6.052476787567139,6.375667524337769,6.583432698249817,,,
1986-08-12,,,6.295919418334961,6.027293109893799,6.321102905273437,6.564544987678528,,,
1986-08-13,,,6.505785465240479,6.1028448104858395,6.291722202301026,6.549854636192322,,,
1986-08-14,,,6.379867076873779,6.253947353363037,6.253947019577026,6.526769709587097,,,
1986-08-15,,,6.295919418334961,6.32110366821289,6.228763246536255,6.497388744354248,,,
1986-08-18,,,6.505785465240479,6.3966553688049315,6.224566078186036,6.478501081466675,,,
1986-08-19,,,6.42183780670166,6.421839046478271,6.224566078186036,6.457514691352844,,,
1986-08-20,,,6.379867076873779,6.3966553688049315,6.249750089645387,6.438627099990844,,,
1986-08-21,,,6.337893962860107,6.388260746002198,6.321104049682618,6.421838116645813,,,
1986-08-22,,,6.295919418334961,6.388260746002198,6.354682207107545,6.398753142356872,,,
1986-08-25,,,6.21197509765625,6.329498672485352,6.363077020645142,6.369372272491455,,,
1986-08-26,,,6.295919418334961,6.304314994812012,6.363077020645142,6.34208996295929,,,
1986-08-27,,,6.253948211669922,6.27913122177124,6.337893295288086,6.314807748794555,,,
1986-08-28,,,6.170000553131104,6.2455525398254395,6.3169066429138185,6.285426831245422,,,
1986-08-29,,,6.128026962280273,6.211974048614502,6.30011739730835,6.264440321922303,,,
1986-09-01,,,6.128026962280273,6.195184421539307,6.262341547012329,6.243453812599182,,,
1986-09-02,,,5.87619161605835,6.111238861083985,6.207776927947998,6.216171503067017,,,
1986-09-03,,,6.002110481262207,6.060871315002442,6.170001268386841,6.209875679016113,,,
1986-09-04,,,6.253948211669922,6.077660846710205,6.161606693267823,6.24135537147522,,,
1986-09-05,,,6.044084072113037,6.060872268676758,6.13642315864563,6.245552682876587,,,
1986-09-08,,,5.87619161605835,6.010505199432373,6.1028448104858395,6.23296091556549,,,
1986-09-09,,,5.792245864868164,5.993716049194336,6.05247745513916,6.2077772378921505,,,
1986-09-10,,,5.708302974700928,5.93495454788208,5.997912931442261,6.167903113365173,,,
1986-09-11,,,5.330543518066406,5.750273609161377,5.913967227935791,6.115436935424805,,,
1986-09-12,,,5.12067985534668,5.5655927658081055,5.813232517242431,6.056674957275391,,,
1986-09-15,,,5.12067985534668,5.414490413665772,5.712497806549072,5.987419676780701,,,
1986-09-16,,,4.994763374328613,5.254993915557861,5.624354982376099,5.916065955162049,6.342089748382568,,
1986-09-17,,,4.952789783477783,5.103891277313233,5.519422912597657,5.844712090492249,6.293401231765747,,
1986-09-18,,,5.87619161605835,5.213020896911621,5.481647253036499,5.821626973152161,6.26402027130127,,
1986-09-19,,,5.750276565551758,5.338940238952636,5.452266502380371,5.794344830513,6.2371576881408695,,
1986-09-22,,,5.708302974700928,5.456464862823486,5.435477638244629,5.769161224365234,6.213652973175049,,
1986-09-23,,,5.540409088134766,5.565594005584717,5.410293960571289,5.731385707855225,6.190987682342529,,
1986-09-24,,,5.708302974700928,5.716696643829346,5.410293960571289,5.7041034460067745,6.1691618919372555,,
1986-09-25,,,5.5823822021484375,5.657934761047363,5.435477828979492,5.674722528457641,6.1439782238006595,,
1986-09-26,,,5.5823822021484375,5.624355888366699,5.481648063659668,5.6474402904510494,6.117955093383789,,
1986-09-29,,,5.540409088134766,5.590777111053467,5.523620986938477,5.618059396743774,6.091092500686646,,
1986-09-30,,,5.750276565551758,5.632750606536865,5.599172306060791,5.611763644218445,6.069266719818115,,
1986-10-01,,,5.750276565551758,5.641145324707031,5.6789209842681885,5.5991719484329225,6.049119873046875,,
1986-10-02,,,5.750276565551758,5.674724197387695,5.666329479217529,5.573988366127014,6.030651931762695,,
1986-10-03,,,5.624354362487793,5.683118629455566,5.653737258911133,5.553001880645752,6.007986640930175,,
1986-10-06,,,5.666327953338623,5.708302402496338,5.649539756774902,5.542508697509765,5.9853213500976565,,
