Date,GRADE,GPS,UHS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.513945460319519,,,,,,
1983-11-22,,,1.4313664436340332,,,,,,
1983-11-23,,,1.4313664436340332,,,,,,
1983-11-24,,,1.4313664436340332,,,,,,
1983-11-25,,,1.4313664436340332,1.4478822469711303,,,,,
1983-11-28,,,1.4038403034210205,1.4258612155914308,,,,,
1983-11-29,,,1.4038403034210205,1.420355987548828,,,,,
1983-11-30,,,1.4313664436340332,1.420355987548828,,,,,
1983-12-01,,,1.4313664436340332,1.420355987548828,,,,,
1983-12-02,,,1.4588935375213623,1.425861406326294,1.4368718266487122,,,,
1983-12-05,,,1.4313664436340332,1.4313666343688964,1.4286139249801635,,,,
1983-12-06,,,1.4313664436340332,1.4368718624114991,1.4286139249801635,,,,
1983-12-07,,,1.4313664436340332,1.4368718624114991,1.4286139249801635,,,,
1983-12-08,,,1.4313664436340332,1.4368718624114991,1.4286139249801635,,,,
1983-12-09,,,1.4313664436340332,1.4313664436340332,1.4286139249801635,,,,
1983-12-12,,,1.3763140439987185,1.4203559637069703,1.4258612990379333,,,,
1983-12-13,,,1.2662088871002195,1.3873244524002075,1.4120981574058533,,,,
1983-12-14,,,1.293735146522522,1.3597981929779053,1.3983350276947022,,,,
1983-12-15,,,1.3212618827819824,1.337777280807495,1.387324571609497,,,,
1983-12-16,,,1.293735146522522,1.3102510213851928,1.370808732509613,1.4038402795791627,,,
1983-12-19,,,1.2386828660964966,1.2827247858047486,1.3515403747558594,1.3900771498680116,,,
1983-12-20,,,1.2386828660964966,1.277219581604004,1.3322720170021056,1.3804429709911346,,,
1983-12-21,,,1.2386828660964966,1.2662091255187988,1.313003659248352,1.3708087921142578,,,
1983-12-22,,,1.2662088871002195,1.2551985263824463,1.2964879035949708,1.3625509142875671,,,
1983-12-23,,,1.2386828660964966,1.2441880702972412,1.277219545841217,1.3529167354106904,,,
1983-12-26,,,1.2386828660964966,1.2441880702972412,1.2634564280509948,1.344658863544464,,,
1983-12-27,,,1.2111573219299316,1.2386829614639283,1.257951271533966,1.3350247144699097,,,
1983-12-28,,,1.2111573219299316,1.2331778526306152,1.2496934890747071,1.3240142583847045,,,
1983-12-29,,,1.183630108833313,1.216662096977234,1.2359303116798401,1.3116274416446685,,,
1983-12-30,,,1.2662088871002195,1.2221673011779786,1.2331776857376098,1.3019932091236115,,,
1984-01-02,,,1.2662088871002195,1.227672505378723,1.235930287837982,1.2937353312969209,,,
1984-01-03,,,1.2662088871002195,1.2386828184127805,1.2386828899383544,1.28547745347023,,,
1984-01-04,,,1.3212618827819824,1.2607037305831907,1.246940791606903,1.2799722254276276,,,
1984-01-05,,,1.4038403034210205,1.3047457695007323,1.260703933238983,1.2785959184169768,,,
1984-01-06,,,1.4313664436340332,1.337777280807495,1.279972290992737,1.2785959184169768,,,
1984-01-09,,,1.4588935375213623,1.3763142108917237,1.3019933581352234,1.2827248930931092,,,
1984-01-10,,,1.4313664436340332,1.4093457221984864,1.3240142703056335,1.2909827709197998,,,
1984-01-11,,,1.4038403034210205,1.425861406326294,1.3432825684547425,1.2964880287647247,,,
1984-01-12,,,1.4038403034210205,1.425861406326294,1.3653035879135131,1.3006169497966766,,,
1984-01-13,,,1.3763140439987185,1.414850926399231,1.376314103603363,1.3047458946704864,,,
1984-01-16,,,1.348788142204285,1.3928298473358154,1.3845720291137695,1.3102511584758758,,,
1984-01-17,,,1.3763140439987185,1.3818193674087527,1.3955825448036194,1.317132717370987,,,
1984-01-18,,,1.3763140439987185,1.3763141155242922,1.401087760925293,1.324014276266098,,,
1984-01-19,,,1.3763140439987185,1.3708088636398317,1.3983351349830628,1.3295195341110229,,,
1984-01-20,,,1.4038403034210205,1.3763141155242922,1.3955825209617614,1.3377774059772491,,,
1984-01-23,,,1.3763140439987185,1.3818192958831788,1.387324571609497,1.3446589648723601,,,
1984-01-24,,,1.293735146522522,1.3653035163879395,1.373561441898346,1.3487878561019897,,,
