Date,GRADE,GPS,MSI,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,8.412070274353027,,,,,,
1983-11-22,,,8.322734832763672,,,,,,
1983-11-23,,,8.218522071838379,,,,,,
1983-11-24,,,8.218522071838379,,,,,,
1983-11-25,,,8.292962074279785,8.292962265014648,,,,,
1983-11-28,,,8.278067588806152,8.266161727905274,,,,,
1983-11-29,,,8.479068756103516,8.297428512573243,,,,,
1983-11-30,,,8.397185325622559,8.333161163330079,,,,,
1983-12-01,,,8.456741333007812,8.380805015563965,,,,,
1983-12-02,,,8.46418571472168,8.415049743652343,8.354006004333495,,,,
1983-12-05,,,8.501399993896484,8.45971622467041,8.362938976287841,,,,
1983-12-06,,,8.315293312072754,8.426961135864257,8.36219482421875,,,,
1983-12-07,,,8.330183029174805,8.413560676574708,8.373360919952393,,,,
1983-12-08,,,8.315293312072754,8.385271072387695,8.38303804397583,,,,
1983-12-09,,,8.218522071838379,8.336138343811035,8.37559404373169,,,,
1983-12-12,,,8.292962074279785,8.294450759887695,8.377083492279052,,,,
1983-12-13,,,8.174997329711914,8.266391563415528,8.346676349639893,,,,
1983-12-14,,,8.010753631591797,8.202505683898925,8.308033180236816,,,,
1983-12-15,,,7.794251918792725,8.09829740524292,8.241784238815308,,,,
1983-12-16,,,7.891306400299072,8.032854270935058,8.184496307373047,8.269251155853272,,,
1983-12-19,,,7.988359928131103,7.971933841705322,8.133192300796509,8.248065638542176,,,
1983-12-20,,,7.876372337341309,7.912208843231201,8.089300203323365,8.225747513771058,,,
1983-12-21,,,7.913699150085449,7.892797946929932,8.04765181541443,8.210506367683411,,,
1983-12-22,,,7.921165466308594,7.918180656433106,8.008239030838013,8.195638537406921,,,
1983-12-23,,,7.973426342010498,7.934604644775391,7.983729457855224,8.179661750793457,,,
1983-12-26,,,7.973426342010498,7.93161792755127,7.9517758846282955,8.164429688453675,,,
1983-12-27,,,8.11528205871582,7.979399871826172,7.9458043575286865,8.14624035358429,,,
1983-12-28,,,8.20486831665039,8.03763370513916,7.965215826034546,8.136624503135682,,,
1983-12-29,,,8.18246841430664,8.08989429473877,8.004037475585937,8.122910857200623,,,
1983-12-30,,,8.13766860961914,8.122742748260498,8.028673696517945,8.106585001945495,,,
1984-01-02,,,8.13766860961914,8.155591201782226,8.043604564666747,8.088398432731628,,,
1984-01-03,,,8.092878341674805,8.151110458374024,8.065255165100098,8.077277684211731,,,
1984-01-04,,,8.100340843200684,8.130204963684083,8.083919334411622,8.065785574913026,,,
1984-01-05,,,8.22725772857666,8.139162826538087,8.114528560638428,8.06138379573822,,,
1984-01-06,,,8.286988258361816,8.169026756286621,8.14588475227356,8.064807105064393,,,
1984-01-09,,,8.346714973449707,8.210836029052734,8.18321361541748,8.067494750022888,,,
1984-01-10,,,8.122743606567383,8.21680908203125,8.183959770202637,8.064882063865662,,,
1984-01-11,,,8.08541488647461,8.213823890686035,8.172014427185058,8.068615126609803,,,
1984-01-12,,,8.13766860961914,8.195906066894532,8.167534446716308,8.085785961151123,,,
1984-01-13,,,8.010753631591797,8.140659141540528,8.154842948913574,8.091758322715759,,,
1984-01-16,,,7.988359928131103,8.068988132476807,8.13991208076477,8.091758322715759,,,
1984-01-17,,,8.08541488647461,8.061522388458252,8.13916573524475,8.102210450172425,,,
