Date,GRADE,GPS,CF,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2005-08-11,,,2.2973036766052246,,,,,,
2005-08-12,,,2.542633295059204,,,,,,
2005-08-15,,,2.4532923698425293,,,,,,
2005-08-16,,,2.4320218563079834,,,,,,
2005-08-17,,,2.389479637145996,2.4229461669921877,,,,,
2005-08-18,,,2.3185746669769287,2.427200365066528,,,,,
2005-08-19,,,2.354027271270752,2.389479160308838,,,,,
2005-08-22,,,2.410750389099121,2.380970764160156,,,,,
2005-08-23,,,2.490163803100586,2.3925991535186766,,,,,
2005-08-24,,,2.481654644012451,2.4110341548919676,2.4169901609420776,,,,
2005-08-25,,,2.475983142852783,2.4425158500671387,2.4348581075668334,,,,
2005-08-26,,,2.477400064468384,2.467190408706665,2.4283347845077516,,,,
2005-08-29,,,2.410750389099121,2.467190408706665,2.4240805864334107,,,,
2005-08-30,,,2.4150047302246094,2.4521585941314696,2.4223788738250733,,,,
2005-08-31,,,2.3809714317321777,2.432021951675415,2.4215280532836916,,,,
2005-09-01,,,2.304393529891968,2.397704029083252,2.4201099395751955,,,,
2005-09-02,,,2.2788689136505127,2.3579977989196776,2.4125941038131713,,,,
2005-09-05,,,2.2788689136505127,2.331621503829956,2.3994059562683105,,,,
2005-09-06,,,2.3256659507751465,2.3137537479400634,2.3829561710357665,,,,
2005-09-07,,,2.295885801315308,2.2967366218566894,2.3643792867660522,2.390684723854065,,,
2005-09-08,,,2.3143200874328613,2.298721933364868,2.34821298122406,2.3915355443954467,,,
2005-09-09,,,2.3497731685638428,2.3129027843475343,2.335450291633606,2.381892538070679,,,
2005-09-12,,,2.281704425811768,2.3134698867797856,2.3225456953048704,2.373313140869141,,,
2005-09-13,,,2.251924514770508,2.2987215995788577,2.3062376737594605,2.364308273792267,,,
2005-09-14,,,2.229235410690308,2.2853915214538576,2.2910640716552733,2.3562960624694824,,,
2005-09-15,,,2.1413145065307617,2.2507904052734373,2.274756169319153,2.347433054447174,,,
2005-09-16,,,2.1725122928619385,2.2153382301330566,2.2641205072402952,2.3383573055267335,,,
2005-09-19,,,2.198037385940552,2.1986048221588135,2.2560373544692998,2.327721655368805,,,
2005-09-20,,,2.240579605102539,2.1963358402252195,2.247528719902039,2.3152424454689027,,,
2005-09-21,,,2.1271326541900635,2.1759152889251707,2.2306534051895146,2.297516345977783,,,
2005-09-22,,,2.057646512985229,2.1591816902160645,2.204986047744751,2.2765995144844053,,,
2005-09-23,,,2.2107996940612797,2.1668391704559324,2.191088700294495,2.2632694959640505,,,
2005-09-26,,,2.198037385940552,2.1668391704559324,2.1827219963073734,2.252633845806122,,,
2005-09-27,,,2.1923649311065674,2.1571962356567385,2.1767660379409794,2.2415018558502195,,,
2005-09-28,,,2.148404359817505,2.1614505767822267,2.1686829328536987,2.229873502254486,,,
2005-09-29,,,2.1271326541900635,2.1753478050231934,2.1672647476196287,2.221010458469391,,,
2005-09-30,,,2.1001899242401123,2.15322585105896,2.1600325107574463,2.2120765089988708,,,
2005-10-03,,,2.0562286376953125,2.124864101409912,2.1458516359329223,2.200944495201111,,,
2005-10-04,,,1.995250105857849,2.0854411363601684,2.121318686008453,2.184423702955246,,,
2005-10-05,,,1.8647866249084477,2.028717589378357,2.095084083080292,2.162868744134903,,,
2005-10-06,,,1.901656031608581,1.9836222648620603,2.079485034942627,2.142235541343689,,,
2005-10-07,,,1.914419651031494,1.946468210220337,2.0498470306396483,2.1204678654670714,,,
2005-10-10,,,1.779701828956604,1.8911628484725953,2.0080134749412535,2.0953677356243134,,,
2005-10-11,,,1.7229777574539185,1.836708378791809,1.9610747575759888,2.068920397758484,,,
2005-10-12,,,1.6931977272033691,1.8023905992507934,1.9155540943145752,2.042118513584137,,,
2005-10-13,,,1.6024399995803833,1.7425473928451538,1.8630848288536073,2.015174788236618,,,
2005-10-14,,,1.752757549285889,1.7102149724960327,1.8283415913581849,1.9941870510578155,,,
2005-10-17,,,1.730068564414978,1.7002883195877074,1.7957255840301514,1.9707886099815368,,,
2005-10-18,,,1.7017066478729248,1.6960340976715087,1.766371238231659,1.9438449621200562,,,
2005-10-19,,,1.7243956327438354,1.702273678779602,1.7523321390151978,1.9237081110477448,2.1718878149986267,,
2005-10-20,,,1.8179893493652344,1.7453835487365723,1.743965470790863,1.911725252866745,2.1623015284538267,,
2005-10-21,,,1.8378427028656008,1.7624005794525146,1.7363077759742738,1.893077403306961,2.148205716609955,,
2005-10-24,,,1.8619500398635864,1.7887768745422363,1.7445325970649719,1.8762730360031128,2.136378870010376,,
2005-10-25,,,1.8718767166137693,1.8228108882904053,1.759422492980957,1.860248625278473,2.125175967216492,,
2005-10-26,,,1.8562778234481807,1.8491873264312744,1.7757305026054382,1.8456422984600067,2.1145119309425353,,
2005-10-27,,,1.8435152769088743,1.8542925119400024,1.7998380303382873,1.8314614295959473,2.1050107431411744,,
2005-10-28,,,1.893148183822632,1.8653536081314086,1.8138770937919617,1.8211093425750733,2.095793161392212,,
2005-10-31,,,1.9597980976104736,1.8849232196807861,1.8368500471115112,1.8162878155708313,2.086774115562439,,
2005-11-01,,,1.9286012649536133,1.8962681293487549,1.85953950881958,1.8129553735256194,2.0755428647994996,,
2005-11-02,,,1.920090675354004,1.9090306997299193,1.879109013080597,1.8157205760478974,2.0643115854263305,,
2005-11-03,,,1.8860580921173096,1.9175392627716064,1.8859158873558044,1.8149406790733338,2.052513084411621,,
2005-11-04,,,1.9002386331558228,1.9189573526382446,1.8921554803848266,1.81423162817955,2.0409698557853697,,
