Date,GRADE,GPS,BMY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.2380681037902832,,,,,,
1983-11-22,,,1.2240781784057615,,,,,,
1983-11-23,,,1.2100894451141355,,,,,,
1983-11-24,,,1.2100894451141355,,,,,,
1983-11-25,,,1.2240781784057615,1.2212806701660155,,,,,
1983-11-28,,,1.2345701456069946,1.2205810785293578,,,,,
1983-11-29,,,1.2415659427642822,1.2240786314010619,,,,,
1983-11-30,,,1.2345701456069946,1.2289747714996337,,,,,
1983-12-01,,,1.2170835733413696,1.2303735971450807,,,,,
1983-12-02,,,1.1891052722930908,1.2233790159225464,1.222329843044281,,,,
1983-12-05,,,1.1751161813735962,1.2114882230758668,1.2160346508026123,,,,
1983-12-06,,,1.1751161813735962,1.1981982707977294,1.2111384510993957,,,,
1983-12-07,,,1.1821110248565674,1.1877064466476441,1.2083406090736388,,,,
1983-12-08,,,1.1856073141098022,1.1814111948013306,1.2058923959732055,,,,
1983-12-09,,,1.1856073141098022,1.180711603164673,1.2020453095436097,,,,
1983-12-12,,,1.1926023960113523,1.1842088460922242,1.1978485345840453,,,,
1983-12-13,,,1.1856073141098022,1.1863070726394653,1.1922526717185975,,,,
1983-12-14,,,1.1436394453048706,1.178612756729126,1.183159601688385,,,,
1983-12-15,,,1.1471368074417114,1.1709186553955078,1.1761649250984192,,,,
1983-12-16,,,1.1716182231903076,1.168120837211609,1.174416220188141,1.198373031616211,,,
1983-12-19,,,1.2100894451141355,1.1716182470321654,1.1779135465621948,1.1969740986824036,,,
1983-12-20,,,1.1926023960113523,1.1730172634124754,1.1796621680259705,1.195400309562683,,,
1983-12-21,,,1.1751161813735962,1.1793126106262206,1.1789626836776734,1.1936516463756561,,,
1983-12-22,,,1.1786129474639893,1.185607838630676,1.178263247013092,1.192077821493149,,,
1983-12-23,,,1.1786129474639893,1.1870067834854123,1.1775638103485107,1.1898045599460603,,,
1983-12-26,,,1.1786129474639893,1.1807114839553834,1.1761648654937744,1.18700670003891,,,
1983-12-27,,,1.1821110248565674,1.1786132097244262,1.1758152365684509,1.184033954143524,,,
1983-12-28,,,1.1891052722930908,1.1814110279083252,1.180361819267273,1.181760710477829,,,
1983-12-29,,,1.1821110248565674,1.182110643386841,1.1838592410087585,1.180012083053589,,,
1983-12-30,,,1.1905637979507446,1.184500813484192,1.1857537984848023,1.1800850093364716,,,
1984-01-02,,,1.1905637979507446,1.1868909835815429,1.1838012337684631,1.180857390165329,,,
1984-01-03,,,1.215220928192139,1.1935129642486573,1.1860630869865418,1.1828626275062561,,,
1984-01-04,,,1.222265124320984,1.200144934654236,1.1907779812812804,1.184870332479477,,,
1984-01-05,,,1.2363553047180176,1.210993790626526,1.1965522170066833,1.1874077320098877,,,
1984-01-06,,,1.229310393333435,1.218743109703064,1.2016219615936279,1.1895928859710694,,,
1984-01-09,,,1.2328333854675293,1.227197027206421,1.207044005393982,1.1916044354438782,,,
1984-01-10,,,1.2363553047180176,1.2314239025115967,1.212468433380127,1.194141834974289,,,
1984-01-11,,,1.2433987855911257,1.235650634765625,1.2178977847099304,1.1991298019886016,,,
